feature,VIF
close_vs_sma24,6.5837581185251475
range_24h,4.780763045413012
rvol_24h,4.701489354850801
rsi_14,4.362407426219041
ret_24h,4.3606778711644205
ret_1h,1.3604112903744394
taker_buy_frac_1h,1.2118458923897255
funding_rate,1.0739001751187292
oi_chg_4h,1.0306597573570728
vol_ratio_24h,1.0172304914764696
