feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurtosis
ret_1h,35365.0,3.688268475703948e-05,0.006801469658074276,-0.09381047804599706,-0.020528534209379407,-0.00966031592026841,-0.0024562999091263522,6.243426507153324e-05,0.002617018090950619,0.009767142106920755,0.019795982395261775,0.11614521215272941,-0.23904708268527255,15.1874624375328
ret_24h,35365.0,0.0010390563755330838,0.033008632111483284,-0.22811685107583737,-0.09827745762985089,-0.050972740062517743,-0.013445369819099029,0.0008137729158257881,0.01611626847893861,0.053598626105844066,0.09439198000120633,0.2096276047169774,-0.1676620174347537,3.980922278378976
close_vs_sma24,35365.0,0.0005513601679721272,0.01831958533498405,-0.14716921549815287,-0.0545296421673597,-0.02841429282719419,-0.006985733489645041,0.00039362633514272716,0.008389895456237806,0.029665167227082165,0.05385720071882386,0.12546777217593053,-0.1637650296491346,4.9650826048587415
rvol_24h,35365.0,0.005819931028649172,0.0035224790203528793,0.0004545989172527432,0.0010173694533987694,0.001723051634533389,0.0035239568573648054,0.005144641034413481,0.0071296525443257566,0.012388316671816647,0.01881451419691129,0.03449163700111592,1.988931270109289,7.055018176842912
range_24h,35365.0,0.04824877995910102,0.0331736752959905,0.002772710861711341,0.007744521334862906,0.013480333244022046,0.026996125997987692,0.04034719858222754,0.05955230995352284,0.10896974098209151,0.1802678086086855,0.38551227920874576,2.3966354084037738,10.060033788688829
vol_ratio_24h,35365.0,1.019521331816685,0.6790065708786898,0.16709129060001165,0.2912445330801754,0.3937925428383546,0.6113551900095695,0.8329696984013397,1.195677493189321,2.265616720304808,3.675899973766403,13.105606052990971,3.1709877379006857,19.382552490081405
rsi_14,35365.0,50.748441744765046,12.178302998785464,5.560567012690498,22.447664515588258,30.409236596995918,42.985483402506524,50.69810867658139,58.33869671837679,71.48098717040371,80.3460313543724,91.84222681864068,0.05594978810082774,0.13084394772740282
taker_buy_frac_1h,35365.0,0.4909506139372958,0.0447943232537341,0.17255244882078055,0.37078641562528586,0.415717365044328,0.46606753945341517,0.4931268599071509,0.5157950608705035,0.5637223827317741,0.6022970171020131,0.7334692194504984,-0.16704151818480945,1.548929803770276
oi_chg_4h,35365.0,0.0003374454478720076,0.022197059514219863,-0.3589959067496612,-0.06624669143371406,-0.03221182953011061,-0.009015107290721414,0.0007482441306492227,0.01029334599702092,0.033265114317887035,0.059033930760555756,0.1619673887282751,-1.2703684818458865,17.720492187824636
funding_rate,35365.0,0.0001259149670578255,0.0002253680229917245,-0.00119172,-0.00015687,-5.057e-05,3.506e-05,0.0001,0.0001,0.0005366,0.0011786,0.00248993,3.654208677240967,20.442780037172664
