Date,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,funding_rate
2019-09-12,0.003552672867192519,0.01458936956858814,0.008071001952081214,0.015354230741332908,0.015354230741332908,-0.005013939398090472,0.0
2019-09-13,0.01575677334163772,-4.929497593963994e-05,0.008676581522516269,-0.0032847806610628583,-0.0032847806610628583,-0.058233909528504935,0.0
2019-09-14,-0.004621087238400379,-0.001247799482448464,0.00443506240210767,-0.00016550067702647553,-0.00016550067702647553,-0.030762778682605796,0.0
2019-09-16,0.00012017484776205567,-0.002273551029712273,-0.006945802729549033,-0.005383300693785231,-0.005383300693785231,0.08115685772306325,0.0
2019-09-17,-0.00434035667342314,-0.005808248450194009,0.0006809610412296108,-0.0023533703132828654,-0.0023533703132828654,0.006930093045169672,0.0
2019-09-18,-0.0022272017688458323,-0.0013436823133653464,-0.0005633979512437159,-0.0028504546334269243,-0.0028504546334269243,0.04148709286043961,0.0
2019-09-19,-0.003124352370796113,0.0012726043356846573,-0.02314881696297011,0.004516201387267382,0.004516201387267382,0.1808108287000032,0.0
2019-09-20,0.004347839363222694,-0.0006315804362380106,0.019109889522374246,-0.0056164120280211005,-0.0056164120280211005,-0.24966666319658826,0.0
2019-09-21,-0.0054606983925319375,-0.006303275998421953,-0.008957548618362732,-0.010727846535666496,-0.010727846535666496,-0.06280278564621045,0.0
2019-09-22,-0.01053784375381539,-0.007326950014724498,-0.0053260003470415596,0.0033573732056868533,0.0033573732056868533,-0.010825128043488341,0.0
2019-09-23,0.0028963234414628447,-1.3283859066182124e-05,-0.013311773953978423,-0.022596470093162013,-0.022596470093162013,0.09333522553986828,0.0
2019-09-25,-0.09673868495089133,-0.08570380312760784,-0.09550014722276046,-0.08230695046711678,-0.08230695046711678,0.3166619140656882,0.0
2019-09-26,-0.007646358256635399,-0.01477225843689478,-0.02927976174882785,-0.024382428102208364,-0.024382428102208364,-0.11930464581692446,0.0
2019-09-28,-0.015614988916936245,-0.014831941261044257,0.015656282634116447,0.00841051368115231,0.00841051368115231,-0.24551879341114113,0.0
2019-09-29,-0.0003458817065165043,-0.001541429015740281,-0.009193007542185772,-0.009389866115657508,-0.009389866115657508,-0.053091568430870484,0.0
2019-09-30,-0.009367187136737232,0.0033861197889396566,-0.01088286872019495,0.012566857842809087,0.012566857842809087,0.19580102965307178,0.0
2019-10-01,0.012913215872643935,0.011827275458213271,0.027382618320023755,0.00327339359394041,0.00327339359394041,-0.08685099829710119,0.0
2019-10-02,0.0029388974436278525,-0.00674655332442875,-0.00033958233704300955,0.003297073525896921,0.003297073525896921,-0.10457980649860943,0.0
2019-10-03,0.0030755857840960577,0.0013657801101066847,-0.005536076992146199,-0.008814819192849987,-0.008814819192849987,0.026058741371046357,-1.6059987382743914
