stage,model_type,task,num_features,n_train,n_test,train_start,train_end,test_start,test_end,accuracy,balanced_accuracy,roc_auc,precision,recall,f1
M1_NTV_only,logistic,direction,19,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.4789356984478936,0.4825668386029846,0.49373941804150095,0.4943181818181818,0.37339055793991416,0.4254278728606357
M1_NTV_only,rf,direction,19,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.47671840354767187,0.480125605386463,0.4979328267118164,0.49162011173184356,0.3776824034334764,0.42718446601941745
M2_NTV_plus_BTC_market,logistic,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.48558758314855877,0.4941725400637871,0.5230342166397606,0.5045871559633027,0.23605150214592274,0.3216374269005848
M2_NTV_plus_BTC_market,rf,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.49445676274944567,0.5003937472929874,0.5052762137260307,0.5172413793103449,0.3218884120171674,0.3968253968253968
M3_plus_funding_and_OI,logistic,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.48558758314855877,0.4941725400637871,0.5230342166397606,0.5045871559633027,0.23605150214592274,0.3216374269005848
M3_plus_funding_and_OI,rf,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.49445676274944567,0.5003937472929874,0.5052762137260307,0.5172413793103449,0.3218884120171674,0.3968253968253968
M4_plus_COT_and_liquidity,logistic,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.48558758314855877,0.4941725400637871,0.5230342166397606,0.5045871559633027,0.23605150214592274,0.3216374269005848
M4_plus_COT_and_liquidity,rf,direction,42,1802,451,2019-09-08,2024-08-13,2024-08-14,2025-11-07,0.49445676274944567,0.5003937472929874,0.5052762137260307,0.5172413793103449,0.3218884120171674,0.3968253968253968
