date,target_up,next_return,pred_up,prob_up,stage,model_type,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2024-08-14,0,-0.020041310813293967,1,0.5154821178070172,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.020041310813293967,1.0,0.979958689186706
2024-08-15,1,0.023175912946963972,1,0.5498422677115119,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.023175912946963972,1.0,1.002670126458918
2024-08-16,1,0.00993082725079053,0,0.4702756315687868,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.00993082725079053,1.0,1.0126274702743097
2024-08-17,0,-0.016728732324455264,0,0.48713177066226054,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.016728732324455264,1.0,0.9956874963797004
2024-08-18,1,0.01726094125025579,1,0.5205242645268183,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.01726094125025579,1.0,1.0128739997583247
2024-08-19,0,-0.008079210921579816,1,0.5037706433420046,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.008079210921579816,1.0,1.004690777077293
2024-08-20,1,0.03664287570061453,0,0.4739801705781605,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.03664287570061453,1.0,1.0415055363392902
2024-08-21,0,-0.012967304646127387,0,0.47521571167331184,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.012967304646127387,1.0,1.0280000167589503
2024-08-22,1,0.061482671821355916,1,0.5191367001567404,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.061482671821355916,1.0,1.0912042044216892
2024-08-23,1,0.0013205019089592707,0,0.49186107771455956,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.0013205019089592707,1.0,1.0926451416566925
2024-08-24,1,0.0024081210374646833,0,0.492279341431076,M1_NTV_only,logistic,0,0.0,0.0,0.0,0.0024081210374646833,1.0,1.0952763634087994
2024-08-25,0,-0.022583597070127692,0,0.49514237990529136,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.022583597070127692,1.0,1.0705410833371403
2024-08-26,0,-0.05369739018896724,1,0.5285987046832944,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.05369739018896724,1.0,1.013055821071866
2024-08-27,0,-0.00800797843742207,1,0.567374779179843,M1_NTV_only,logistic,1,1.0,0.0005,-0.00850797843742207,-0.00800797843742207,0.991492021562578,1.0049432919008177
2024-08-28,1,0.006108236397788236,0,0.47131361424182333,M1_NTV_only,logistic,0,1.0,0.0005,-0.0005,0.006108236397788236,0.9909962755517967,1.0110817230941194
2024-08-29,0,-0.004524521990973862,0,0.459079006760914,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.004524521990973862,0.9909962755517967,1.0065070616033083
2024-08-30,0,-0.002530098940268344,1,0.509610593792013,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.002530098940268344,0.9909962755517967,1.003960499153373
2024-08-31,0,-0.027885585694078285,1,0.5097757126526442,M1_NTV_only,logistic,0,0.0,0.0,-0.0,-0.027885585694078285,0.9909962755517967,0.975964472620762
