feature,coefficient,abs_coefficient
btc_return_ma_3,-0.4753109138194351,0.4753109138194351
ntv_ratio_std_7,-0.32299424217768025,0.32299424217768025
btc_return_lag_1,0.23321939849676232,0.23321939849676232
ntv_ratio_z_30,-0.2283136435470504,0.2283136435470504
ntv_ratio,0.21529919498627345,0.21529919498627345
ntv_net_ma_30,-0.2014461160448348,0.2014461160448348
btc_return_lag_2,0.1988098964724383,0.1988098964724383
ntv_ratio_ma_7,-0.1607289923576913,0.1607289923576913
ntv_ratio_ma_30,0.157813442024588,0.157813442024588
btc_volatility_14,0.15579923407324664,0.15579923407324664
ntv_ratio_ma_3,0.14936247080050707,0.14936247080050707
btc_volume_z_7,-0.14745173441842122,0.14745173441842122
btc_return_lag_7,-0.14390501191104854,0.14390501191104854
ntv_net_ma_3,0.14097732046223865,0.14097732046223865
ntv_net_z_30,0.13769217852057578,0.13769217852057578
ntv_ratio_abs,0.13398398997762875,0.13398398997762875
btc_volume_chg_7,0.12597369595480673,0.12597369595480673
btc_volume,-0.12317772206900088,0.12317772206900088
ntv_net_ma_7,-0.11935652074221476,0.11935652074221476
ntv_ratio_std_3,0.11882488347149202,0.11882488347149202
btc_return_ma_14,0.09158028470162802,0.09158028470162802
btc_volume_z_3,0.07291240867875283,0.07291240867875283
btc_volatility_7,-0.06161418149766578,0.06161418149766578
btc_volume_z_14,0.06153203470532181,0.06153203470532181
btc_return_ma_30,0.059538189869975215,0.059538189869975215
ntv_ratio_ma_14,0.057770557938273716,0.057770557938273716
ntv_ratio_std_30,0.05292818902136637,0.05292818902136637
btc_volume_chg_14,0.05098307471848606,0.05098307471848606
net_taker_volume,0.05015624317339642,0.05015624317339642
btc_volume_chg_30,-0.04545818772939443,0.04545818772939443
btc_volatility_3,0.03266717443983943,0.03266717443983943
btc_return_lag_5,0.026225742555874943,0.026225742555874943
ntv_abs,0.02404110465830361,0.02404110465830361
ntv_ratio_std_14,0.019411141106742757,0.019411141106742757
btc_volatility_30,-0.019173074292537548,0.019173074292537548
btc_volume_chg_3,0.013528420573687845,0.013528420573687845
btc_return_ma_7,-0.01317754211510084,0.01317754211510084
btc_volume_z_30,-0.011934995251119629,0.011934995251119629
btc_return_lag_14,0.011808662174657699,0.011808662174657699
btc_return_lag_3,0.011475715094788728,0.011475715094788728
ntv_net_ma_14,0.007853557779858997,0.007853557779858997
ntv_sign,-0.0052149162885183125,0.0052149162885183125
