date,taker_buy_volume,taker_sell_volume,net_taker_volume,total_taker_volume,ntv_ratio,ntv_abs,ntv_ratio_abs,ntv_sign,ntv_ratio_ma_3,ntv_ratio_std_3,ntv_net_ma_3,ntv_ratio_ma_7,ntv_ratio_std_7,ntv_net_ma_7,ntv_ratio_ma_14,ntv_ratio_std_14,ntv_net_ma_14,ntv_ratio_ma_30,ntv_ratio_std_30,ntv_net_ma_30,ntv_ratio_z_30,ntv_net_z_30,btc_close,btc_volume,btc_open,btc_high,btc_low,btc_return,next_return,target_up,btc_return_lag_1,btc_return_lag_2,btc_return_lag_3,btc_return_lag_5,btc_return_lag_7,btc_return_lag_14,btc_volatility_3,btc_return_ma_3,btc_volume_chg_3,btc_volume_z_3,btc_volatility_7,btc_return_ma_7,btc_volume_chg_7,btc_volume_z_7,btc_volatility_14,btc_return_ma_14,btc_volume_chg_14,btc_volume_z_14,btc_volatility_30,btc_return_ma_30,btc_volume_chg_30,btc_volume_z_30,target_high_vol,same_day_up,ntv_ratio_lag1,net_taker_volume_lag1,ntv_ratio_z_30_lag1,ntv_net_z_30_lag1
2019-09-08,0.039,3096.252,-3096.2129999999997,3096.291,-0.9999748085693494,3096.2129999999997,0.9999748085693494,-1.0,,,,,,,,,,,,,,,10441.2763671875,13670567493,10518.1142578125,10595.6376953125,10409.0908203125,,-0.010180916017754393,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
2019-09-09,5452.451,9371.922,-3919.470999999998,14824.373,-0.26439371162611724,3919.470999999998,0.26439371162611724,-1.0,-0.6321842600977333,0.5201343817611986,-3507.8419999999987,,,,,,,,,,,,10334.974609375,17595943368,10443.228515625,10450.3115234375,10144.9296875,-0.010180916017754393,-0.02119008819226731,0,,,,,,,,,,0.7071067811865475,,,,,,,,,,,,,0,0,-0.9999748085693494,-3096.2129999999997,,
2019-09-10,6395.462,2673.4929999999995,3721.969000000001,9068.955,0.4104077040849801,3721.969000000001,0.4104077040849801,1.0,-0.2846536053701622,0.7054094948830608,-1097.904999999999,-0.2846536053701622,0.7054094948830608,-1097.904999999999,,,,,,,,,10115.9755859375,14906809639,10336.408203125,10394.353515625,10020.5732421875,-0.02119008819226731,0.006168113381149309,1,-0.010180916017754393,,,,,,0.007784660299848332,-0.01568550210501085,,-0.24130395010116235,,,,-0.24130395010116235,,,,,,,,,0,0,-0.26439371162611724,-3919.470999999998,,
2019-09-11,7724.442,3173.4800000000005,4550.9619999999995,10897.922,0.4175990615458616,4550.9619999999995,0.4175990615458616,1.0,0.18787101800157482,0.39168924947519257,1451.1533333333343,-0.10909043864115622,0.6745552157002793,314.31175000000064,,,,,,,,,10178.3720703125,15428063426,10123.03515625,10215.9482421875,9980.7763671875,0.006168113381149309,0.022769346729666573,1,-0.02119008819226731,-0.010180916017754393,,,,,0.013765680922654368,-0.008400963609624132,0.12856056882056466,-0.3848741638051337,0.013765680922654368,-0.008400963609624132,,0.0169131182613135,,,,,,,,,0,1,0.4104077040849801,3721.969000000001,,
2019-09-12,10117.798,5491.835999999999,4625.962000000001,15609.634,0.2963530086611897,4625.962000000001,0.2963530086611897,1.0,0.37478659143067716,0.06802057839416012,4299.631,-0.02800174918068704,0.6116742859262762,1176.6418000000008,,,,,,,,,10410.126953125,15323563925,10176.8193359375,10442.25390625,10099.2421875,0.022769346729666573,-0.004762677568511009,0,0.006168113381149309,-0.02119008819226731,-0.010180916017754393,,,,0.02219798812460023,0.002582457306182858,-0.1291422344045816,0.3774275334794107,0.019215264136569748,-0.000608386024801455,,-0.043267571524853,,,,,,,,,0,1,0.4175990615458616,4550.9619999999995,,
2019-09-13,9717.128,9535.593,181.53499999999983,19252.721,0.009429056807087154,181.53499999999983,0.009429056807087154,1.0,0.24112704233804616,0.20961421399646676,3119.4863333333337,-0.021763281516058008,0.5473114803505875,1010.7906666666673,,,,,,,,,10360.546875,14109864675,10415.3623046875,10441.4892578125,10226.5966796875,-0.004762677568511009,-0.00024111148814232042,0,0.022769346729666573,0.006168113381149309,-0.02119008819226731,,,,0.013862993312127425,0.008058260847434958,-0.05346180593297367,-1.1517612922015852,0.01674429483509637,-0.0014392443335433658,,-0.7742921790877324,,,,,,,,,0,0,0.2963530086611897,4625.962000000001,,
2019-09-14,9522.547,11134.077,-1611.5299999999988,20656.624,-0.07801516840312332,1611.5299999999988,0.07801516840312332,-1.0,0.07592229902171783,0.19584150848268714,1065.3223333333342,-0.02979926535706734,0.5000769137746149,636.1734285714293,-0.02979926535706734,0.5000769137746149,636.1734285714293,,,,,,10358.048828125,13468713124,10345.4033203125,10422.1337890625,10291.6943359375,-0.00024111148814232042,-0.0009978652998753335,0,-0.004762677568511009,0.022769346729666573,0.006168113381149309,-0.010180916017754393,,,0.014764473741429179,0.005921852557671081,-0.12699910856588925,-0.8831924542459201,0.014984538075593547,-0.001239555525976525,,-1.0367482630952458,,,,-1.0367482630952458,,,,,0,0,0.009429056807087154,181.53499999999983,,
2019-09-15,7430.161,13106.094,-5675.933000000001,20536.254999999997,-0.2763859817673671,5675.933000000001,0.2763859817673671,-1.0,-0.11499069778780109,0.14645119118254776,-2368.6426666666666,0.07357056704321585,0.30144891398366624,267.6420000000006,-0.06062260490835481,0.47111810784305214,-152.83987499999944,,,,,,10347.712890625,12043433567,10356.4658203125,10387.03515625,10313.0927734375,-0.0009978652998753335,-0.006853586494147135,0,-0.00024111148814232042,-0.004762677568511009,0.022769346729666573,-0.02119008819226731,,,0.002421812254242086,-0.002000551452176221,-0.21405792895532294,-1.1003886815659099,0.013679254219310754,-0.001205028350819212,-0.11902460719594654,-1.5204711738859897,0.013679254219310754,-0.001205028350819212,,-1.5249342606031429,,,,,0,0,-0.07801516840312332,-1611.5299999999988,,
2019-09-16,6954.582,13231.054999999998,-6276.472999999998,20185.637,-0.3109375740780436,6276.472999999998,0.3109375740780436,-1.0,-0.22177957474951135,0.12569648575794762,-4521.311999999999,0.06692144383579779,0.3105226420911586,-69.07257142857088,-0.08843537926054246,0.44852000105893475,-833.2435555555548,,,,,,10276.7939453125,15160167779,10347.22265625,10386.8671875,10189.744140625,-0.006853586494147135,-0.003456475294145833,0,-0.0009978652998753335,-0.00024111148814232042,-0.004762677568511009,0.006168113381149309,-0.010180916017754393,,0.0036190922605365836,-0.0026975210940549297,0.07443750370341529,1.0272193971477193,0.013369679856835494,-0.0007296955617324606,-0.13842824667358866,0.654249906838862,0.01282102017859969,-0.0019110981187352022,,0.3369172919217955,,,,,0,0,-0.2763859817673671,-5675.933000000001,,
2019-09-17,12669.109,9850.498,2818.611000000001,22519.607,0.1251625305894548,2818.611000000001,0.1251625305894548,1.0,-0.15405367508531861,0.24242466926112108,-3044.598333333333,0.02617213333643703,0.2745698261434625,-198.12371428571376,-0.06707558827554273,0.4282293247499669,-468.0580999999993,,,,0.44891395276874346,0.7773026511316671,10241.2724609375,15304603363,10281.513671875,10296.771484375,10199.7392578125,-0.003456475294145833,-0.004201080893668663,0,-0.006853586494147135,-0.0009978652998753335,-0.00024111148814232042,0.022769346729666573,-0.02119008819226731,,0.002940368409857997,-0.003769309029389434,0.13630776913115872,0.6161009469265879,0.010135513776172451,0.0018036777094277503,0.026685369548107074,0.7031389065141141,0.01200402403905668,-0.002082806693780828,,0.4057392767976972,,,,,0,0,-0.3109375740780436,-6276.472999999998,,
