date,ntv_ratio,net_taker_volume,btc_close,next_return,target_up
2019-09-08,-0.9999748085693494,-3096.2129999999997,10441.2763671875,-0.010180916017754393,0
2019-09-09,-0.26439371162611724,-3919.470999999998,10334.974609375,-0.02119008819226731,0
2019-09-10,0.4104077040849801,3721.969000000001,10115.9755859375,0.006168113381149309,1
2019-09-11,0.4175990615458616,4550.9619999999995,10178.3720703125,0.022769346729666573,1
2019-09-12,0.2963530086611897,4625.962000000001,10410.126953125,-0.004762677568511009,0
2019-09-13,0.009429056807087154,181.53499999999983,10360.546875,-0.00024111148814232042,0
2019-09-14,-0.07801516840312332,-1611.5299999999988,10358.048828125,-0.0009978652998753335,0
2019-09-15,-0.2763859817673671,-5675.933000000001,10347.712890625,-0.006853586494147135,0
2019-09-16,-0.3109375740780436,-6276.472999999998,10276.7939453125,-0.003456475294145833,0
2019-09-17,0.1251625305894548,2818.611000000001,10241.2724609375,-0.004201080893668663,0
2019-09-18,0.29259068410799355,6095.510999999999,10198.248046875,0.0066841865263698175,1
2019-09-19,-0.22117596588842922,-5801.170000000002,10266.4150390625,-0.008257355384274523,0
2019-09-20,-0.18188216149722916,-4231.653999999999,10181.6416015625,-0.015903604843314323,0
2019-09-21,-0.30467105542261863,-7203.150999999998,10019.716796875,0.005057606145695059,1
2019-09-22,-0.12474995143490511,-2983.5639999999985,10070.392578125,-0.033868427345709606,0
2019-09-23,-0.06508459813809371,-2077.9600000000028,9729.32421875,-0.1139604136496184,0
2019-09-24,-0.004163477805611104,-123.89900000000124,8620.56640625,-0.015494717619790932,0
2019-09-25,0.03571304295279379,1722.158000000003,8486.9931640625,-0.043363460239767226,0
2019-09-26,-0.0033824324248956992,-203.1690000000017,8118.9677734375,0.01636635757099958,1
2019-09-27,0.047135939956817,1887.0710000000036,8251.845703125,-0.0007187075808087195,0
2019-09-28,-0.0028560725981455785,-96.59500000000116,8245.9150390625,-0.017187842891431715,0
2019-09-29,0.11536383082982468,4149.182000000001,8104.185546875,0.023405512631758718,1
2019-09-30,0.026798942596299603,1458.198000000004,8293.8681640625,0.005957196587605074,1
2019-10-01,-0.002991777889691308,-117.3159999999989,8343.2763671875,0.005964758065035269,1
2019-10-02,-0.087307968342961,-2647.9789999999975,8393.0419921875,-0.015852393543526522,0
2019-10-03,-0.0919701719072828,-3074.5840000000026,8259.9921875,-0.006543920762636879,0
2019-10-04,-0.1247368197534572,-3545.1589999999997,8205.939453125,-0.006634092921928403,0
2019-10-05,-0.1937282016268188,-5862.604000000001,8151.50048828125,-0.02003860844973604,0
2019-10-06,-0.05554847010450419,-2327.983,7988.15576171875,0.03223112979219778,1
2019-10-07,-0.02653628211682031,-1665.4249999999956,8245.623046875,-0.0020422766908295698,0
2019-10-08,-0.07269683562612367,-3250.650999999998,8228.783203125,0.0445943248463081,1
2019-10-09,-0.03925362870940574,-2569.292999999994,8595.740234375,-0.0010780457889411066,0
2019-10-10,-0.0926075225962493,-4101.185999999994,8586.4736328125,-0.030829512579344187,0
2019-10-11,-0.04978746916262618,-3443.2000000000116,8321.7568359375,0.0017783297946283305,1
2019-10-12,-0.18921264650564593,-7144.956,8336.5556640625,-0.0018652553061611066,0
2019-10-13,-0.11328821469329048,-4964.393000000004,8321.005859375,0.006451222961466829,1
2019-10-14,-0.07160364221051536,-4439.412999999997,8374.6865234375,-0.020217757684260373,0
2019-10-15,-0.005071715804615365,-437.4189999999944,8205.369140625,-0.019236463643636514,0
2019-10-16,0.05330093290141583,3754.2219999999943,8047.52685546875,0.007006410585064904,1
2019-10-17,0.035547119317170625,2074.3380000000034,8103.9111328125,-0.016128460830725944,0
2019-10-18,0.03430662614540129,2581.6199999999953,7973.20751953125,0.0019255772919670733,1
2019-10-19,0.023987587471841317,1871.6169999999984,7988.560546875,0.029231496307097427,1
2019-10-20,0.018264448190762075,1436.7530000000115,8222.078125,0.002632251578733369,1
2019-10-21,0.006550971494104684,392.5899999999965,8243.720703125,-0.020078018662405217,0
2019-10-22,0.027505219627179295,1911.801999999996,8078.203125,-0.06975948008239763,0
2019-10-23,-0.030152601386272678,-3271.078999999998,7514.671875,-0.002818899590176671,0
2019-10-24,-0.07165403763161778,-4780.724000000002,7493.48876953125,0.15576341830619223,1
2019-10-25,0.01890768112190848,3122.0160000000033,8660.7001953125,0.0674624969992299,1
2019-10-26,-0.009797024603700898,-2431.24099999998,9244.97265625,0.03317935043243514,1
2019-10-27,-0.014741872033852898,-2410.945000000007,9551.71484375,-0.030943805493041765,0
2019-10-28,-0.019622580273550915,-3053.2730000000156,9256.1484375,0.018532445072405368,1
2019-10-29,-0.004853595599541818,-605.2580000000016,9427.6875,-0.02354351875791383,0
2019-10-30,-0.01922702209147539,-1893.185999999987,9205.7265625,-0.000667150118005666,0
2019-10-31,-0.022493130137827024,-2223.131999999998,9199.5849609375,0.006687207250242189,1
2019-11-01,-0.0007150949089452716,-62.396999999997206,9261.1044921875,0.006868865512063227,1
2019-11-02,-0.008525750522662067,-482.5749999999971,9324.7177734375,-0.009583483749455834,0
2019-11-03,-0.03428563251564985,-2592.429999999993,9235.3544921875,0.01919339562438549,1
2019-11-04,0.014120420189643022,1276.9569999999949,9412.6123046875,-0.007445856545328811,0
2019-11-05,-0.01974465471265566,-2245.7219999999943,9342.52734375,0.001964408386214478,1
2019-11-06,-0.004640188333379692,-342.2969999999914,9360.8798828125,-0.009968973060571096,0
2019-11-07,-0.0316428561580438,-2448.827000000005,9267.5615234375,-0.049924746967407674,0
2019-11-08,-0.04156554352301301,-6311.776000000013,8804.880859375,0.0009882214210468199,1
2019-11-09,-0.007999085425582975,-534.7100000000064,8813.58203125,0.02745130584586919,1
2019-11-10,0.012709255823627074,1157.803,9055.5263671875,-0.032879179981060824,0
2019-11-11,-0.03505218429639837,-3973.998000000007,8757.7880859375,0.006608292284490114,1
2019-11-12,-0.0008321014292469091,-89.46800000000803,8815.662109375,-0.0008393486468396549,0
2019-11-13,-0.010896580402377669,-638.385000000002,8808.2626953125,-0.011372046022572246,0
2019-11-14,-0.022923503038088607,-1996.6370000000024,8708.0947265625,-0.024816282533459022,0
2019-11-15,-0.026201508068917283,-3815.0050000000047,8491.9921875,0.006920467352055093,1
2019-11-16,-0.005738409077083191,-279.21399999999994,8550.7607421875,0.0031827394743637605,1
2019-11-17,-0.0060813613255056975,-438.7839999999997,8577.9755859375,-0.031323177646423006,0
2019-11-18,-0.06439459053887077,-7951.260000000002,8309.2861328125,-0.012412693864603863,0
2019-11-19,-0.0019710063765837477,-218.49400000000605,8206.1455078125,-0.021797985575073398,0
2019-11-20,-0.017573716938221944,-1535.1059999999998,8027.26806640625,-0.04790148568918984,0
2019-11-21,-0.050085859557557885,-9029.939000000011,7642.75,-0.045294215208040334,0
2019-11-22,-0.01978584312419879,-7344.781000000017,7296.57763671875,0.013872152579023078,1
2019-11-23,-0.005519627073293762,-770.7789999999804,7397.796875,-0.047295145936607,0
2019-11-24,-0.017376938982767275,-3191.728000000003,7047.9169921875,0.013935577984796277,1
2019-11-25,-0.0020132704562476947,-672.4079999999958,7146.1337890625,0.010108585540066883,1
2019-11-26,-0.0035027668859875767,-679.4040000000095,7218.37109375,0.04340210227484875,1
2019-11-27,0.010588075138675155,3153.5839999999735,7531.66357421875,-0.009102586236349741,0
2019-11-28,-0.016973466646621777,-2970.3669999999984,7463.10595703125,0.039948206152910615,1
2019-11-29,0.010290175310530222,1912.1120000000228,7761.24365234375,-0.02468853937775628,0
2019-11-30,-0.041846425173642454,-5940.785999999993,7569.6298828125,-0.019200067188720915,0
2019-12-01,-0.0210765582156458,-4137.144,7424.29248046875,-0.013779656376399996,0
2019-12-02,-0.007935772593589595,-1142.4890000000014,7321.98828125,-0.00025167664392733435,0
2019-12-03,-0.010090051330899744,-854.622000000003,7320.1455078125,-0.00930457458407874,0
2019-12-04,0.00048242596907404934,132.60899999999674,7252.03466796875,0.02706453543109233,1
2019-12-05,0.00950686540146065,1676.203999999998,7448.3076171875,0.013249850827323328,1
2019-12-06,0.003806386152233984,518.5010000000184,7546.99658203125,0.0012244885547587625,1
2019-12-07,0.0024092168540574654,200.46799999999348,7556.23779296875,0.0010729442478032425,1
2019-12-08,-0.005879545066529625,-496.1180000000022,7564.34521484375,-0.021607395767781146,0
2019-12-09,-0.02522188185978315,-3441.2780000000203,7400.8994140625,-0.01658984648851669,0
2019-12-10,-0.023574404966939227,-2986.0,7278.11962890625,-0.008339019679128423,0
2019-12-11,-0.006769996693510155,-658.8610000000044,7217.42724609375,0.0035617998454939848,1
2019-12-12,0.0057280566635420195,805.3309999999765,7243.13427734375,0.0036655806660659263,1
2019-12-13,-0.00955146104458763,-765.8249999999971,7269.6845703125,-0.01994732244362929,0
2019-12-14,-0.05852593635046655,-5726.0320000000065,7124.673828125,0.003877781685729609,1
2019-12-15,0.012975469695285808,1140.9750000000058,7152.3017578125,-0.030734342104957735,0
2019-12-16,-0.05458944884130155,-6419.604000000007,6932.48046875,-0.04211556503438585,0
2019-12-17,-0.027153608551160176,-4518.666999999987,6640.51513671875,0.0958190117115909,1
2019-12-18,0.03563747299598618,11706.53899999999,7276.802734375,-0.010163597776861044,0
2019-12-19,-0.030390060996452483,-4827.448000000004,7202.84423828125,0.0022174806840695727,1
2019-12-20,0.0007371928275498331,63.729999999995925,7218.81640625,-0.0038313365082680573,0
2019-12-21,-0.0111864529480875,-496.0169999999998,7191.15869140625,0.0445589076158448,1
2019-12-22,0.036172120403495045,4695.047000000006,7511.5888671875,-0.020762644491902904,0
2019-12-23,-0.03067024711105326,-6603.267000000022,7355.62841796875,-0.004499437644974069,0
2019-12-24,-0.019767293759304073,-2946.9279999999853,7322.5322265625,-0.006469956481979233,0
2019-12-25,-0.02292736914587136,-2223.153999999995,7275.15576171875,-0.004974321654276248,0
2019-12-26,-0.004228872578884672,-566.5570000000007,7238.966796875,0.007061999794407026,1
2019-12-27,-0.011892101686954275,-1335.300000000003,7290.08837890625,0.003827368615925586,1
2019-12-28,-0.01728110631889124,-1577.6419999999923,7317.990234375,0.014302095835631912,1
2019-12-29,0.03329861196914409,3414.572,7422.65283203125,-0.017467840376992116,0
2019-12-30,-0.04749487477462593,-4482.34599999999,7292.9951171875,-0.013628967865274233,0
2019-12-31,-0.03858300885872826,-3441.7370000000083,7193.59912109375,0.0009140341575637478,1
2020-01-01,0.01526497733882254,867.0710000000036,7200.17431640625,-0.029819292162590716,0
2020-01-02,-0.03891865780882653,-4487.152999999991,6985.47021484375,0.05145166344511276,1
2020-01-03,0.031072783108619068,6478.47199999998,7344.88427734375,0.008954866877941559,1
