entry_ts,direction,entry_open,exit_reason,gross_ret,cost,net_ret,hold_min
2020-09-02 12:00:00,-1,11406.01,time,-0.001984918477188735,0.001,-0.002984918477188735,60.0
2020-09-03 13:00:00,-1,10818.92,time,-0.00906837281355255,0.001,-0.01006837281355255,60.0
2020-09-03 16:00:00,-1,10670.28,time,0.010087832746657144,0.001,0.009087832746657143,60.0
2020-09-04 00:00:00,-1,10138.29,time,-0.01589025368183372,0.001,-0.016890253681833722,60.0
2020-10-01 17:00:00,-1,10522.72,time,0.0038326592363951972,0.001,0.002832659236395197,60.0
2020-10-27 12:00:00,1,13449.8,time,-0.004965873098484619,0.001,-0.005965873098484619,60.0
2020-11-07 19:00:00,-1,14927.96,time,0.019054177529950422,0.001,0.01805417752995042,60.0
2020-11-07 20:00:00,-1,14643.52,time,-0.014254769345075413,0.001,-0.015254769345075414,60.0
2020-11-22 12:00:00,-1,17891.76,time,-0.0120440918053899,0.001,-0.013044091805389901,60.0
2020-11-26 04:00:00,-1,17927.98,time,0.008699251114737905,0.001,0.007699251114737905,60.0
2020-11-26 09:00:00,-1,16878.8,time,-0.010780979690499404,0.001,-0.011780979690499405,60.0
2020-12-21 11:00:00,-1,22446.39,time,-0.008886061411211399,0.001,-0.0098860614112114,60.0
2021-01-02 21:00:00,-1,30669.43,sl,-0.03,0.001,-0.031,3.0
2021-01-02 22:00:00,-1,31693.53,time,-0.014265687665589777,0.001,-0.015265687665589778,60.0
2021-01-02 23:00:00,-1,32143.53,time,-0.0010826440033189222,0.001,-0.002082644003318922,60.0
2021-01-03 00:00:00,-1,32176.45,time,-0.008437537391477345,0.001,-0.009437537391477346,60.0
2021-01-04 08:00:00,-1,32068.84,time,0.0007390351506322279,0.001,-0.0002609648493677721,60.0
2021-01-04 09:00:00,-1,32045.15,tp,0.03,0.001,0.028999999999999998,34.0
2021-01-04 10:00:00,-1,31038.35,tp,0.03,0.001,0.028999999999999998,14.0
2021-01-04 11:00:00,-1,30270.76,time,-0.015602515430732655,0.001,-0.016602515430732656,60.0
2021-01-04 12:00:00,-1,30742.99,time,-0.015484180296061023,0.001,-0.016484180296061024,60.0
2021-01-04 13:00:00,-1,31219.03,time,-0.005796784845653491,0.001,-0.006796784845653491,60.0
2021-01-04 14:00:00,-1,31400.0,time,-0.022728662420382184,0.001,-0.023728662420382185,60.0
2021-01-04 15:00:00,-1,32113.68,time,0.011458045294092667,0.001,0.010458045294092666,60.0
2021-01-06 09:00:00,-1,34596.08,tp,0.03,0.001,0.028999999999999998,19.0
2021-01-06 10:00:00,-1,33919.5,time,-0.014677692772594009,0.001,-0.01567769277259401,60.0
2021-01-06 11:00:00,-1,34417.37,time,-0.014561252065454111,0.001,-0.015561252065454112,60.0
2021-01-06 12:00:00,-1,34918.54,time,-0.0003244694652182467,0.001,-0.0013244694652182467,60.0
2021-01-06 13:00:00,-1,34929.87,time,0.010875219403908565,0.001,0.009875219403908564,60.0
2021-01-06 14:00:00,-1,34549.99,time,0.00974037908549319,0.001,0.008740379085493188,60.0
2021-01-06 15:00:00,-1,34213.58,time,-0.01030614159640697,0.001,-0.011306141596406971,60.0
2021-01-08 02:00:00,-1,38681.38,tp,0.03,0.001,0.028999999999999998,20.0
2021-01-08 03:00:00,-1,37181.74,sl,-0.03,0.001,-0.031,27.0
2021-01-08 04:00:00,-1,38347.11,time,-0.008392027456566975,0.001,-0.009392027456566976,60.0
2021-01-08 05:00:00,-1,38668.92,time,0.01793869598633735,0.001,0.01693869598633735,60.0
2021-01-08 06:00:00,-1,37980.53,time,-0.014676203833911883,0.001,-0.015676203833911884,60.0
2021-01-08 07:00:00,-1,38538.99,time,-0.010160100199823718,0.001,-0.01116010019982372,60.0
2021-01-08 19:00:00,-1,39920.67,time,-0.011132578686680272,0.001,-0.012132578686680273,60.0
2021-01-08 21:00:00,-1,39062.88,time,-0.025931011743117738,0.001,-0.02693101174311774,60.0
2021-01-10 12:00:00,-1,39175.09,time,-0.009278344989124498,0.001,-0.0102783449891245,60.0
2021-01-10 18:00:00,-1,38571.95,time,0.011984615763527606,0.001,0.010984615763527605,60.0
2021-01-11 04:00:00,-1,35438.23,tp,0.03,0.001,0.028999999999999998,28.0
2021-01-11 05:00:00,-1,35542.92,time,0.017955474676813132,0.001,0.01695547467681313,60.0
2021-01-11 16:00:00,1,31582.82,sl,-0.03,0.001,-0.031,18.0
2021-01-11 17:00:00,1,31771.77,sl,-0.03,0.001,-0.031,6.0
2021-01-29 16:00:00,-1,37129.4,tp,0.03,0.001,0.028999999999999998,54.0
2021-01-29 17:00:00,-1,36038.73,time,0.008255007876248666,0.001,0.007255007876248666,60.0
2021-01-29 18:00:00,-1,35741.23,tp,0.03,0.001,0.028999999999999998,47.0
2021-01-29 19:00:00,-1,35204.22,tp,0.03,0.001,0.028999999999999998,32.0
2021-01-29 20:00:00,-1,34322.5,time,-0.0073453274091339615,0.001,-0.008345327409133962,60.0
2021-01-29 21:00:00,-1,34574.61,time,-0.0017619866138764984,0.001,-0.0027619866138764984,60.0
2021-01-29 22:00:00,-1,34628.68,time,0.00412086166726533,0.001,0.0031208616672653297,60.0
2021-01-29 23:00:00,-1,34485.98,time,0.006778986707062007,0.001,0.005778986707062007,60.0
2021-02-07 05:00:00,-1,38312.99,time,-0.005168221013290841,0.001,-0.006168221013290841,60.0
2021-02-08 17:00:00,-1,43184.74,time,0.002446929169887313,0.001,0.001446929169887313,60.0
2021-02-08 18:00:00,-1,43079.08,time,0.009415010719820427,0.001,0.008415010719820426,60.0
2021-02-08 19:00:00,-1,42673.49,time,-0.008868737944798921,0.001,-0.009868737944798922,60.0
2021-02-08 20:00:00,-1,43049.98,sl,-0.03,0.001,-0.031,48.0
2021-02-08 21:00:00,-1,44151.08,time,-0.010901885072799988,0.001,-0.01190188507279999,60.0
2021-02-08 22:00:00,-1,44632.41,time,-0.001128103994384233,0.001,-0.002128103994384233,60.0
2021-02-08 23:00:00,-1,44682.76,sl,-0.03,0.001,-0.031,25.0
2021-02-09 00:00:00,-1,46374.86,time,-0.008482181940818734,0.001,-0.009482181940818735,60.0
2021-02-09 09:00:00,-1,47106.59,time,0.01497221514017455,0.001,0.013972215140174549,60.0
2021-02-09 10:00:00,-1,46401.3,time,0.016368722428035554,0.001,0.015368722428035553,60.0
2021-02-09 11:00:00,-1,45641.77,time,-0.016194595433086878,0.001,-0.01719459543308688,60.0
2021-02-09 12:00:00,-1,46390.95,time,0.023512775659907836,0.001,0.022512775659907835,60.0
2021-02-09 13:00:00,-1,45300.17,time,-0.02174318551122445,0.001,-0.02274318551122445,60.0
2021-02-09 14:00:00,-1,46282.88,time,-0.007379834617033509,0.001,-0.00837983461703351,60.0
2021-02-09 15:00:00,-1,46624.33,time,-0.0032021907875137146,0.001,-0.004202190787513715,60.0
2021-02-09 16:00:00,-1,46773.63,time,0.006473305578378219,0.001,0.005473305578378219,60.0
2021-02-10 13:00:00,-1,45655.13,time,0.0006310353294360915,0.001,-0.0003689646705639085,60.0
2021-02-10 16:00:00,-1,44354.5,time,-0.00884149297140091,0.001,-0.009841492971400911,60.0
2021-02-12 15:00:00,-1,46542.6,time,-0.010279829661428597,0.001,-0.011279829661428598,60.0
2021-02-15 03:00:00,-1,46874.01,time,-0.005254297637432792,0.001,-0.006254297637432792,60.0
2021-02-20 23:00:00,-1,55424.0,time,-0.007527244515011633,0.001,-0.008527244515011634,60.0
2021-02-22 13:00:00,-1,53784.14,tp,0.03,0.001,0.028999999999999998,58.0
2021-02-22 15:00:00,-1,53472.69,time,0.004413467884260225,0.001,0.003413467884260225,60.0
2021-02-22 16:00:00,-1,53236.69,time,0.0010639279038572313,0.001,6.392790385723133e-05,60.0
2021-02-22 18:00:00,-1,52100.0,time,-0.02163589251439535,0.001,-0.02263589251439535,60.0
2021-02-23 19:00:00,1,46872.77,time,-0.02879646327707952,0.001,-0.02979646327707952,60.0
2021-02-23 21:00:00,1,47812.8,time,0.002604532677441984,0.001,0.0016045326774419841,60.0
2021-03-03 11:00:00,1,51414.19,time,0.004904093597506876,0.001,0.0039040935975068755,60.0
2021-03-03 13:00:00,1,52547.23,time,-0.018796994627499952,0.001,-0.019796994627499953,60.0
2021-03-15 08:00:00,-1,57789.75,time,0.0005545966196428553,0.001,-0.0004454033803571447,60.0
2021-03-15 10:00:00,-1,55871.29,time,-0.008660082843979344,0.001,-0.009660082843979345,60.0
2021-03-15 11:00:00,-1,56355.13,time,0.0036259343204424477,0.001,0.0026259343204424477,60.0
2021-03-15 13:00:00,-1,56439.54,time,-0.0073714279032039975,0.001,-0.008371427903203998,60.0
2021-03-22 21:00:00,-1,54504.94,time,-0.0011343925890019424,0.001,-0.0021343925890019424,60.0
2021-03-24 23:00:00,-1,52534.03,time,0.004385347935423889,0.001,0.003385347935423889,60.0
2021-04-10 05:00:00,1,61074.09,time,-0.003637712817333827,0.001,-0.004637712817333827,60.0
2021-04-18 04:00:00,-1,55000.01,time,0.0031049085263803455,0.001,0.0021049085263803455,60.0
2021-04-18 05:00:00,-1,54854.55,time,-0.013027725138570867,0.001,-0.014027725138570868,60.0
2021-04-18 06:00:00,-1,55569.18,time,-0.0028699361768520504,0.001,-0.0038699361768520504,60.0
2021-04-18 07:00:00,-1,55731.24,time,-0.008058317022912043,0.001,-0.009058317022912044,60.0
2021-05-04 01:00:00,-1,55294.47,time,-0.007021316959905821,0.001,-0.008021316959905822,60.0
2021-05-10 21:00:00,-1,55246.69,time,-0.0071392512383998685,0.001,-0.00813925123839987,60.0
2021-05-12 23:00:00,-1,52938.97,tp,0.03,0.001,0.028999999999999998,29.0
2021-05-13 01:00:00,-1,49661.12,time,-0.01734556127610487,0.001,-0.01834556127610487,60.0
2021-05-17 06:00:00,1,44193.78,time,0.0029341233087551988,0.001,0.0019341233087551988,60.0
2021-05-19 12:00:00,-1,38700.0,tp,0.03,0.001,0.028999999999999998,39.0
2021-05-19 14:00:00,-1,35863.06,tp,0.03,0.001,0.028999999999999998,3.0
2021-05-19 15:00:00,-1,37501.89,time,0.004889620229807101,0.001,0.003889620229807101,60.0
2021-05-19 16:00:00,-1,37310.14,tp,0.03,0.001,0.028999999999999998,3.0
2021-05-19 19:00:00,1,37961.01,tp,0.03,0.001,0.028999999999999998,44.0
2021-05-19 20:00:00,1,39337.45,sl,-0.03,0.001,-0.031,53.0
2021-05-19 21:00:00,1,38222.2,sl,-0.03,0.001,-0.031,16.0
2021-05-19 22:00:00,1,38777.05,time,0.00807436357329916,0.001,0.007074363573299159,60.0
2021-05-19 23:00:00,1,39070.57,sl,-0.03,0.001,-0.031,10.0
2021-05-20 00:00:00,1,36671.23,tp,0.03,0.001,0.028999999999999998,12.0
2021-05-20 01:00:00,1,35825.8,tp,0.03,0.001,0.028999999999999998,6.0
2021-05-22 01:00:00,1,37652.42,time,-0.0008408490078458675,0.001,-0.0018408490078458675,60.0
2021-05-22 02:00:00,1,37620.75,time,-0.006320713967690739,0.001,-0.007320713967690739,60.0
2021-05-22 03:00:00,1,37382.97,time,-0.011532524034339797,0.001,-0.012532524034339798,60.0
2021-05-22 04:00:00,1,36947.31,time,-0.017406679945035197,0.001,-0.018406679945035198,60.0
2021-05-22 06:00:00,1,36376.26,time,0.0009954294366709693,0.001,-4.57056332903074e-06,60.0
2021-05-22 07:00:00,1,36412.47,time,-0.003932444022610948,0.001,-0.004932444022610948,60.0
2021-05-22 08:00:00,1,36266.36,time,0.014869151467089559,0.001,0.013869151467089558,60.0
2021-05-22 09:00:00,1,36805.61,time,0.010003638032354267,0.001,0.009003638032354266,60.0
2021-05-23 11:00:00,1,35004.82,time,0.010977916755464001,0.001,0.009977916755464,60.0
2021-05-23 12:00:00,1,35386.8,sl,-0.03,0.001,-0.031,38.0
2021-05-23 22:00:00,1,34007.57,time,-0.005140032057568411,0.001,-0.006140032057568411,60.0
2021-05-23 23:00:00,1,33825.84,tp,0.03,0.001,0.028999999999999998,27.0
2021-07-05 12:00:00,-1,33379.96,time,-0.002640806040510535,0.001,-0.003640806040510535,60.0
2021-07-20 04:00:00,-1,29600.46,time,-0.001981725959664171,0.001,-0.0029817259596641712,60.0
2021-07-26 01:00:00,1,36758.73,tp,0.03,0.001,0.028999999999999998,1.0
2021-07-26 06:00:00,1,38568.92,time,0.001382460281490916,0.001,0.0003824602814909159,60.0
2021-07-26 07:00:00,1,38622.24,time,-0.012227152024325783,0.001,-0.013227152024325783,60.0
2021-07-26 19:00:00,1,39709.17,time,-0.008663490070429547,0.001,-0.009663490070429548,60.0
2021-09-07 15:00:00,-1,47300.0,tp,0.03,0.001,0.028999999999999998,7.0
2021-09-07 16:00:00,-1,46656.07,time,-0.016480813750493706,0.001,-0.017480813750493707,60.0
2021-09-07 17:00:00,-1,47424.99,time,0.01725988766681863,0.001,0.01625988766681863,60.0
2021-09-07 18:00:00,-1,46606.44,time,-0.0067711672464148,0.001,-0.0077711672464148,60.0
2021-09-07 19:00:00,-1,46922.02,time,0.004846978028652638,0.001,0.0038469780286526376,60.0
2021-09-13 15:00:00,-1,43933.32,time,-0.00974180872285535,0.001,-0.01074180872285535,60.0
2021-09-20 12:00:00,-1,43734.0,time,0.0046188320299995755,0.001,0.0036188320299995755,60.0
2021-09-20 13:00:00,-1,43532.0,time,-0.012006110447486895,0.001,-0.013006110447486896,60.0
2021-09-21 01:00:00,-1,41666.68,time,-0.02630159158349077,0.001,-0.02730159158349077,60.0
2021-10-01 08:00:00,1,44788.42,time,0.0035138546972632856,0.001,0.0025138546972632856,60.0
2021-10-17 21:00:00,-1,59401.12,time,-0.020585975483290442,0.001,-0.021585975483290443,60.0
2021-10-26 23:00:00,-1,60292.25,time,-0.0006063797585924569,0.001,-0.0016063797585924569,60.0
2021-10-27 09:00:00,-1,59221.96,time,0.0050824052429200295,0.001,0.0040824052429200295,60.0
2021-11-10 21:00:00,-1,65840.26,tp,0.03,0.001,0.028999999999999998,22.0
2021-11-10 22:00:00,-1,64251.19,time,-0.01361780225393483,0.001,-0.01461780225393483,60.0
2021-11-16 02:00:00,-1,62110.09,time,0.007880684120728065,0.001,0.006880684120728065,60.0
2021-11-16 11:00:00,-1,60160.0,time,-0.006889793882978612,0.001,-0.007889793882978613,60.0
2021-11-26 09:00:00,-1,55210.9,time,0.006097890090543734,0.001,0.005097890090543734,60.0
2021-12-03 21:00:00,-1,53453.99,time,-0.002918771826013522,0.001,-0.003918771826013522,60.0
2021-12-04 05:00:00,-1,50256.61,tp,0.03,0.001,0.028999999999999998,3.0
2021-12-04 06:00:00,-1,47538.02,time,0.0011618069073974224,0.001,0.0001618069073974224,60.0
2021-12-04 07:00:00,-1,47482.79,time,0.005055515903762298,0.001,0.004055515903762298,60.0
2021-12-04 08:00:00,-1,47242.75,time,-0.005457556979642453,0.001,-0.006457556979642453,60.0
2021-12-13 20:00:00,-1,46739.35,time,0.0016979269074131054,0.001,0.0006979269074131053,60.0
2021-12-17 15:00:00,-1,45971.02,time,-0.012133948735529643,0.001,-0.013133948735529644,60.0
2022-01-05 20:00:00,-1,44685.93,time,0.016088285507317335,0.001,0.015088285507317334,60.0
2022-01-05 21:00:00,-1,43967.01,time,0.008202513657398991,0.001,0.007202513657398991,60.0
2022-01-05 23:00:00,-1,43437.04,time,-0.00032437753585412565,0.001,-0.0013243775358541257,60.0
2022-01-07 04:00:00,-1,41803.11,time,0.0024586687449809075,0.001,0.0014586687449809075,60.0
2022-01-10 15:00:00,-1,40786.57,time,-0.004848654839080702,0.001,-0.005848654839080702,60.0
2022-01-21 04:00:00,-1,38465.65,time,-0.00978483400124519,0.001,-0.010784834001245192,60.0
2022-02-20 07:00:00,-1,38794.82,time,-4.691347968610593e-05,0.001,-0.001046913479686106,60.0
2022-02-20 09:00:00,-1,38166.84,time,-0.00048681001623407383,0.001,-0.0014868100162340738,60.0
2022-02-24 04:00:00,-1,34936.9,time,-0.004036133715355383,0.001,-0.005036133715355383,60.0
2022-02-28 18:00:00,1,41425.8,time,-0.005338219177420833,0.001,-0.006338219177420833,60.0
2022-03-01 13:00:00,1,44641.01,time,-0.0050395365158628636,0.001,-0.006039536515862864,60.0
2022-03-13 23:00:00,-1,37720.93,time,-0.0014954562361000345,0.001,-0.0024954562361000346,60.0
2022-04-10 23:00:00,-1,42111.93,time,-0.0011141735845399126,0.001,-0.0021141735845399126,60.0
2022-04-18 05:00:00,-1,38819.07,time,-0.0026569415496042748,0.001,-0.0036569415496042748,60.0
2022-05-01 00:00:00,-1,37630.8,time,-0.001325244214845256,0.001,-0.002325244214845256,60.0
2022-05-05 16:00:00,-1,36909.67,time,-0.00343758153351148,0.001,-0.00443758153351148,60.0
2022-05-07 22:00:00,-1,35026.37,time,-0.0005621478902892996,0.001,-0.0015621478902892996,60.0
2022-05-09 18:00:00,-1,31268.1,time,0.01538692789136531,0.001,0.014386927891365309,60.0
2022-05-09 19:00:00,-1,30786.97,time,-0.00512716905885835,0.001,-0.00612716905885835,60.0
2022-05-12 10:00:00,1,28061.74,tp,0.03,0.001,0.028999999999999998,53.0
2022-05-12 11:00:00,1,28622.31,time,-0.005217258844586681,0.001,-0.006217258844586681,60.0
2022-05-12 12:00:00,1,28472.98,time,0.001170232269330329,0.001,0.00017023226933032907,60.0
2022-05-12 13:00:00,1,28506.3,time,-0.010453478704707364,0.001,-0.011453478704707365,60.0
2022-05-12 14:00:00,1,28208.32,tp,0.03,0.001,0.028999999999999998,39.0
2022-05-12 15:00:00,1,29580.94,time,-0.01891995318607176,0.001,-0.01991995318607176,60.0
2022-05-12 16:00:00,1,29021.26,tp,0.03,0.001,0.028999999999999998,34.0
2022-05-23 20:00:00,-1,29089.91,time,-0.008799614711767711,0.001,-0.009799614711767712,60.0
2022-05-26 14:00:00,-1,28811.0,time,-0.015261879143382728,0.001,-0.01626187914338273,60.0
2022-06-01 17:00:00,-1,30419.62,time,0.007888001230784591,0.001,0.0068880012307845915,60.0
