date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2025-07-22,BITCOIN,BITCOIN,32027.0,10973.0,2890.0,1024.0,9165.0,458.0,184.0,4713.0,19722.0,1973.0,1147.0,3557.0,1038.0,30216.0,30844.0,1811.0,1183.0,-426.0,-73.0,-1032.0,641.0,-78.0,-7.0,-40.0,-540.0,89.0,256.0,68.0,367.0,-747.0,-513.0,-474.0,87.0,48.0,34.3,9.0,3.2,28.6,1.4,0.6,14.7,61.6,6.2,3.6,11.1,3.2,94.3,96.3,5.7,3.7,149.0,13.0,7.0,5.0,15.0,0.0,5.0,38.0,52.0,35.0,10.0,11.0,8.0,103.0,99.0
2025-07-15,BITCOIN,BITCOIN,32453.0,11046.0,3922.0,383.0,9243.0,465.0,224.0,5252.0,19632.0,1716.0,1079.0,3190.0,1785.0,30729.0,31318.0,1724.0,1135.0,1999.0,241.0,-345.0,108.0,219.0,-51.0,56.0,1335.0,843.0,39.0,-1443.0,-88.0,1269.0,1826.0,1832.0,173.0,167.0,34.0,12.1,1.2,28.5,1.4,0.7,16.2,60.5,5.3,3.3,9.8,5.5,94.7,96.5,5.3,3.5,149.0,13.0,10.0,4.0,14.0,4.0,6.0,36.0,50.0,27.0,12.0,10.0,8.0,96.0,98.0
2025-07-08,BITCOIN,BITCOIN,30454.0,10805.0,4267.0,275.0,9023.0,516.0,168.0,3917.0,18790.0,1677.0,2522.0,3278.0,516.0,28903.0,29487.0,1551.0,967.0,301.0,178.0,73.0,-565.0,425.0,-33.0,-14.0,312.0,487.0,170.0,-497.0,10.0,123.0,132.0,250.0,169.0,51.0,35.5,14.0,0.9,29.6,1.7,0.6,12.9,61.7,5.5,8.3,10.8,1.7,94.9,96.8,5.1,3.2,137.0,12.0,8.0,0.0,13.0,5.0,4.0,31.0,50.0,27.0,10.0,8.0,8.0,90.0,89.0
2025-07-01,BITCOIN,BITCOIN,30153.0,10627.0,4195.0,840.0,8598.0,549.0,182.0,3605.0,18303.0,1507.0,3019.0,3268.0,393.0,28771.0,29236.0,1382.0,917.0,-2599.0,-702.0,59.0,33.0,-228.0,33.0,-1.0,367.0,-551.0,-1763.0,150.0,14.0,-269.0,-2414.0,-2445.0,-185.0,-154.0,35.2,13.9,2.8,28.5,1.8,0.6,12.0,60.7,5.0,10.0,10.8,1.3,95.4,97.0,4.6,3.0,143.0,12.0,8.0,4.0,13.0,6.0,0.0,34.0,50.0,26.0,12.0,8.0,9.0,93.0,92.0
2025-06-24,BITCOIN,BITCOIN,32752.0,11329.0,4135.0,807.0,8827.0,516.0,183.0,3238.0,18854.0,3270.0,2869.0,3255.0,662.0,31185.0,31681.0,1567.0,1071.0,530.0,-31.0,-30.0,352.0,73.0,-35.0,-57.0,-525.0,141.0,1101.0,426.0,15.0,-802.0,538.0,686.0,-8.0,-156.0,34.6,12.6,2.5,26.9,1.6,0.6,9.9,57.6,10.0,8.8,9.9,2.0,95.2,96.7,4.8,3.3,146.0,11.0,8.0,4.0,14.0,5.0,4.0,31.0,56.0,37.0,12.0,9.0,10.0,98.0,103.0
2025-06-17,BITCOIN,BITCOIN,32222.0,11360.0,4165.0,455.0,8753.0,551.0,240.0,3764.0,18713.0,2168.0,2443.0,3240.0,1463.0,30647.0,30995.0,1575.0,1227.0,597.0,-565.0,-685.0,82.0,-35.0,26.0,95.0,268.0,158.0,393.0,-235.0,-22.0,634.0,638.0,681.0,-41.0,-84.0,35.3,12.9,1.4,27.2,1.7,0.7,11.7,58.1,6.7,7.6,10.1,4.5,95.1,96.2,4.9,3.8,142.0,12.0,9.0,6.0,13.0,6.0,4.0,29.0,52.0,25.0,10.0,9.0,11.0,89.0,99.0
2025-06-10,BITCOIN,BITCOIN,31625.0,11925.0,4850.0,373.0,8788.0,525.0,145.0,3496.0,18555.0,1775.0,2678.0,3262.0,829.0,30009.0,30314.0,1616.0,1311.0,629.0,-115.0,69.0,-65.0,150.0,76.0,-14.0,-387.0,292.0,132.0,851.0,-26.0,-111.0,440.0,351.0,189.0,278.0,37.7,15.3,1.2,27.8,1.7,0.5,11.1,58.7,5.6,8.5,10.3,2.6,94.9,95.9,5.1,4.1,142.0,11.0,9.0,4.0,12.0,6.0,4.0,30.0,52.0,21.0,12.0,9.0,10.0,86.0,95.0
2025-06-03,BITCOIN,BITCOIN,30996.0,12040.0,4781.0,438.0,8638.0,449.0,159.0,3883.0,18264.0,1643.0,1827.0,3288.0,941.0,29569.0,29963.0,1427.0,1033.0,-3116.0,-399.0,68.0,-657.0,-537.0,35.0,-2.0,405.0,-506.0,-1960.0,131.0,-141.0,168.0,-2852.0,-2995.0,-264.0,-121.0,38.8,15.4,1.4,27.9,1.4,0.5,12.5,58.9,5.3,5.9,10.6,3.0,95.4,96.7,4.6,3.3,142.0,11.0,9.0,5.0,12.0,5.0,4.0,33.0,50.0,18.0,11.0,10.0,8.0,84.0,93.0
2025-05-27,BITCOIN,BITCOIN,34112.0,12439.0,4714.0,1095.0,9175.0,414.0,162.0,3478.0,18769.0,3603.0,1696.0,3429.0,773.0,32421.0,32958.0,1691.0,1154.0,66.0,547.0,-136.0,-397.0,204.0,-25.0,9.0,361.0,888.0,849.0,-633.0,-24.0,-938.0,1.0,225.0,65.0,-159.0,36.5,13.8,3.2,26.9,1.2,0.5,10.2,55.0,10.6,5.0,10.1,2.3,95.0,96.6,5.0,3.4,143.0,11.0,10.0,5.0,13.0,4.0,6.0,30.0,54.0,31.0,9.0,12.0,7.0,92.0,100.0
2025-05-20,BITCOIN,BITCOIN,34046.0,11892.0,4850.0,1492.0,8972.0,439.0,152.0,3117.0,17882.0,2754.0,2329.0,3453.0,1711.0,32420.0,32734.0,1626.0,1312.0,2992.0,573.0,-57.0,258.0,309.0,-12.0,-1.0,124.0,653.0,590.0,-116.0,1287.0,1044.0,2779.0,3761.0,213.0,-769.0,34.9,14.2,4.4,26.4,1.3,0.4,9.2,52.5,8.1,6.8,10.1,5.0,95.2,96.1,4.8,3.9,135.0,11.0,9.0,6.0,13.0,5.0,6.0,27.0,50.0,24.0,10.0,9.0,7.0,86.0,92.0
