date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2018-12-31,BITCOIN,BITCOIN,3708.0,49.0,0.0,1.0,80.0,140.0,0.0,2452.0,2389.0,222.0,105.0,674.0,4.0,2913.0,3430.0,795.0,278.0,-149.0,49.0,0.0,1.0,-21.0,0.0,0.0,-238.0,-188.0,49.0,-55.0,1.0,-9.0,-224.0,-146.0,75.0,-3.0,1.3,0.0,0.0,2.2,3.8,0.0,66.1,64.4,6.0,2.8,18.2,0.1,78.6,92.5,21.4,7.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,4.0,0.0,5.0,0.0,24.0,23.0
2018-12-24,BITCOIN,BITCOIN,3857.0,0.0,0.0,0.0,101.0,140.0,0.0,2690.0,2577.0,173.0,160.0,673.0,13.0,3137.0,3576.0,720.0,281.0,-502.0,0.0,0.0,0.0,-37.0,30.0,0.0,-401.0,-636.0,21.0,-18.0,68.0,13.0,-422.0,-504.0,-80.0,2.0,0.0,0.0,0.0,2.6,3.6,0.0,69.7,66.8,4.5,4.1,17.4,0.3,81.3,92.7,18.7,7.3,46.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,6.0,4.0,6.0,0.0,27.0,26.0
2018-12-18,BITCOIN,BITCOIN,4359.0,0.0,0.0,0.0,138.0,110.0,0.0,3091.0,3213.0,152.0,178.0,605.0,0.0,3559.0,4080.0,800.0,279.0,389.0,0.0,0.0,0.0,111.0,-146.0,0.0,186.0,514.0,35.0,19.0,60.0,-11.0,340.0,452.0,49.0,-63.0,0.0,0.0,0.0,3.2,2.5,0.0,70.9,73.7,3.5,4.1,13.9,0.0,81.6,93.6,18.4,6.4,45.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,6.0,0.0,4.0,0.0,27.0,24.0
2018-12-11,BITCOIN,BITCOIN,3970.0,0.0,0.0,0.0,27.0,256.0,0.0,2905.0,2699.0,117.0,159.0,545.0,11.0,3219.0,3628.0,751.0,342.0,669.0,0.0,0.0,0.0,-7.0,133.0,0.0,496.0,382.0,53.0,-36.0,80.0,-3.0,503.0,645.0,166.0,24.0,0.0,0.0,0.0,0.7,6.4,0.0,73.2,68.0,2.9,4.0,13.7,0.3,81.1,91.4,18.9,8.6,43.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,17.0,4.0,0.0,4.0,0.0,22.0,26.0
2018-12-04,BITCOIN,BITCOIN,3301.0,0.0,0.0,0.0,34.0,123.0,0.0,2409.0,2317.0,64.0,195.0,465.0,14.0,2716.0,2983.0,585.0,318.0,-490.0,0.0,0.0,0.0,34.0,-115.0,0.0,-7.0,228.0,-303.0,-66.0,-209.0,1.0,-341.0,-398.0,-149.0,-92.0,0.0,0.0,0.0,1.0,3.7,0.0,73.0,70.2,1.9,5.9,14.1,0.4,82.3,90.4,17.7,9.6,43.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,4.0,4.0,0.0,22.0,25.0
2018-11-27,BITCOIN,BITCOIN,3791.0,0.0,0.0,0.0,0.0,238.0,0.0,2416.0,2089.0,367.0,261.0,674.0,13.0,3057.0,3381.0,734.0,410.0,62.0,0.0,0.0,0.0,0.0,72.0,0.0,264.0,177.0,-219.0,-54.0,2.0,0.0,-9.0,32.0,71.0,30.0,0.0,0.0,0.0,0.0,6.3,0.0,63.7,55.1,9.7,6.9,17.8,0.3,80.6,89.2,19.4,10.8,44.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,18.0,5.0,5.0,0.0,0.0,23.0,27.0
2018-11-20,BITCOIN,BITCOIN,3729.0,0.0,0.0,0.0,0.0,166.0,0.0,2152.0,1912.0,586.0,315.0,672.0,13.0,3066.0,3349.0,663.0,380.0,199.0,-31.0,0.0,0.0,0.0,-84.0,0.0,-310.0,-441.0,585.0,-84.0,53.0,13.0,173.0,126.0,26.0,73.0,0.0,0.0,0.0,0.0,4.5,0.0,57.7,51.3,15.7,8.4,18.0,0.3,82.2,89.8,17.8,10.2,43.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,8.0,5.0,4.0,0.0,27.0,25.0
2018-11-13,BITCOIN,BITCOIN,3530.0,31.0,0.0,0.0,0.0,250.0,0.0,2462.0,2353.0,1.0,399.0,619.0,0.0,2893.0,3223.0,637.0,307.0,617.0,31.0,0.0,0.0,-72.0,142.0,0.0,585.0,388.0,1.0,100.0,67.0,0.0,645.0,598.0,-28.0,19.0,0.9,0.0,0.0,0.0,7.1,0.0,69.7,66.7,0.0,11.3,17.5,0.0,82.0,91.3,18.0,8.7,44.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,15.0,0.0,5.0,4.0,0.0,22.0,23.0
2018-11-06,BITCOIN,BITCOIN,2913.0,0.0,0.0,0.0,72.0,108.0,0.0,1877.0,1965.0,0.0,299.0,552.0,0.0,2248.0,2625.0,665.0,288.0,305.0,0.0,0.0,0.0,72.0,-130.0,0.0,88.0,454.0,-82.0,115.0,101.0,0.0,193.0,343.0,112.0,-38.0,0.0,0.0,0.0,2.5,3.7,0.0,64.4,67.5,0.0,10.3,18.9,0.0,77.2,90.1,22.8,9.9,40.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,6.0,4.0,0.0,22.0,18.0
2018-10-30,BITCOIN,BITCOIN,2608.0,0.0,0.0,0.0,0.0,238.0,0.0,1789.0,1511.0,82.0,184.0,451.0,0.0,2055.0,2282.0,553.0,326.0,-393.0,0.0,-76.0,0.0,0.0,77.0,0.0,130.0,111.0,-384.0,-27.0,-80.0,0.0,-281.0,-352.0,-112.0,-41.0,0.0,0.0,0.0,0.0,9.1,0.0,68.6,57.9,3.1,7.1,17.3,0.0,78.8,87.5,21.2,12.5,34.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,15.0,21.0
