https://www.CryptoDataDownload.com
Date,Total Supply,Marketcap
2025-02-15,19824881.25,1934729986069.0
2025-02-14,19824381.25,1933273659500.0
2025-02-13,19823906.25,1915524589219.0
2025-02-12,19823412.5,1940355262325.0
2025-02-11,19822996.875,1898131242769.0
2025-02-10,19822609.375,1932089913172.0
2025-02-09,19822175.0,1912383977475.0
2025-02-08,19821728.125,1912241755675.0
2025-02-07,19821228.125,1913442257047.0
2025-02-06,19820687.5,1914143253938.0
2025-02-05,19820234.375,1914912123907.0
2025-02-04,19819784.375,1938097434894.0
2025-02-03,19819375.0,2010814329375.0
2025-02-02,19818896.875,1935810752266.0
2025-02-01,19818362.5,1994480365275.0
2025-01-31,19817787.5,2029579253450.0
2025-01-30,19817396.875,2075634513894.0
2025-01-29,19816943.75,2055948463232.0
2025-01-28,19816459.375,2007248803013.0
2025-01-27,19815996.875,2023015120969.0
2025-01-26,19815509.375,2032536243122.0
2025-01-25,19815081.25,2075391979963.0
2025-01-24,19814681.25,2077668402469.0
2025-01-23,19814243.75,2059353795669.0
2025-01-22,19813818.75,2053345664700.0
2025-01-21,19813350.0,2103167289150.0
2025-01-20,19812934.375,2023712929997.0
2025-01-19,19812459.375,2005753949747.0
2025-01-18,19811990.625,2069085052913.0
2025-01-17,19811584.375,2062762353541.0
2025-01-16,19811115.625,1980616284610.0
2025-01-15,19810715.625,1991214648900.0
2025-01-14,19810281.25,1912147777094.0
2025-01-13,19809800.0,1872125149000.0
2025-01-12,19809400.0,1871928871800.0
2025-01-11,19808862.5,1873284508900.0
2025-01-10,19808431.25,1875898056238.0
2025-01-09,19807987.5,1833070779225.0
2025-01-08,19807512.5,1883001175813.0
2025-01-07,19807121.875,1920221237294.0
2025-01-06,19806703.125,2025829595625.0
2025-01-05,19806287.5,1947492831013.0
2025-01-04,19805800.0,1945107812200.0
2025-01-03,19805334.375,1943556878222.0
2025-01-02,19804890.625,1919232535797.0
2025-01-01,19804368.75,1869294757575.0
2024-12-31,19803931.25,1849310904057.0
2024-12-30,19803528.125,1834361203163.0
2024-12-29,19803031.25,1852712194657.0
2024-12-28,19802537.5,1883993615213.0
2024-12-27,19802090.625,1864723269975.0
2024-12-26,19801596.875,1894755400179.0
2024-12-25,19801187.5,1967723206625.0
2024-12-24,19800715.625,1952271357763.0
2024-12-23,19800206.25,1876069542188.0
2024-12-22,19799868.75,1882927918388.0
2024-12-21,19799384.375,1924717954479.0
2024-12-20,19798931.25,1935543519000.0
2024-12-19,19798459.375,1927874981641.0
2024-12-18,19798006.25,1982829719957.0
2024-12-17,19797556.25,2102243105519.0
2024-12-16,19797131.25,2099941103082.0
2024-12-15,19796668.75,2067306727557.0
2024-12-14,19796240.625,2006982467044.0
2024-12-13,19795743.75,2007981267282.0
2024-12-12,19795212.5,1980867324450.0
2024-12-11,19794750.0,2003248494750.0
2024-12-10,19794306.25,1913080110450.0
2024-12-09,19793825.0,1929264535100.0
2024-12-08,19793303.125,2003161449463.0
2024-12-07,19792846.875,1977879395372.0
2024-12-06,19792403.125,1977221487382.0
2024-12-05,19791978.125,1920950020879.0
2024-12-04,19791493.75,1954865212169.0
2024-12-03,19791034.375,1898474763457.0
2024-12-02,19790543.75,1897101733332.0
2024-12-01,19790146.875,1925403179616.0
2024-11-30,19789653.125,1908533937029.0
2024-11-29,19789140.625,1929678680625.0
2024-11-28,19788762.5,1893012809513.0
2024-11-27,19788318.75,1899243256988.0
2024-11-26,19787903.125,1819062358475.0
2024-11-25,19787468.75,1840927155157.0
2024-11-24,19786940.625,1939258689835.0
2024-11-23,19786521.875,1934627176329.0
2024-11-22,19786090.625,1959080191054.0
2024-11-21,19785643.75,1947916412832.0
2024-11-20,19785193.75,1867188089769.0
2024-11-19,19784734.375,1828584289875.0
2024-11-18,19784187.5,1790706379000.0
2024-11-17,19783700.0,1777783065700.0
2024-11-16,19783231.25,1792519017100.0
2024-11-15,19782740.625,1801614188719.0
2024-11-14,19782271.875,1727645149660.0
2024-11-13,19781875.0,1790675106875.0
2024-11-12,19781443.75,1741380274757.0
2024-11-11,19780987.5,1755958260375.0
2024-11-10,19780562.5,1590851739063.0
2024-11-09,19780100.0,1517568832200.0
2024-11-08,19779665.625,1514350979916.0
2024-11-07,19779221.875,1501658303972.0
2024-11-06,19778734.375,1496004131922.0
2024-11-05,19778256.25,1372334088163.0
2024-11-04,19777821.875,1341292323919.0
2024-11-03,19777350.0,1359455484300.0
2024-11-02,19776937.5,1371135076875.0
2024-11-01,19776496.875,1374268767844.0
2024-10-31,19776018.75,1388889572832.0
2024-10-30,19775525.0,1430383498775.0
2024-10-29,19774996.875,1438215747722.0
2024-10-28,19774506.25,1382593927988.0
2024-10-27,19773981.25,1343404738163.0
2024-10-26,19773478.125,1324882354810.0
2024-10-25,19773021.875,1316448250394.0
2024-10-24,19772543.75,1347597719282.0
2024-10-23,19772084.375,1316840591460.0
2024-10-22,19771612.5,1332250793475.0
2024-10-21,19771181.25,1331391345375.0
2024-10-20,19770646.875,1364392111491.0
2024-10-19,19770106.25,1351464693144.0
2024-10-18,19769565.625,1352633680063.0
2024-10-17,19769140.625,1332281925000.0
2024-10-16,19768650.0,1336795650300.0
2024-10-15,19768209.375,1325675888897.0
2024-10-14,19767721.875,1306053384282.0
2024-10-13,19767287.5,1242354252088.0
2024-10-12,19766856.25,1249146713863.0
2024-10-11,19766409.375,1234451798288.0
2024-10-10,19765971.875,1191453252682.0
2024-10-09,19765487.5,1197432763725.0
2024-10-08,19765090.625,1228064375804.0
2024-10-07,19764568.75,1229593351075.0
2024-10-06,19764084.375,1241461195932.0
2024-10-05,19763609.375,1226588888641.0
2024-10-04,19763137.5,1226915339138.0
2024-10-03,19762609.375,1200479706485.0
2024-10-02,19762115.625,1198256118807.0
2024-10-01,19761631.25,1201645511419.0
2024-09-30,19761140.625,1250919723844.0
2024-09-29,19760712.5,1296322500713.0
2024-09-28,19760228.125,1301724787963.0
2024-09-27,19759825.0,1299821048325.0
2024-09-26,19759396.875,1287818691329.0
2024-09-25,19758990.625,1247720980997.0
2024-09-24,19758540.625,1269683820563.0
2024-09-23,19758087.5,1251180890938.0
2024-09-22,19757631.25,1255854315144.0
2024-09-21,19757206.25,1251895616825.0
2024-09-20,19756784.375,1248846097129.0
2024-09-19,19756331.25,1243463488875.0
2024-09-18,19755950.0,1220068204150.0
2024-09-17,19755518.75,1191573868925.0
2024-09-16,19755050.0,1149980970600.0
2024-09-15,19754659.375,1168093008844.0
2024-09-14,19754187.5,1185488300250.0
2024-09-13,19753753.125,1195990982954.0
2024-09-12,19753368.75,1148441105757.0
2024-09-11,19752893.75,1132670433413.0
2024-09-10,19752556.25,1138912640819.0
2024-09-09,19752128.125,1127036678685.0
2024-09-08,19751675.0,1083695400550.0
2024-09-07,19751153.125,1069465688260.0
2024-09-06,19750659.375,1065646826579.0
2024-09-05,19750206.25,1109132082588.0
2024-09-04,19749721.875,1144614880988.0
2024-09-03,19749250.0,1135443630250.0
2024-09-02,19748784.375,1167804866447.0
2024-09-01,19748262.5,1131772923875.0
2024-08-31,19747818.75,1164469628232.0
2024-08-30,19747359.375,1167325654735.0
2024-08-29,19746915.625,1172275646079.0
2024-08-28,19746503.125,1165695318979.0
2024-08-27,19746000.0,1173445356291.0
2024-08-26,19745556.25,1241047701425.0
2024-08-25,19745137.5,1268862026025.0
2024-08-24,19744721.875,1267097781607.0
2024-08-23,19744243.75,1265309860719.0
2024-08-22,19743731.25,1192185724069.0
2024-08-21,19743231.25,1207476280019.0
2024-08-20,19742771.875,1165060453888.0
2024-08-19,19742303.125,1174607809029.0
2024-08-18,19741896.875,1153519034407.0
2024-08-17,19741409.375,1174357219491.0
2024-08-16,19740943.75,1162405990832.0
2024-08-15,19740500.0,1136203958500.0
2024-08-14,19740000.0,1158678780000.0
2024-08-13,19739587.5,1196613794250.0
2024-08-12,19739121.875,1171753752744.0
2024-08-11,19738693.75,1159154790469.0
2024-08-10,19738190.625,1203082194975.0
2024-08-09,19737787.5,1201241747250.0
2024-08-08,19737381.25,1217776685744.0
2024-08-07,19736978.125,1088218025900.0
2024-08-06,19736596.875,1106295464635.0
2024-08-05,19736159.375,1066028912482.0
2024-08-04,19735671.875,1147471434157.0
2024-08-03,19735225.0,1197375571200.0
2024-08-02,19734803.125,1212131342741.0
2024-08-01,19734412.5,1288518995363.0
2024-07-31,19733975.0,1275051592700.0
2024-07-30,19733534.375,1305787703129.0
2024-07-29,19733065.625,1317774122438.0
2024-07-28,19732509.375,1347020019975.0
2024-07-27,19732046.875,1339648126438.0
2024-07-26,19731565.625,1340187668816.0
2024-07-25,19731065.625,1298225193863.0
2024-07-24,19730556.25,1289904845400.0
2024-07-23,19730118.75,1301082950850.0
2024-07-22,19729590.625,1332970601807.0
2024-07-21,19729031.25,1344691311938.0
2024-07-20,19728503.125,1324867627360.0
2024-07-19,19727987.5,1315955406188.0
2024-07-18,19727528.125,1261851608988.0
2024-07-17,19727125.0,1264331168375.0
2024-07-16,19726628.125,1283828685004.0
2024-07-15,19726168.75,1277644223769.0
2024-07-14,19725690.625,1199775680885.0
2024-07-13,19725168.75,1168242844388.0
2024-07-12,19724687.5,1141842434688.0
2024-07-11,19724218.75,1131144496875.0
