candidate_id,horizon_h,rule_text,family,side,feature_family,n_conditions,fires_train,episodes_train,indep_windows,low_power,ctx_drop1h_pct,ctx_rvol,ctx_funding,fwd_rvol,mfe_pct,mae_pct,gross_train,net_train,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,status,shadow_eligible,train_status,net_train_ci_lo,val_episodes,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,run_id,audit_hash
btc_momentum_down_ret1lo10__ret6lo10_4h_short_v2,4,klines__ret__1h<=-0.00669654 AND ret6<=-0.0173496,momentum_down,short,ret1+ret6,2,2345,1867,14927,False,-1.876,0.01165,0.000188,0.01221,1.317,-0.822,-0.0034026192910737675,-0.005403,1.0,1.0,1.0,1.0,0.003403,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,97eea8e96c02fd5d
btc_momentum_down_ret3lo10__ret12lo10_4h_short_v2,4,ret3<=-0.0119635 AND ret12<=-0.0256696,momentum_down,short,ret12+ret3,2,2596,1140,14927,False,-1.045,0.01181,0.000183,0.01278,1.254,-0.966,-0.0025664509706016087,-0.004566,1.0,0.99992,1.0,1.0,0.002566,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,cce22163437a2a6c
btc_momentum_down_ret6lo10__ret24lo10_4h_short_v2,4,ret6<=-0.0173496 AND klines__ret__24h<=-0.0379468,momentum_down,short,ret24+ret6,2,2665,823,14927,False,-0.725,0.0127,0.000147,0.01338,1.319,-1.031,-0.002587377927016801,-0.004587,1.0,0.99992,1.0,1.0,0.002587,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,aa77233c007f5c82
btc_compression_breakout_up_range24lo10__ret1hi10_4h_long_v2,4,klines__range__24h<=0.0182623 AND klines__ret__1h>=0.00692382,compression_breakout_up,long,range24+ret1,2,22,22,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,ac3adbe626c500f6
btc_compression_breakout_up_atr24lo10__ret1hi10_4h_long_v2,4,klines__atr__24h<=0.00423087 AND klines__ret__1h>=0.00692382,compression_breakout_up,long,atr24+ret1,2,58,57,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,e9aba34b7758463d
btc_compression_breakout_up_bbw24lo10__ret1hi10_4h_long_v2,4,klines__bbw__24h<=0.012028 AND klines__ret__1h>=0.00692382,compression_breakout_up,long,bbw24+ret1,2,31,31,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,69a92383cc95a77e
btc_compression_breakout_down_range24lo10__ret1lo10_4h_short_v2,4,klines__range__24h<=0.0182623 AND klines__ret__1h<=-0.00669654,compression_breakout_down,short,range24+ret1,2,26,26,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,3eae1301594cdde8
btc_compression_breakout_down_atr24lo10__ret1lo10_4h_short_v2,4,klines__atr__24h<=0.00423087 AND klines__ret__1h<=-0.00669654,compression_breakout_down,short,atr24+ret1,2,41,40,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,57d5615269dceaff
btc_compression_breakout_down_bbw24lo10__ret1lo10_4h_short_v2,4,klines__bbw__24h<=0.012028 AND klines__ret__1h<=-0.00669654,compression_breakout_down,short,bbw24+ret1,2,46,46,14927,False,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,,,,,,,,,,c7e3b83a3f4f,1923945f21a2053f
btc_compression_pure_range24lo10_4h_long_v2,4,klines__range__24h<=0.0182623,compression_pure,long,range24,1,5957,353,14927,False,0.004,0.00192,6.6e-05,0.00244,0.244,-0.211,0.0002567443863469369,-0.001743,0.55972,0.53894,1.0,0.6513,0.000257,MCPT_FAIL,False,,,,,,,,,,c7e3b83a3f4f,f5dbc06993536a68
