candidate_id,rule_text,feature_family,n_conditions,horizon,side,fires_train,episodes_train,gross_train,net_train,p_iid,p_block_train,p_episode_train,p_maxstat,q_fdr,effect_size,audit_hash,train_status,net_train_ci_lo,val_episodes,val_gross,val_net,val_p_block,val_p_episode,test_net,test_p_block,test_episodes,status,shadow_eligible,reason
btc_ret24hi10__ret1hi10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__ret__1h>=0.00692051,ret1+ret24,2,24h,long,1529,1218,0.002140625317789405,0.000141,0.35022,0.39853,0.42026,1.0,0.61441,0.002141,3551eab4b8ab,,,,,,,,,,,MCPT_FAIL,False,p_block 0.39853 p_epis 0.42026 q_fdr 0.61441
btc_ret24lo10__rvollo10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__rvol__24h<=0.00235633,ret24+rvol,2,24h,long,0,0,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 0/episodes 0 < min
btc_ret24lo10__rvolhi10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__rvol__24h>=0.0122284,ret24+rvol,2,24h,long,2163,275,0.011662433729033748,0.009662,0.00033,0.00033,0.00268,0.3852,0.00493,0.011662,9c75d0f521e0,INFORMATION_PASS,0.000776,6.0,0.03623548768260869,0.034235,0.0014,0.00343,0.051161,0.0038,2.0,VAL_FAIL,False,val net 342bps p 0.0014/0.00343
btc_ret24hi10__rvollo10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__rvol__24h<=0.00235633,ret24+rvol,2,24h,long,0,0,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 0/episodes 0 < min
btc_ret24hi10__rvolhi10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__rvol__24h>=0.0122284,ret24+rvol,2,24h,long,1647,255,-0.0016594130643594422,-0.003659,1.0,0.88804,0.83696,1.0,0.92973,0.001659,b510d2de64d3,,,,,,,,,,,MCPT_FAIL,False,p_block 0.88804 p_epis 0.83696 q_fdr 0.92973
btc_ret24lo10__tkbuylo10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__takerbuyfrac__1h<=0.433034,ret24+tkbuy,2,24h,long,738,587,0.002090000012872628,9e-05,0.41253,0.43585,0.45755,1.0,0.63242,0.00209,383fb44f277b,,,,,,,,,,,MCPT_FAIL,False,p_block 0.43585 p_epis 0.45755 q_fdr 0.63242
btc_ret24lo10__tkbuyhi10_24h_long_v1,klines__ret__24h<=-0.0379572 AND klines__takerbuyfrac__1h>=0.567401,ret24+tkbuy,2,24h,long,407,319,0.0022886805250614253,0.000289,0.3982,0.43119,0.43689,1.0,0.63242,0.002289,6c2002518b76,,,,,,,,,,,MCPT_FAIL,False,p_block 0.43119 p_epis 0.43689 q_fdr 0.63242
btc_ret24hi10__tkbuylo10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__takerbuyfrac__1h<=0.433034,ret24+tkbuy,2,24h,long,429,331,0.0034636863400932406,0.001464,0.17861,0.29357,0.31481,1.0,0.5027,0.003464,fd224c89b593,,,,,,,,,,,MCPT_FAIL,False,p_block 0.29357 p_epis 0.31481 q_fdr 0.5027
btc_ret24hi10__tkbuyhi10_24h_long_v1,klines__ret__24h>=0.042982 AND klines__takerbuyfrac__1h>=0.567401,ret24+tkbuy,2,24h,long,739,571,0.004841089461163734,0.002841,0.01533,0.10297,0.13175,0.998,0.2177,0.004841,123aee07ac37,,,,,,,,,,,MCPT_FAIL,False,p_block 0.10297 p_epis 0.13175 q_fdr 0.2177
btc_ret24lo10__ntaklo10_24h_long_v1,klines__ret__24h<=-0.0379572 AND nettaker__net__1d<=-12941.8,ntak+ret24,2,24h,long,1097,149,0.007928156304831357,0.005928,0.00033,0.03432,0.06479,0.85305,0.12105,0.007928,ff9eaf65cb66,,,,,,,,,,,MCPT_FAIL,False,p_block 0.03432 p_epis 0.06479 q_fdr 0.12105
btc_ret24lo10__ntakhi10_24h_long_v1,klines__ret__24h<=-0.0379572 AND nettaker__net__1d>=11397.2,ntak+ret24,2,24h,long,210,46,0.025912343432380955,0.023912,0.00033,0.002,0.00174,0.00267,0.01345,0.025912,50cccc44659d,INFORMATION_PASS,0.004124,0.0,,,,,,,0.0,VAL_FAIL,False,val net 0bps p nan/nan
btc_ret24hi10__ntaklo10_24h_long_v1,klines__ret__24h>=0.042982 AND nettaker__net__1d<=-12941.8,ntak+ret24,2,24h,long,87,33,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 87/episodes 33 < min
btc_ret24hi10__ntakhi10_24h_long_v1,klines__ret__24h>=0.042982 AND nettaker__net__1d>=11397.2,ntak+ret24,2,24h,long,1234,172,0.00201664481904376,1.7e-05,0.4032,0.47717,0.46888,1.0,0.65391,0.002017,ee83ab59f4b2,,,,,,,,,,,MCPT_FAIL,False,p_block 0.47717 p_epis 0.46888 q_fdr 0.65391
btc_ret1lo10__rvollo10_24h_long_v1,klines__ret__1h<=-0.0066951 AND klines__rvol__24h<=0.00235633,ret1+rvol,2,24h,long,16,16,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 16/episodes 16 < min
btc_ret1lo10__rvolhi10_24h_long_v1,klines__ret__1h<=-0.0066951 AND klines__rvol__24h>=0.0122284,ret1+rvol,2,24h,long,1672,1238,0.00974144608080144,0.007741,0.00033,0.00067,0.00154,0.62246,0.00705,0.009741,9fb141c65d41,INFORMATION_PASS,0.000185,30.0,0.011296285545714284,0.009296,0.09558,0.10702,0.023515,0.0198,6.0,VAL_FAIL,False,val net 93bps p 0.09558/0.10702
btc_ret1hi10__rvollo10_24h_long_v1,klines__ret__1h>=0.00692051 AND klines__rvol__24h<=0.00235633,ret1+rvol,2,24h,long,14,14,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_FIRES,False,fires 14/episodes 14 < min
btc_ret1hi10__rvolhi10_24h_long_v1,klines__ret__1h>=0.00692051 AND klines__rvol__24h>=0.0122284,ret1+rvol,2,24h,long,1758,1325,0.0038688214056882826,0.001869,0.00633,0.12662,0.2077,1.0,0.26028,0.003869,d16b35404f94,,,,,,,,,,,MCPT_FAIL,False,p_block 0.12662 p_epis 0.2077 q_fdr 0.26028
btc_ret1lo10__tkbuylo10_24h_long_v1,klines__ret__1h<=-0.0066951 AND klines__takerbuyfrac__1h<=0.433034,ret1+tkbuy,2,24h,long,1412,1313,0.0005917245192634562,-0.001408,0.88004,0.83039,0.78831,1.0,0.92488,0.000592,4cd3bcaec9b7,,,,,,,,,,,MCPT_FAIL,False,p_block 0.83039 p_epis 0.78831 q_fdr 0.92488
btc_ret1lo10__tkbuyhi10_24h_long_v1,klines__ret__1h<=-0.0066951 AND klines__takerbuyfrac__1h>=0.567401,ret1+tkbuy,2,24h,long,148,129,-0.0027315891412162175,-0.004732,0.92536,0.83739,0.81617,1.0,0.92488,0.002732,4d95b68a5dc1,,,,,,,,,,,MCPT_FAIL,False,p_block 0.83739 p_epis 0.81617 q_fdr 0.92488
