date,target_up,pred,prob_up,next_return,position,turnover,cost,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
2024-01-01,1,0,0.22290807071387378,0.017900939051301412,-1,1.0,0.0005,-0.018400939051301413,0.017900939051301412,0.9815990609486986,1.0179009390513014
2024-01-02,0,0,0.01898847015847797,-0.04692812036242189,-1,0.0,0.0,0.04692812036242189,-0.04692812036242189,1.0276636598285396,0.9701327612664796
2024-01-03,1,1,0.9313244080231563,0.03108057856532498,1,2.0,0.001,0.030080578565324978,0.03108057856532498,1.0585763772867411,1.000285048771818
2024-01-04,0,1,0.6327174312851781,-0.0003900067727314882,1,0.0,0.0,-0.0003900067727314882,-0.0003900067727314882,1.0581635253301458,0.999894930828135
2024-01-05,0,1,0.8690054194544103,-0.003928567037593367,1,0.0,0.0,-0.003928567037593367,-0.003928567037593367,1.0540064589841502,0.9959667765618269
2024-01-06,0,0,0.34758811118700045,-0.0010479313368322307,-1,2.0,0.001,4.79313368322307e-05,-0.0010479313368322307,1.0540569789227592,0.994923071766224
2024-01-07,1,1,0.9735704175113805,0.06889378335779228,1,2.0,0.001,0.06789378335779228,0.06889378335779228,1.1256208950965099,1.0634670863301554
2024-01-08,0,1,0.5699236196245421,-0.017687130611972357,1,0.0,0.0,-0.017687130611972357,-0.017687130611972357,1.1057118913053727,1.0446574050727002
2024-01-09,1,0,0.1326084078515313,0.010577584004972662,-1,2.0,0.001,-0.011577584004972663,0.010577584004972662,1.0929104189984875,1.0557073565312736
2024-01-10,0,0,0.46235980205807925,-0.005558733892443213,0,1.0,0.0005,-0.0005,-0.005558733892443213,1.0923639637889884,1.0498389602680216
2024-01-11,0,0,0.014093996361963854,-0.07581464687080208,-1,1.0,0.0005,0.07531464687080208,-0.07581464687080208,1.1746349699761458,0.9702457902240915
2024-01-12,0,1,0.5210735499209626,-0.0002516769882185965,0,1.0,0.0005,-0.0005,-0.0002516769882185965,1.1740476524911578,0.9700016016857761
2024-01-13,0,0,0.05190919396715213,-0.0244177193838242,-1,1.0,0.0005,0.0239177193838242,-0.0244177193838242,1.2021281947866789,0.9463163747739528
2024-01-14,1,1,0.9015950861997791,0.01712351907901466,1,2.0,0.001,0.01612351907901466,0.01712351907901466,1.2215107316707434,0.9625206412721786
2024-01-15,1,0,0.3366094102452229,0.015124600939588229,-1,2.0,0.001,-0.01612460093958823,0.015124600939588229,1.2018143585791283,0.9770783818675369
2024-01-16,0,1,0.5834646937286816,-0.009553782672285682,1,2.0,0.001,-0.010553782672285683,-0.009553782672285682,1.1891306710262517,0.967743587353386
2024-01-17,0,0,0.03286406440793767,-0.034639725632667706,-1,2.0,0.001,0.033639725632667705,-0.034639725632667706,1.229132700540965,0.934221215004691
2024-01-18,1,1,0.8141074930037192,0.00863620644230223,1,2.0,0.001,0.00763620644230223,0.00863620644230223,1.2385186115872804,0.94228934228025
2024-01-19,1,0,0.49028805704103184,0.0011336255217606617,0,1.0,0.0005,-0.0005,0.0011336255217606617,1.2378993522814867,0.9433575455275419
2024-01-20,0,0,0.4320478513566297,-0.0028752933279206916,-1,1.0,0.0005,0.0023752933279206916,-0.0028752933279206916,1.2408397263535982,0.9406451158710429
2024-01-21,0,0,0.027537900652600516,-0.049064374667218136,-1,0.0,0.0,0.049064374667218136,-0.049064374667218136,1.3017207515893796,0.8944929514770573
2024-01-22,1,0,0.4453528485762759,0.008560013431039293,-1,0.0,0.0,-0.008560013431039293,0.008560013431039293,1.2905780044723119,0.9021498231556709
2024-01-23,1,1,0.8716897906277503,0.005810521700930993,1,2.0,0.001,0.004810521700930993,0.005810521700930993,1.2967863579695702,0.9073917842806081
2024-01-24,0,0,0.46533164688489714,-0.0035747525934159974,0,1.0,0.0005,-0.0005,-0.0035747525934159974,1.2961379647905855,0.9041480831465066
2024-01-25,1,1,0.9784320973820473,0.04715459322091098,1,1.0,0.0005,0.04665459322091098,0.04715459322091098,1.3566087542960699,0.9467828182187465
2024-01-26,1,0,0.3144000676388003,0.007250269707417489,-1,2.0,0.001,-0.00825026970741749,0.007250269707417489,1.3454163661856837,0.9536472490051813
2024-01-27,0,1,0.5253704211217813,-0.002005242826170095,0,1.0,0.0005,-0.0005,-0.002005242826170095,1.3447436580025909,0.9517349547004168
2024-01-28,1,1,0.9144410142349718,0.029799801358818767,1,1.0,0.0005,0.029299801358818767,0.029799801358818767,1.3841443800605981,0.9800964672967336
2024-01-29,0,0,0.3209143948272588,-0.007753530092744043,-1,2.0,0.001,0.006753530092744043,-0.007753530092744043,1.39349224078404,0.9724972598437562
2024-01-30,0,1,0.5730445570972359,-0.00861423582021903,1,2.0,0.001,-0.00961423582021903,-0.00861423582021903,1.3800948777674968,0.9641199391129452
2024-01-31,1,1,0.7798861280610639,0.011581441842771323,1,0.0,0.0,0.011581441842771323,0.011581441842771323,1.3960783663318677,0.975285838117238
2024-02-01,1,1,0.5931037155884936,0.0025556346111748063,1,0.0,0.0,0.0025556346111748063,0.0025556346111748063,1.3996462325247778,0.977778312360919
2024-02-02,0,0,0.1280335154229186,-0.0044831659668692625,-1,2.0,0.001,0.0034831659668692625,-0.0044831659668692625,1.404521432647565,0.9733947699077997
2024-02-03,0,0,0.09733781104165598,-0.009505619472114146,-1,0.0,0.0,0.009505619472114146,-0.009505619472114146,1.4178722789267413,0.96414204962891
2024-02-04,1,1,0.7984407256322761,0.0017632602500394778,1,2.0,0.001,0.0007632602500394778,0.0017632602500394778,1.418954484476879,0.9658420829804123
2024-02-05,1,0,0.468130318764598,0.009986338686479135,0,1.0,0.0005,-0.0005,0.009986338686479135,1.4182450072346406,0.9754873091387092
2024-02-06,1,1,0.9879171347736895,0.028630850081180936,1,1.0,0.0005,0.028130850081180936,0.028630850081180936,1.4581414449115417,1.0034163400427543
2024-02-07,1,1,0.8153712525729119,0.022188248784866804,1,0.0,0.0,0.022188248784866804,0.022188248784866804,1.4904950500547642,1.0256803914304233
2024-02-08,1,1,0.9876913146447944,0.040741037427910465,1,0.0,0.0,0.040741037427910465,0.040741037427910465,1.5512193646751606,1.0674676746467642
2024-02-09,1,1,0.9226215808471845,0.013236801662479536,1,0.0,0.0,0.013236801662479536,0.013236801662479536,1.5717525477403633,1.0815975325371716
2024-02-10,1,1,0.7689259678290364,0.010940478338881565,1,0.0,0.0,0.010940478338881565,0.010940478338881565,1.5889482724429986,1.0934307269132824
2024-02-11,1,1,0.9716817132172796,0.034461993507690414,1,0.0,0.0,0.034461993507690414,0.034461993507690414,1.643706597491985,1.131112529525277
2024-02-12,0,0,0.11601622722713895,-0.004319233922406296,-1,2.0,0.001,0.003319233922406296,-0.004319233922406296,1.6491624441888637,1.1262269899176927
2024-02-13,1,1,0.989400476123965,0.041900916949929146,1,2.0,0.001,0.040900916949929145,0.041900916949929146,1.7166147003555745,1.1734169334890026
2024-02-14,1,0,0.3692139813680367,0.0021583350882306007,-1,2.0,0.001,-0.0031583350882306007,0.0021583350882306007,1.711193055914469,1.175949560429676
2024-02-15,1,1,0.854157868148425,0.004267512618200353,1,2.0,0.001,0.003267512618200353,0.004267512618200353,1.7167844008168465,1.1809679400171766
2024-02-16,0,1,0.5006816553435005,-0.009532306269177337,0,1.0,0.0005,-0.0005,-0.009532306269177337,1.715926008616438,1.1697105919188535
2024-02-17,1,0,0.40764082122489587,0.008895163192163213,-1,1.0,0.0005,-0.009395163192163214,0.008895163192163213,1.6998046037398096,1.1801153585215736
2024-02-18,0,0,0.36825681158557555,-0.006588364620277343,-1,0.0,0.0,0.006588364620277343,-0.006588364620277343,1.7110035362524736,1.1723403282456442
2024-02-19,1,0,0.17411050544305845,0.009767068832988945,-1,0.0,0.0,-0.009767068832988945,0.009767068832988945,1.6942920469404081,1.1837906569273082
2024-02-20,0,0,0.17473567957728148,-0.008524364120598982,-1,0.0,0.0,0.008524364120598982,-0.008524364120598982,1.708734809275163,1.1736995943250967
2024-02-21,0,0,0.3261967971104044,-0.010305082651198116,-1,0.0,0.0,0.010305082651198116,-0.010305082651198116,1.7263434627137229,1.1616045229978988
2024-02-22,0,0,0.03545127425076139,-0.011168964874795462,-1,0.0,0.0,0.011168964874795462,-0.011168964874795462,1.7456249322106052,1.1486306028821318
2024-02-23,1,1,0.9548415105965536,0.016540904827679226,1,2.0,0.001,0.015540904827679225,0.016540904827679226,1.772753523146914,1.167629992366565
2024-02-24,1,1,0.8310803529463751,0.003143945229742817,1,0.0,0.0,0.003143945229742817,0.003143945229742817,1.7783269631295215,1.1713009571111705
2024-02-25,1,1,0.9977186990558455,0.053914352844811164,1,0.0,0.0,0.053914352844811164,0.053914352844811164,1.874204310493128,1.2344508902003273
2024-02-26,1,1,0.9843286118362967,0.04700762695380023,1,0.0,0.0,0.04700762695380023,0.04700762695380023,1.9623062075559934,1.292479497139651
2024-02-27,1,1,0.9878807207373881,0.09493531994124749,1,0.0,0.0,0.09493531994124749,0.09493531994124749,2.1485983751930178,1.4151814517181063
2024-02-28,0,0,0.29944388639578495,-0.020900898468654838,-1,2.0,0.001,0.019900898468654837,-0.020900898468654838,2.1913574133076508,1.3856028878810225
2024-02-29,1,1,0.7643205389310209,0.020298739001094468,1,2.0,0.001,0.019298739001094467,0.020298739001094468,2.2336478480851887,1.413728879261282
2024-03-01,0,0,0.4951916713137054,-0.006578811548619723,0,1.0,0.0005,-0.0005,-0.006578811548619723,2.2325310241611462,1.4044282233837808
2024-03-02,1,1,0.9027551963120706,0.01833832389535761,1,1.0,0.0005,0.01783832389535761,0.01833832389535761,2.2723556356765675,1.4301830830319742
2024-03-03,1,1,0.5937963311700045,0.08173591649219114,1,0.0,0.0,0.08173591649219114,0.08173591649219114,2.458088706154787,1.54708040807522
2024-03-04,0,0,0.0065640954451974065,-0.06628402455760396,-1,2.0,0.001,0.06528402455760396,-0.06628402455760396,2.6185626296121653,1.4445336923137742
2024-03-05,1,1,0.8463987390892421,0.03613733749494208,1,2.0,0.001,0.03513733749494208,0.03613733749494208,2.710571948480491,1.496735293875732
2024-03-06,1,1,0.8734577960335426,0.012384196927533564,1,0.0,0.0,0.012384196927533564,0.012384196927533564,2.7441402052767216,1.5152711585034788
2024-03-07,1,1,0.9704088222182674,0.020539401213709896,1,0.0,0.0,0.020539401213709896,0.020539401213709896,2.8005032019395726,1.5463939207755448
2024-03-08,1,0,0.18927516459338445,0.0029105240064184468,-1,2.0,0.001,-0.003910524006418447,0.0029105240064184468,2.7895517669383363,1.5508947374053417
2024-03-09,1,1,0.698272154127104,0.007604594828588107,1,2.0,0.001,0.006604594828588107,0.007604594828588107,2.8079756261123365,1.562688663505099
2024-03-10,1,1,0.9421706125146065,0.04497430707429584,1,0.0,0.0,0.04497430707429584,0.04497430707429584,2.934262384178251,1.6329695033190983
2024-03-11,0,0,0.3052379134100149,-0.008909905479502545,-1,2.0,0.001,0.007909905479502544,-0.008909905479502545,2.957472122289161,1.618419899393615
2024-03-12,1,1,0.9549128897573125,0.022414410239567806,1,2.0,0.001,0.021414410239567805,0.022414410239567806,3.020804643587946,1.6546958269585035
2024-03-13,0,0,0.30253369509315575,-0.0230819028918976,-1,2.0,0.001,0.022081902891897598,-0.0230819028918976,3.0875097583830486,1.616502298565019
