stage,model_type,num_features,n_rows,train_rows,test_rows,test_start,test_end,accuracy,balanced_accuracy,roc_auc,precision,recall,f1,positive_rate_test,positive_rate_pred
M1_NTV_only,logistic,22,2253,1577,676,2024-01-01,2025-11-06,0.7781065088757396,0.7790510232688534,0.854157905803196,0.8074534161490683,0.7471264367816092,0.7761194029850746,0.514792899408284,0.47633136094674555
M1_NTV_only,rf,22,2253,1577,676,2024-01-01,2025-11-06,0.7825443786982249,0.7834489767311466,0.8591603588449677,0.8111455108359134,0.7528735632183908,0.7809239940387481,0.514792899408284,0.47781065088757396
M2_NTV_plus_market,logistic,48,2253,1577,676,2024-01-01,2025-11-06,0.7825443786982249,0.7831861508270255,0.857346860106532,0.8054711246200608,0.7614942528735632,0.7828655834564254,0.514792899408284,0.48668639053254437
M2_NTV_plus_market,rf,48,2253,1577,676,2024-01-01,2025-11-06,0.7766272189349113,0.7782275021026073,0.8615257919820578,0.8208469055374593,0.7241379310344828,0.7694656488549618,0.514792899408284,0.4541420118343195
M3_plus_funding_OI,logistic,48,2253,1577,676,2024-01-01,2025-11-06,0.7825443786982249,0.7831861508270255,0.857346860106532,0.8054711246200608,0.7614942528735632,0.7828655834564254,0.514792899408284,0.48668639053254437
M3_plus_funding_OI,rf,48,2253,1577,676,2024-01-01,2025-11-06,0.7766272189349113,0.7782275021026073,0.8615257919820578,0.8208469055374593,0.7241379310344828,0.7694656488549618,0.514792899408284,0.4541420118343195
M4_plus_COT_liquidity,logistic,48,2253,1577,676,2024-01-01,2025-11-06,0.7825443786982249,0.7831861508270255,0.857346860106532,0.8054711246200608,0.7614942528735632,0.7828655834564254,0.514792899408284,0.48668639053254437
M4_plus_COT_liquidity,rf,48,2253,1577,676,2024-01-01,2025-11-06,0.7766272189349113,0.7782275021026073,0.8615257919820578,0.8208469055374593,0.7241379310344828,0.7694656488549618,0.514792899408284,0.4541420118343195
