date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_return,btc_log_return,ret_lag_1,logret_lag_1,ret_lag_2,logret_lag_2,ret_lag_3,logret_lag_3,ret_lag_5,logret_lag_5,ret_lag_7,logret_lag_7,ret_lag_14,logret_lag_14,ret_ma_3,volatility_3,ret_ma_7,volatility_7,ret_ma_14,volatility_14,ret_ma_30,volatility_30,btc_volume_log,btc_volume_change,btc_volume_z_30,intraday_range,next_return,next_abs_return,target_up,target_high_vol,taker_buy_volume,taker_sell_volume,net_taker_volume,total_taker_volume,ntv_ratio,ntv_abs,ntv_ratio_abs,ntv_sign,ntv_ratio_ma_3,ntv_ratio_std_3,ntv_net_ma_3,ntv_ratio_ma_7,ntv_ratio_std_7,ntv_net_ma_7,ntv_ratio_ma_14,ntv_ratio_std_14,ntv_net_ma_14,ntv_ratio_ma_30,ntv_ratio_std_30,ntv_net_ma_30,ntv_ratio_z_30,ntv_net_z_30
2019-09-07,10353.931640625,10558.673828125,10348.9189453125,10517.2548828125,15307366476,,,,,,,,,,,,,,,,,,,,,,,23.45160001856072,,,0.019943881283630907,-0.007224177456150227,0.007224177456150227,0,0,0.039,3096.252,-3096.2129999999997,3096.291,-0.9999748085693494,3096.2129999999997,0.9999748085693494,-1.0,,,,,,,,,,,,,,
2019-09-08,10518.1142578125,10595.6376953125,10409.0908203125,10441.2763671875,13670567493,-0.007224177456150227,-0.007250398184558193,,,,,,,,,,,,,,,,,,,,,23.33851100064649,-0.10692884276118253,,0.01786629033077198,-0.010180916017754393,0.010180916017754393,0,0,5452.451,9371.922,-3919.470999999998,14824.373,-0.26439371162611724,3919.470999999998,0.26439371162611724,-1.0,-0.6321842600977333,0.5201343817611986,-3507.8419999999987,,,,,,,,,,,
2019-09-09,10443.228515625,10450.3115234375,10144.9296875,10334.974609375,17595943368,-0.010180916017754393,-0.010233096005396902,-0.007224177456150227,-0.007250398184558193,,,,,,,,,,,-0.00870254673695231,0.0020907298871060648,,,,,,,23.590934222025798,0.28714066749679446,,0.029548387633239453,-0.02119008819226731,0.02119008819226731,0,0,6395.462,2673.4929999999995,3721.969000000001,9068.955,0.4104077040849801,3721.969000000001,0.4104077040849801,1.0,-0.2846536053701622,0.7054094948830608,-1097.904999999999,-0.2846536053701622,0.7054094948830608,-1097.904999999999,,,,,,,,
2019-09-10,10336.408203125,10394.353515625,10020.5732421875,10115.9755859375,14906809639,-0.02119008819226731,-0.02141782097558753,-0.010180916017754393,-0.010233096005396902,-0.007224177456150227,-0.007250398184558193,,,,,,,,,-0.012865060555390643,0.007359696977219203,-0.012865060555390643,0.007359696977219203,,,,,23.425083968313498,-0.15282691429266937,,0.03694950331405528,0.006168113381149309,0.006168113381149309,1,0,7724.442,3173.4800000000005,4550.9619999999995,10897.922,0.4175990615458616,4550.9619999999995,0.4175990615458616,1.0,0.18787101800157482,0.39168924947519257,1451.1533333333343,-0.10909043864115622,0.6745552157002793,314.31175000000064,,,,,,,,
2019-09-11,10123.03515625,10215.9482421875,9980.7763671875,10178.3720703125,15428063426,0.006168113381149309,0.006149168432955321,-0.02119008819226731,-0.02141782097558753,-0.010180916017754393,-0.010233096005396902,-0.007224177456150227,-0.007250398184558193,,,,,,,-0.008400963609624132,0.013765680922654368,-0.008106767071255655,0.011255022016369949,,,,,23.459453988445468,0.03496749469693827,,0.02310505780054272,0.022769346729666573,0.022769346729666573,1,0,10117.798,5491.835999999999,4625.962000000001,15609.634,0.2963530086611897,4625.962000000001,0.2963530086611897,1.0,0.37478659143067716,0.06802057839416012,4299.631,-0.02800174918068704,0.6116742859262762,1176.6418000000008,,,,,,,,
2019-09-12,10176.8193359375,10442.25390625,10099.2421875,10410.126953125,15323563925,0.022769346729666573,0.02251399403043486,0.006168113381149309,0.006149168432955321,-0.02119008819226731,-0.02141782097558753,-0.010180916017754393,-0.010233096005396902,,,,,,,0.002582457306182858,0.02219798812460023,-0.0019315443110712095,0.01690187921892797,,,,,23.452657606449602,-0.006773338825136865,,0.03294981130340892,-0.004762677568511009,0.004762677568511009,0,0,9717.128,9535.593,181.53499999999983,19252.721,0.009429056807087154,181.53499999999983,0.009429056807087154,1.0,0.24112704233804616,0.20961421399646676,3119.4863333333337,-0.021763281516058008,0.5473114803505875,1010.7906666666673,,,,,,,,
2019-09-13,10415.3623046875,10441.4892578125,10226.5966796875,10360.546875,14109864675,-0.004762677568511009,-0.004774055257204424,0.022769346729666573,0.02251399403043486,0.006168113381149309,0.006149168432955321,-0.02119008819226731,-0.02141782097558753,-0.007224177456150227,-0.007250398184558193,,,,,0.008058260847434958,0.013862993312127425,-0.0024033998539778425,0.015161619399827107,,,,,23.37014001212021,-0.07920476306558688,,0.020741431964709876,-0.00024111148814232042,0.00024111148814232042,0,0,9522.547,11134.077,-1611.5299999999988,20656.624,-0.07801516840312332,1611.5299999999988,0.07801516840312332,-1.0,0.07592229902171783,0.19584150848268714,1065.3223333333342,-0.02979926535706734,0.5000769137746149,636.1734285714293,-0.02979926535706734,0.5000769137746149,636.1734285714293,,,,,
2019-09-14,10345.4033203125,10422.1337890625,10291.6943359375,10358.048828125,13468713124,-0.00024111148814232042,-0.00024114056019008956,-0.004762677568511009,-0.004774055257204424,0.022769346729666573,0.02251399403043486,0.006168113381149309,0.006149168432955321,-0.010180916017754393,-0.010233096005396902,,,,,0.005921852557671081,0.014764473741429179,-0.0020945015160013397,0.01386470986486112,-0.0020945015160013397,0.01386470986486112,,,23.32363528642766,-0.04543995040122528,,0.012593052541982655,-0.0009978652998753335,0.0009978652998753335,0,0,7430.161,13106.094,-5675.933000000001,20536.254999999997,-0.2763859817673671,5675.933000000001,0.2763859817673671,-1.0,-0.11499069778780109,0.14645119118254776,-2368.6426666666666,0.07357056704321585,0.30144891398366624,267.6420000000006,-0.06062260490835481,0.47111810784305214,-152.83987499999944,,,,,
2019-09-15,10356.4658203125,10387.03515625,10313.0927734375,10347.712890625,12043433567,-0.0009978652998753335,-0.0009983634989048085,-0.00024111148814232042,-0.00024114056019008956,-0.004762677568511009,-0.004774055257204424,0.022769346729666573,0.02251399403043486,-0.02119008819226731,-0.02141782097558753,-0.007224177456150227,-0.007250398184558193,,,-0.002000551452176221,0.002421812254242086,-0.001205028350819212,0.013679254219310754,-0.0019574219889855887,0.012842081286799535,,,23.211785416237426,-0.10582150973728022,,0.007145770625264603,-0.006853586494147135,0.006853586494147135,0,0,6954.582,13231.054999999998,-6276.472999999998,20185.637,-0.3109375740780436,6276.472999999998,0.3109375740780436,-1.0,-0.22177957474951135,0.12569648575794762,-4521.311999999999,0.06692144383579779,0.3105226420911586,-69.07257142857088,-0.08843537926054246,0.44852000105893475,-833.2435555555548,,,,,
2019-09-16,10347.22265625,10386.8671875,10189.744140625,10276.7939453125,15160167779,-0.006853586494147135,-0.006877180180772768,-0.0009978652998753335,-0.0009983634989048085,-0.00024111148814232042,-0.00024114056019008956,-0.004762677568511009,-0.004774055257204424,0.006168113381149309,0.006149168432955321,-0.010180916017754393,-0.010233096005396902,,,-0.0026975210940549297,0.0036190922605365836,-0.0007296955617324606,0.013369679856835494,-0.0025014402673368716,0.012123026572984719,,,23.441937284381716,0.25879116571374694,0.34730396506414407,0.01918137581856574,-0.003456475294145833,0.003456475294145833,0,0,12669.109,9850.498,2818.611000000001,22519.607,0.1251625305894548,2818.611000000001,0.1251625305894548,1.0,-0.15405367508531861,0.24242466926112108,-3044.598333333333,0.02617213333643703,0.2745698261434625,-198.12371428571376,-0.06707558827554273,0.4282293247499669,-468.0580999999993,,,,0.44891395276874346,0.7773026511316671
