basis,metric,point,ci_lo,ci_hi
net,total_return,-0.014127988963541394,-0.08451276082559762,0.0673750246606578
net,mean_return,-0.00042094886828725816,-0.0027374144842053742,0.0020733792962239496
net,sharpe,-0.0601939049483498,-0.5000310246935086,0.27235649486813257
net,profit_factor,0.8545698868499627,0.2862126910701775,2.0802847605657355
net,win_rate,0.375,0.21875,0.53125
net,p_total_return_gt_0,0.6561,,
gross,total_return,0.017929070720448914,-0.0539216632083328,0.1013523703424768
gross,mean_return,0.000579051131712742,-0.0017128018337490185,0.0030535027124923672
gross,sharpe,0.08280185886796508,-0.3079280961967924,0.3990618026757872
gross,profit_factor,1.251919845310904,0.45122213706623326,3.1018897065605
gross,win_rate,0.46875,0.3125,0.65625
gross,p_total_return_gt_0,0.3291,,
