basis,point_total_return,ci_lo,ci_hi,p_total_le_0
net,-0.013470363785192261,-0.07819646082631856,0.054966452870132326,0.6584
gross,0.018529636214807743,-0.04871786093774592,0.09237311405025586,0.3068
