t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1617235200000,0.0020233039,-0.0001024741,0.008098284,0.4769447979,0.0214002082,0.0515997892,0.0115111211,0.0331725322,-0.9828813577,-1.0066467307,,,0.00058414,-5710.567,,8.0,0.0
1617238800000,0.0081953608,0.0039061546,0.0082284601,0.4977970248,0.0209167378,0.0511803478,0.011513165,0.0337677787,-0.3453424207,-0.5959703279,,,0.00109277,-5710.567,,1.0,1.0
1617242400000,-0.0013209629,0.0043806856,0.0082240666,0.4612996861,0.0166709162,0.0512480446,0.0116220285,0.0342664991,-0.4574206142,-0.8698212158,,,0.00109277,-5710.567,,2.0,2.0
1617246000000,-0.0009591889,0.0075174624,0.0081779955,0.5021853201,0.0131083002,0.0512972483,0.0116464442,0.0346866225,-1.302117759,-1.096059092,,,0.00109277,-5710.567,,3.0,3.0
1617249600000,0.0005420821,0.0087084445,0.0081753728,0.5209276131,0.0131011982,0.0512694561,0.0115544597,0.0351000151,-0.6515284699,-0.9765337883,,,0.00109277,-5710.567,,4.0,4.0
1617253200000,-0.0042123499,0.0026079392,0.0082219685,0.4684280989,0.0131566185,0.0514863345,0.0118211687,0.0351490714,0.8553337026,-0.6549697511,,,0.00109277,-5710.567,,5.0,5.0
1617256800000,-0.0017869886,0.0009170351,0.0082313244,0.4934592987,0.0117847779,0.0515785047,0.0119418448,0.0351478129,0.0951501398,-0.7874830151,,,0.00109277,-5710.567,,6.0,6.0
1617260400000,-0.0005646238,-0.0160159001,0.0074369556,0.4803979391,0.0117914357,0.0516076437,0.0113983481,0.0323666509,-0.2556514159,-0.8297858051,,,0.00109277,-5710.567,,7.0,7.0
1617264000000,0.0014670124,0.0110692385,0.0052574176,0.4251285873,0.0137584271,0.0489566333,0.0100621448,0.0314706042,1.7066050381,-0.1940911593,,,0.00109277,-5710.567,,8.0,8.0
1617267600000,0.0003728465,0.0149092726,0.005192201,0.5061269099,0.0168219756,0.040680357,0.0096473554,0.0295311385,1.9117975256,1.5215587051,,,0.00095247,-5710.567,,1.0,9.0
1617271200000,-0.0003315788,0.0148577315,0.0051925985,0.4544000915,0.0168275553,0.0406938502,0.0096277174,0.0271265018,0.1470420126,-0.0404799146,,,0.00095247,-5710.567,,2.0,10.0
