t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1606780800000,0.0100451334,0.0861766891,0.0078254262,0.6346432926,0.0353906682,0.0901285396,0.0142295483,0.096190511,1.4567800433,0.1700596769,,,0.00045929,15481.53,,0.0,0.0
1606784400000,-0.0066206773,0.0759131569,0.0080927796,0.4996382152,0.03562654,0.0857720259,0.0145335124,0.094278693,0.7808510201,-0.0802563979,,,0.00045929,15481.53,,1.0,1.0
1606788000000,0.002058729,0.0637763947,0.0077841779,0.5406297671,0.0293929077,0.0784019994,0.0143226477,0.0947999329,-0.6899019666,-0.5488124604,,,0.00045929,15481.53,,2.0,2.0
1606791600000,0.0038356095,0.0648729546,0.0077881544,0.5485554866,0.026114593,0.078102429,0.0141744513,0.0956580501,-0.7005904853,-0.6088017718,,,0.00045929,15481.53,,3.0,3.0
1606795200000,-0.0132722252,0.049326007,0.0084391131,0.4579868743,0.0264658538,0.079152965,0.0148555456,0.0933223437,-0.3717910425,-0.4958425623,,,0.00045929,15481.53,,4.0,4.0
1606798800000,-0.0033692521,0.041702414,0.0084994972,0.4427174548,0.0210314912,0.0794205528,0.0149478549,0.0907973107,-0.1565193911,-0.3847521,,,0.00045929,15481.53,,5.0,5.0
1606802400000,0.0066868827,0.0518220083,0.0084947439,0.4948488082,0.0225121165,0.0788930046,0.0149584209,0.0876072286,-0.6195810805,-0.5964365654,,,0.00045929,15481.53,,6.0,6.0
1606806000000,-0.0074621235,0.0441603264,0.0087086541,0.5502281957,0.0219020867,0.07948614,0.0151967111,0.0827656172,0.7296986409,-0.4842412639,,,0.00045929,15481.53,,7.0,7.0
1606809600000,0.0091677983,0.04793159,0.0088066989,0.5660764912,0.0217031169,0.0787640471,0.0152352456,0.0794117732,0.2697905873,-0.5098191722,,,0.00045929,15481.53,,8.0,8.0
1606813200000,-0.0024923613,0.0544178925,0.008570942,0.5174120229,0.0206190068,0.078960846,0.0150086762,0.0718122051,0.4548771298,-0.4606470576,,,0.00043287,15481.53,,1.0,9.0
1606816800000,0.0050346767,0.0587957707,0.0085841042,0.5611555654,0.0147518528,0.0724078712,0.0148463242,0.0630886086,-0.6972296923,-0.5438698623,,,0.00043287,15481.53,,2.0,10.0
1606820400000,0.0089194991,0.0668240821,0.0086814784,0.6333779674,0.0262731952,0.0688998866,0.014923475,0.0537429646,2.0305921773,0.6752702346,,,0.00043287,15481.53,,3.0,11.0
1606824000000,-0.0159330196,0.0443015007,0.0094562143,0.4861740102,0.0515830116,0.0662579151,0.0169884813,0.041316119,1.871179213,2.1013520412,,,0.00043287,15481.53,,4.0,12.0
1606827600000,-0.044975547,-0.0151726693,0.0131761828,0.4571481146,0.0802103351,0.0802103351,0.0196818336,0.0496413817,1.4187078154,2.2460928399,,,0.00043287,15481.53,,5.0,13.0
1606831200000,0.0112326057,-0.0204558496,0.0129102773,0.5193108948,0.100581405,0.100581405,0.0203985923,0.0557293562,0.6733496006,1.5156437345,,,0.00043287,15481.53,,6.0,14.0
1606834800000,0.0280163947,-0.0100350088,0.0137283854,0.4769664571,0.0978402732,0.0978402732,0.0199868233,0.0557515534,-0.5527293875,0.3516713804,,,0.00043287,15481.53,,7.0,15.0
1606838400000,-0.0011376535,-0.0014778238,0.0135848401,0.4982672993,0.0979517083,0.0979517083,0.0192109861,0.055850168,-1.0231979253,0.2842544225,,,0.00011546,15481.53,,0.0,16.0
1606842000000,-0.0106196372,-0.0071680107,0.0137237641,0.4702315851,0.0990030852,0.0990030852,0.0192774685,0.0569839063,-1.1108139369,0.0098497083,,,0.00011546,15481.53,,1.0,17.0
1606845600000,-2.09877e-05,-0.0172840525,0.0135416011,0.4453373193,0.0780852537,0.0990051631,0.019313225,0.0585209854,-0.6811812395,0.1944070884,,,0.00011546,15481.53,,2.0,18.0
1606849200000,-0.0167684591,-0.0227870783,0.0137750922,0.4559122514,0.0794169537,0.1006936403,0.0197669642,0.0637770373,-1.1117830729,-0.5433149076,,,0.00011546,15481.53,,3.0,19.0
1606852800000,0.0176622648,-0.0098748805,0.0142534497,0.4835363838,0.0460109944,0.0989460293,0.0197510041,0.0647442506,-1.2961843801,-0.619664699,,,0.00011546,15481.53,,4.0,20.0
1606856400000,-0.0023843996,-0.0213565383,0.0141089579,0.5061376132,0.0461209652,0.0991825201,0.0197203063,0.0658830703,-1.1127656622,-0.7177230045,,,0.00011546,15481.53,,5.0,21.0
1606860000000,0.0007395797,-0.0176902935,0.0141043185,0.5221474522,0.037500545,0.0991092209,0.0198754989,0.0668721373,-0.8829546292,-0.7482480426,,,0.00011546,15481.53,,6.0,22.0
1606863600000,-0.0075316243,-0.0310251441,0.0140946689,0.4974336193,0.0317078592,0.099861339,0.0201578239,0.068466758,-0.8693936137,-0.8703589677,,,0.00011546,15481.53,,7.0,23.0
1606867200000,-0.006882244,-0.0472642234,0.0139292004,0.4964184212,0.0275849242,0.1005533718,0.0201235219,0.0692439982,0.4679503946,-0.5770954249,,,0.00011546,-16376.255,,8.0,0.0
1606870800000,0.0038129578,-0.0372574745,0.0139389763,0.4233978369,0.0413027679,0.1001714224,0.0204999272,0.0697491763,1.7617652699,-0.2414234591,,,0.0001,-16376.255,,1.0,1.0
1606874400000,0.0009290468,-0.0383428331,0.0139283864,0.4794691243,0.0412644313,0.1000784449,0.020618536,0.069049698,-0.2276873935,-0.6536674166,,,0.0001,-16376.255,,2.0,2.0
1606878000000,-0.0094202772,-0.0510417434,0.013968975,0.4485655832,0.0416568504,0.1010301771,0.0209652288,0.068504693,-0.9414706282,-0.8364651556,,,0.0001,-16376.255,,3.0,3.0
