t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1648771200000,-0.0060607781,-0.0330936163,0.0051396582,0.4400283757,0.0173134281,0.0527352685,0.0073284353,0.0596505025,1.5620144441,0.5019352662,,,0.0001,-10547.05,,0.0,0.0
1648774800000,0.0006846796,-0.0341976916,0.0051137646,0.5116005552,0.0173015821,0.0526991865,0.0073175108,0.0619957714,0.1404658947,-0.1572036542,,,0.0001,-10547.05,,1.0,1.0
1648778400000,-0.0135641119,-0.0522411392,0.0054756688,0.4584816343,0.0218590292,0.0608141302,0.0077809402,0.0666736986,1.6667729513,1.1352302883,,,0.0001,-10547.05,,2.0,2.0
1648782000000,-0.0118213587,-0.0598748412,0.0058109495,0.4223105364,0.0371680395,0.0765891517,0.0084403779,0.0747504582,1.5610205384,1.8215606279,,,0.0001,-10547.05,,3.0,3.0
1648785600000,0.0046690098,-0.0529897086,0.0059948231,0.5366806327,0.0363305096,0.076233218,0.0085283203,0.079739124,-0.2419733754,0.0866872082,,,0.0001,-10547.05,,4.0,4.0
1648789200000,0.0009520184,-0.0505650679,0.0060293793,0.5177869729,0.0355683964,0.0761607116,0.0085855896,0.0834688271,-0.9582818375,-0.4649963761,,,0.0001,-10547.05,,5.0,5.0
1648792800000,8.33288e-05,-0.0520025064,0.0059963166,0.517606688,0.0323624697,0.0761543658,0.0085531525,0.0858751149,-0.8788487846,-0.6052611888,,,0.0001,-10547.05,,6.0,6.0
1648796400000,0.0035286349,-0.0490349669,0.0060887673,0.5343836852,0.0299566777,0.0758865897,0.0086505411,0.0864707527,-0.8287365706,-0.6543059639,,,0.0001,-10547.05,,7.0,7.0
1648800000000,0.0047315289,-0.0454842119,0.0062171156,0.5493393624,0.0202331676,0.075529221,0.0087865383,0.0851938141,0.0048866889,-0.0107874196,,,7.626e-05,-10547.05,,0.0,8.0
1648803600000,0.002696171,-0.044621657,0.0062432943,0.4767196245,0.0232728937,0.0753261289,0.0087542993,0.0822969997,0.8091850851,-0.0536428822,,,7.626e-05,-10547.05,,1.0,9.0
1648807200000,-0.0013527687,-0.0470395776,0.0062105935,0.4813795421,0.0172331174,0.0754281658,0.0087836931,0.0782727341,0.2196856144,-0.3490317016,,,7.626e-05,-10547.05,,2.0,10.0
1648810800000,0.0032611589,-0.0434333262,0.006296797,0.5337224972,0.0167164938,0.0751829821,0.008791065,0.0729320879,-1.2018117089,-0.926820035,,,7.626e-05,-10547.05,,3.0,11.0
1648814400000,-0.0035101608,-0.0442770096,0.0063042188,0.5304529019,0.0167753781,0.0754478161,0.0088781091,0.0675963484,-0.0607354117,-0.4743180192,,,7.626e-05,-10547.05,,4.0,12.0
1648818000000,0.0040253629,-0.0453648174,0.0062528219,0.485443327,0.0158240591,0.0751453289,0.0091039395,0.0579209777,1.6249778559,0.6235215342,,,7.626e-05,-10547.05,,5.0,13.0
1648821600000,0.0040768551,-0.0316118323,0.0061087335,0.5018536792,0.019873159,0.0597293161,0.0087726216,0.0508446148,0.6158104091,0.160776748,,,7.626e-05,-10547.05,,6.0,14.0
1648825200000,0.0153816455,-0.0120275054,0.0069425955,0.527970565,0.0320787983,0.0563421074,0.0087095146,0.0467542316,1.0707112156,0.8728661632,,,7.626e-05,-10547.05,,7.0,15.0
1648828800000,0.0087383378,0.0016831773,0.0071157895,0.5164409928,0.0433912146,0.0541582137,0.0087811345,0.0473975515,1.4919037249,1.8605247079,,,7.626e-05,-10547.05,,8.0,16.0
1648832400000,-0.0108894954,0.0073648246,0.0066254531,0.4700678473,0.0438689251,0.0547544622,0.0086414085,0.0485832303,-0.4673875126,0.2857661128,,,9.193e-05,-10547.05,,1.0,17.0
1648836000000,0.0095645242,0.0140877346,0.0068734361,0.5383188966,0.0434533148,0.0542357233,0.0089314473,0.051902768,-1.206832742,-0.3251580958,,,9.193e-05,-10547.05,,2.0,18.0
1648839600000,-0.0028164983,0.0082111057,0.0068879418,0.5074582613,0.0319886012,0.0543889095,0.0089433648,0.0537021542,-1.0488421194,-0.5911829742,,,9.193e-05,-10547.05,,3.0,19.0
1648843200000,0.0005837966,0.017105667,0.0066440773,0.5501888875,0.0280423401,0.054357176,0.0087284729,0.056316414,-0.9891166977,-0.8392213563,,,9.193e-05,-10547.05,,4.0,20.0
1648846800000,-0.004665491,0.0087422883,0.00670298,0.462978712,0.0179023339,0.0546119677,0.0087994905,0.0574891941,-0.9233193598,-1.1663061245,,,9.193e-05,-10547.05,,5.0,21.0
1648850400000,0.0034605848,0.0119736374,0.0067321685,0.5441577324,0.0152903343,0.0544236301,0.00885425,0.0592609065,-1.1287872052,-1.2936524854,,,9.193e-05,-10547.05,,6.0,22.0
1648854000000,0.0013678848,0.0126793462,0.0067343613,0.4732273789,0.0152694475,0.0543492865,0.0089215373,0.0611535166,-0.4975356924,-1.0385977261,,,9.193e-05,-10547.05,,7.0,23.0
1648857600000,-0.0018314193,0.016988447,0.0066080887,0.4836404936,0.0113679846,0.0544490055,0.0086321458,0.0627201903,-0.8529741648,-1.1666859823,,,0.0001,-6794.131,,0.0,0.0
1648861200000,0.0132105422,0.0297183887,0.0070825406,0.5962037398,0.0242488952,0.0642500296,0.0092641165,0.0672548657,2.0054824244,1.1828002282,,,0.0001,-6794.131,,1.0,1.0
1648864800000,-0.0031862726,0.0405515833,0.0064254034,0.4902353722,0.0243264058,0.0644554021,0.0092032566,0.0690306425,0.8409705839,0.4095786615,,,0.0001,-6794.131,,2.0,2.0
1648868400000,-0.0052967665,0.0474219754,0.005949871,0.5024737101,0.0243251846,0.0632191991,0.0090387505,0.066208297,0.0323019785,-0.2277128994,,,0.0001,-6794.131,,3.0,3.0
1648872000000,0.0021942926,0.0448419484,0.0059220666,0.4798229932,0.0242719249,0.0572080258,0.0089316837,0.0641495767,-0.8426750927,-1.1285010088,,,0.0001,-6794.131,,4.0,4.0
1648875600000,-0.0015068692,0.042275243,0.0059593604,0.4945202049,0.0243085547,0.05684669,0.0089111344,0.0612005054,-0.7792933311,-1.0588982262,,,0.0001,-6794.131,,5.0,5.0
1648879200000,0.0002508075,0.0424497874,0.0059574293,0.5066445578,0.0243024594,0.056832436,0.0088933314,0.057342375,-0.8603854425,-1.118629601,,,0.0001,-6794.131,,6.0,6.0
1648882800000,0.0019531007,0.0408131471,0.0059456546,0.566358363,0.0180098421,0.0538680502,0.0087915049,0.0539049308,-0.4564598074,-0.885274444,,,0.0001,-6794.131,,7.0,7.0
1648886400000,-0.0010248266,0.0348500712,0.0059335091,0.4653066587,0.0131108015,0.0539233122,0.0087247029,0.0509045346,-0.1210985142,-0.8013661873,,,0.0001,-6794.131,,8.0,8.0
1648890000000,-0.0007105369,0.0313341188,0.0059430222,0.4499762623,0.0067323446,0.053961654,0.0085375449,0.0478817985,1.1883237994,-0.704689716,,,0.0001,-6794.131,,1.0,9.0
1648893600000,0.0028164573,0.0356398083,0.0059229105,0.521122832,0.0069432871,0.0538101001,0.0084834788,0.0438881546,1.3037469879,-0.5828682322,,,0.0001,-6794.131,,2.0,10.0
