t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1512086400000,0.0113958532,0.0155947431,0.0304237124,0.5690711981,0.0797838389,0.2082740452,0.0437533117,0.1874048599,0.8438695657,-0.7687701927,,,,,,,
1512090000000,-0.0156479953,-0.0247100312,0.0301643412,0.5991419448,0.0774383067,0.2115849251,0.0437300809,0.1872110386,0.2901489041,-0.8268478128,,,,,,,
1512093600000,-0.0051626226,-0.0748946474,0.0282736751,0.4909938478,0.0778401661,0.2126829268,0.0421789915,0.1791035003,0.0657031454,-0.7667895054,,,,,,,
1512097200000,0.0087182148,-0.0650591469,0.0283720393,0.4940251788,0.0771643173,0.2108447371,0.0413358713,0.1698395255,-1.6647449216,-1.2669568062,,,,,,,
1512100800000,-0.0021370511,-0.0679242055,0.0283632699,0.4916873535,0.0598036961,0.2112962881,0.0409604381,0.1586881212,-1.2747768527,-1.1752850154,,,,,,,
1512104400000,0.0146181313,-0.0581623062,0.0285508335,0.5492035237,0.0589420732,0.2082520325,0.0406745427,0.1445996149,-0.7649134119,-1.0195844464,,,,,,,
1512108000000,-0.0269268293,-0.0689825164,0.0288752085,0.5007274111,0.0433408111,0.1509340953,0.0396677629,0.1336218842,-1.0379825255,-1.1341099899,,,,,,,
1512111600000,-0.013066264,-0.055007945,0.0284746234,0.4847923612,0.0517442986,0.1529323498,0.0391209688,0.1301735078,-0.850221874,-1.0941762844,,,,,,,
1512115200000,0.0095312875,-0.0526315789,0.0285139195,0.5315968147,0.0571268344,0.1514884696,0.0384385919,0.1234301892,1.8622019409,-0.391596497,,,,,,,
1512118800000,0.0252232704,-0.0431803107,0.0288485975,0.5879154562,0.0557213595,0.1430582693,0.0375672375,0.1110918181,0.1517865348,-0.7568678921,,,,,,,
1512122400000,0.020895382,-0.0069646734,0.0290127661,0.5462486068,0.0607911868,0.1276114171,0.0364576031,0.1088526103,1.4124639956,-0.211254066,,,,,,,
1512126000000,-0.0225247872,0.0380700159,0.0260152138,0.5486998282,0.0635240044,0.1272734165,0.0352443813,0.1092627246,0.7406026586,-0.2952179031,,,,,,,
1512129600000,0.0200971507,0.0371083333,0.0259856321,0.5273584072,0.0622725045,0.1244636529,0.0326176097,0.1140625467,-0.3282630097,-0.5522630489,,,,,,,
1512133200000,0.0164901609,0.0405060844,0.0260572476,0.5325978059,0.0909053182,0.1431956381,0.0322396452,0.1223103219,1.8749460209,0.7542556104,,,,,,,
1512136800000,0.0532794094,0.1798138574,0.0230906399,0.6270425248,0.112086442,0.1767415942,0.0297683097,0.1414181189,1.647932562,1.7635824903,,,,,,,
1512140400000,-0.0206057809,0.1242709455,0.0233239653,0.5719982812,0.0949245113,0.1773949759,0.0302823856,0.1509104128,1.4029915988,2.5310495428,,,,,,,
1512144000000,0.0019176282,0.1648106904,0.0218889749,0.4803774782,0.0938690249,0.1749512428,0.0292775255,0.1482796451,-0.1471177384,0.8665922298,,,,,,,
1512147600000,0.0072762906,0.1554069762,0.0218083787,0.4578095304,0.0930049136,0.1668120397,0.0287022045,0.1490368718,-0.8767965052,-0.0883836129,,,,,,,
1512151200000,-0.0142443463,0.1065083084,0.0216182062,0.5109817978,0.0750999179,0.1381663639,0.0281722981,0.1499492905,-1.3041633019,-0.706840249,,,,,,,
1512154800000,0.0070267465,0.1066564385,0.021618886,0.5247725203,0.0592474814,0.1338558812,0.0268357139,0.1521169825,-1.130316751,-1.1043189898,,,,,,,
1512158400000,0.0067013991,0.0786907079,0.0207708217,0.4805227952,0.0388532733,0.1329648308,0.0257922488,0.1590061883,-0.6224767497,-0.6777948016,,,,,,,
1512162000000,0.0162815435,0.1433509422,0.0186108789,0.5877375756,0.042810029,0.1354110497,0.0244898695,0.1612132997,0.222441343,-0.07604934,,,,,,,
1512165600000,0.010417241,0.122741433,0.0179798864,0.5155499165,0.0503135405,0.140399556,0.0236352355,0.1698666134,0.2517938639,-0.3553492248,,,,,,,
1512169200000,-0.0056381798,0.1051531131,0.0180709299,0.5309819725,0.0505988258,0.1411956425,0.0235675649,0.1758009649,-0.3562280825,-0.6616102579,,,,,,,
1512172800000,0.0029718055,0.095948149,0.018009423,0.4632139402,0.0474794097,0.1407772798,0.0229918062,0.1820894875,0.4579619292,-0.3267240191,,,,,,,
1512176400000,0.0108513501,0.1254517295,0.0175605349,0.5545335285,0.0457724771,0.1446788991,0.0223855505,0.1869947907,1.2694248148,0.0609895028,,,,,,,
1512180000000,0.0104688073,0.1431354437,0.0174535647,0.5629223783,0.0519751482,0.1561633214,0.0223805343,0.1912453818,1.4514338584,0.3553673897,,,,,,,
1512183600000,0.0024168998,0.1359944439,0.017454121,0.5551324098,0.0489089037,0.1557868003,0.0221227446,0.1950984918,0.9389273978,0.2248634591,,,,,,,
1512187200000,-0.0127047759,0.1239638573,0.0177845857,0.4315865492,0.0495382764,0.157791506,0.0225941535,0.1931567315,-0.4677693738,-0.3394986469,,,,,,,
1512190800000,-0.0082987323,0.0985772358,0.0178625288,0.4947497873,0.0499528215,0.1591119334,0.0226952667,0.1909593957,1.5077756825,0.6573148366,,,,,,,
1512194400000,0.007012951,0.1368944673,0.0166001921,0.5455291074,0.0413382192,0.1580038601,0.02220892,0.1815717381,-1.5216752589,-0.8457572903,,,,,,,
1512198000000,-0.0027384274,0.1487915784,0.0162279152,0.4839230915,0.0414517318,0.1584377303,0.0218232621,0.1640663323,-0.5134526364,-0.4129345815,,,,,,,
1512201600000,0.0069123066,0.1458113208,0.0162113796,0.5418597201,0.0371437667,0.1427128617,0.0216657488,0.1465708916,-0.7509375722,-0.6813358561,,,,,,,
1512205200000,-0.0001994321,0.117398368,0.0157107102,0.5014582624,0.0357521279,0.1236185659,0.0211202648,0.1342627293,-0.1558043383,-0.4522343726,,,,,,,
1512208800000,0.0182425248,0.1144947421,0.0156011469,0.5021722188,0.0458293907,0.1259742115,0.0207161576,0.1296325991,0.9351019259,0.3006955438,,,,,,,
1512212400000,-0.0029869979,0.1367712798,0.0145995268,0.5147421474,0.0464173469,0.1288788904,0.0202829535,0.111711788,-0.201782083,-0.5176957525,,,,,,,
1512216000000,-0.01388104,0.0989068162,0.0147645657,0.4780013301,0.0359062899,0.1124204596,0.0208427399,0.0949876958,1.7186517959,0.8968812987,,,,,,,
1512219600000,0.0126423776,0.094747056,0.0146438972,0.5171619061,0.0354580163,0.0965467132,0.0200294318,0.0835174567,-0.3056802216,-0.3136274604,,,,,,,
1512223200000,-0.0071574919,0.0319307518,0.0103452272,0.4738068514,0.0357136364,0.0780990909,0.0188344697,0.0841323399,-1.2440477107,-1.0558134839,,,,,,,
1512226800000,-0.0145390909,0.0383228704,0.0098472577,0.4286351733,0.0525826863,0.0792513332,0.0192119377,0.078889869,0.9137953093,1.5957204734,,,,,,,
1512230400000,-0.0120239076,0.023874761,0.0102322906,0.4565256185,0.0532226303,0.078058924,0.0194640761,0.0740908352,-0.5698580388,-0.5195618703,,,,,,,
1512234000000,0.0092056476,0.025835911,0.0102908787,0.5783792149,0.0454372187,0.0773468957,0.0192245804,0.0702754733,-1.0814307304,-1.5221280057,,,,,,,
1512237600000,0.0083500489,0.0493489813,0.0098487579,0.4874015597,0.0450609575,0.0737683935,0.0190436681,0.0602358262,-1.2324849645,-2.1311519282,,,,,,,
