t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1775001600000,0.0016371615,0.0222630023,0.0061010754,0.5555834405,0.0129458407,0.0379506441,0.0093956196,0.0380660441,0.312075809,-0.6403592238,,,-3.449e-05,5898.097,6048.0,0.0,0.0
1775005200000,0.0006776064,0.0166942548,0.0059987954,0.4656825137,0.0101557498,0.0379249459,0.0092256232,0.0394980937,-0.3772837867,-0.775183361,,,-3.449e-05,5898.097,6049.0,1.0,1.0
1775008800000,-0.0080201081,-0.0022933964,0.0058456131,0.4671185751,0.0095890207,0.0382315672,0.0088452902,0.0392596774,1.6904171433,0.1717430087,,,-3.449e-05,5898.097,6050.0,2.0,2.0
1775012400000,-0.0016794838,-0.0040407145,0.0058545683,0.5826840624,0.0122885125,0.0382958846,0.0088685079,0.0388849632,1.472495496,0.4321132064,,,-3.449e-05,5898.097,6051.0,3.0,3.0
1775016000000,0.0074152243,0.0068817929,0.0060048652,0.6332487405,0.0117336385,0.0380140022,0.0089372807,0.0397478452,-0.8711373314,-0.8414668367,,,-3.449e-05,5898.097,6052.0,4.0,4.0
1775019600000,0.0019533327,0.0112492581,0.005985925,0.4748382801,0.0131399659,0.037939893,0.0088572937,0.0410030168,-0.1535716221,-0.4352818754,,,-3.449e-05,5898.097,6053.0,5.0,5.0
1775023200000,0.0022281327,0.0114409099,0.0059881948,0.5668145174,0.0171900148,0.0402807525,0.0089746551,0.0425562362,0.1689560047,-0.2042293976,,,-3.449e-05,5898.097,6054.0,6.0,6.0
1775026800000,0.0094488403,0.0238543786,0.0062135019,0.5747839532,0.0239936558,0.0468682551,0.0091336923,0.0465617867,1.3619150911,0.7247400794,,,-3.449e-05,5898.097,6055.0,7.0,7.0
1775030400000,-0.0059454856,0.0196579399,0.0063498707,0.4592167915,0.0252030804,0.0482144937,0.0093227681,0.0482499082,1.4810423198,1.4185279893,,,-4.61e-06,5898.097,6056.0,0.0,8.0
1775034000000,-0.000317941,0.0283299987,0.0060216176,0.5057001555,0.0238982988,0.0482298279,0.0091162899,0.0483941784,0.6567850877,0.7518953289,,,-4.61e-06,5898.097,6057.0,1.0,9.0
1775037600000,-0.0003809515,0.0380946749,0.0055657669,0.4261825074,0.0190063225,0.0467628635,0.0087660368,0.0450743621,-1.3108833178,-0.9997360022,,,-4.61e-06,5898.097,6058.0,2.0,10.0
1775041200000,-0.0008514947,0.0334848828,0.0055693918,0.5544226032,0.0169131836,0.044759574,0.0087031027,0.0418765751,-0.2186047769,0.1255761707,,,-4.61e-06,5898.097,6059.0,3.0,11.0
1775044800000,0.0018512646,0.0303937771,0.0055215929,0.533067386,0.0134006146,0.0419497058,0.0084128106,0.0398037043,-0.7560655342,-0.3681160409,,,-4.61e-06,5898.097,6060.0,4.0,12.0
1775048400000,-0.0046413667,0.0261103508,0.0056426367,0.4893689687,0.0155233823,0.0421453177,0.0085242381,0.0361505334,0.7381109153,0.9644935123,,,-4.61e-06,5898.097,6061.0,5.0,13.0
1775052000000,-0.0040578358,0.0120914162,0.0054217432,0.5235680684,0.0136901615,0.0423170333,0.0085611528,0.034783031,0.1440369269,0.189701558,,,-4.61e-06,5898.097,6062.0,6.0,14.0
1775055600000,0.0070097996,0.0301272988,0.0050273379,0.5532061411,0.0126421508,0.0396909039,0.0080710395,0.0294124252,-0.0478543528,-0.0459661781,,,-4.61e-06,5898.097,6063.0,7.0,15.0
1775059200000,0.0047376175,0.0326914086,0.0050743394,0.587219426,0.0151798094,0.0374459579,0.0079364069,0.0242820913,-0.8062644154,-0.2911615822,,,5.77e-06,5898.097,6064.0,0.0,16.0
1775062800000,-0.0014826203,0.0170028211,0.0043361328,0.4491482724,0.0155170996,0.0276996713,0.0073885795,0.0237242976,-0.8869940403,-0.4380588801,,,5.77e-06,5898.097,6065.0,1.0,17.0
1775066400000,-0.0079882191,0.0109566949,0.0046579188,0.4851690115,0.0183536258,0.0261284358,0.0072887257,0.0214744214,-0.650728424,-0.1946445157,,,5.77e-06,5898.097,6066.0,2.0,18.0
1775070000000,-0.0026639667,0.0034000918,0.004602665,0.4510124853,0.0184026499,0.0254278637,0.0072894372,0.0208106259,-0.8188986918,-0.4165367869,,,5.77e-06,5898.097,6067.0,3.0,19.0
1775073600000,0.0013524319,0.0049829891,0.004608314,0.4228022681,0.0180778399,0.0253935207,0.0072466752,0.0198659246,-1.8509300318,-1.4480386785,,,5.77e-06,5898.097,6068.0,4.0,20.0
1775077200000,0.0002090153,-0.0010904478,0.0044233472,0.4938372989,0.0180740622,0.0253882142,0.0071528651,0.0199588037,-1.5668980858,-1.7283137403,,,5.77e-06,5898.097,6069.0,5.0,21.0
1775080800000,0.0025141114,0.0012381735,0.0044538562,0.5131955546,0.0180287359,0.0253245455,0.0070350551,0.0199112985,-0.9413895385,-1.5018118047,,,5.77e-06,5898.097,6070.0,6.0,22.0
1775084400000,-0.0035039663,-0.0007316694,0.0045023365,0.4236835669,0.0180921301,0.0254135939,0.0070067388,0.0200036166,-0.8524178675,-1.5268935208,,,5.77e-06,5898.097,6071.0,7.0,23.0
1775088000000,-0.0001331415,-0.0024977857,0.0044884733,0.4325386974,0.0087312549,0.0254169779,0.0069906721,0.0202463233,0.3525926339,-0.9132575839,,,5.77e-06,2942.512,6072.0,8.0,0.0
1775091600000,0.0071405375,0.0039446369,0.0047244825,0.6548867252,0.0100422316,0.0252367738,0.0070096885,0.0203877536,0.5822688789,-1.0639834871,,,3.521e-05,2942.512,6073.0,1.0,1.0
1775095200000,-0.0180905941,-0.006247314,0.0058071101,0.4375454835,0.0237909348,0.033538962,0.0077148129,0.0227801832,2.0259931683,2.583237384,,,3.521e-05,2942.512,6074.0,2.0,2.0
1775098800000,-0.0075161147,-0.0120572393,0.0059891629,0.5406006429,0.0303462867,0.0401681361,0.0080221667,0.0280588452,0.5930133192,0.7424737952,,,3.521e-05,2942.512,6075.0,3.0,3.0
1775102400000,-0.0041395306,-0.0233886509,0.0057872425,0.4788820357,0.0323445673,0.0422072436,0.0079856868,0.0351544928,-0.1278161993,-0.2108674869,,,3.521e-05,2942.512,6076.0,4.0,4.0
1775106000000,-0.003694711,-0.0288938409,0.0057780492,0.6014819644,0.0367299877,0.0466292388,0.0079948604,0.0422241105,-0.1127762243,0.0479844816,,,3.521e-05,2942.512,6077.0,5.0,5.0
1775109600000,0.0039389256,-0.0272361729,0.0058325387,0.4891151376,0.0365858786,0.0464462903,0.0078079488,0.0462799617,-0.1284629425,0.2138172605,,,3.521e-05,2942.512,6078.0,6.0,6.0
1775113200000,0.0013507722,-0.0350399441,0.005412859,0.4356826845,0.0357403531,0.0463836366,0.0074823176,0.0477199173,-1.0826821254,-0.8038751414,,,3.521e-05,2942.512,6079.0,7.0,7.0
1775116800000,0.0037386687,-0.0256392302,0.005425742,0.7093893266,0.0170653895,0.0441456017,0.0073056312,0.0487110457,-0.7263303367,-0.379539206,,,3.521e-05,2942.512,6080.0,8.0,8.0
1775120400000,-0.0073459465,-0.0324892209,0.0055712342,0.3778119268,0.0118836613,0.0450302472,0.0075407192,0.0511024081,0.1433307689,0.0107772597,,,8.45e-06,2942.512,6081.0,1.0,9.0
1775124000000,0.0004587659,-0.0316764757,0.0055802816,0.4763298478,0.0117536438,0.0450095984,0.0074619764,0.0527583767,-1.1260706914,-0.7660234374,,,8.45e-06,2942.512,6082.0,2.0,10.0
1775127600000,-0.0001853479,-0.0310308804,0.005584396,0.5282630946,0.0117558227,0.0450179424,0.0074803255,0.0540147411,-0.9119322225,-0.7819663858,,,8.45e-06,2942.512,6083.0,3.0,11.0
