t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1580515200000,-0.0052677928,-0.0168523558,0.003725188,0.4705182231,0.0164344924,0.0342364766,0.0072891908,0.02668894,0.1163480796,-0.9029088652,,,0.00074991,-5137.22,,0.0,0.0
1580518800000,0.0032268101,-0.0095842565,0.0037332258,0.5480411586,0.0144590203,0.0308747563,0.0072459849,0.0246234992,-0.7937162089,-1.1989628309,,,0.00074991,-5137.22,,1.0,1.0
1580522400000,0.0049866408,-0.0051284648,0.0038891632,0.552655551,0.0142536581,0.0285317067,0.0071994706,0.0229649018,-0.2196450522,-0.8999665975,,,0.00074991,-5137.22,,2.0,2.0
1580526000000,0.0012746743,-0.000261532,0.0038311251,0.5650284243,0.0158008786,0.0280590306,0.0070679339,0.0228859505,1.1676676986,-0.2949440653,,,0.00074991,-5137.22,,3.0,3.0
1580529600000,-0.0010114511,-0.0012357052,0.0038366512,0.492599058,0.0145552584,0.0269837887,0.0071788112,0.0225283342,-0.3878380713,-0.8435822178,,,0.00074991,-5137.22,,4.0,4.0
1580533200000,-0.003277027,-0.0015611526,0.0038479131,0.5557052743,0.0146031131,0.0270725061,0.007207998,0.022221888,-0.764380597,-1.0021557694,,,0.00074991,-5137.22,,5.0,5.0
1580536800000,-0.0021592483,0.0038082377,0.0035413197,0.4533384423,0.0131498158,0.0271310888,0.0069324967,0.0223836294,-0.5680230772,-0.9144534364,,,0.00074991,-5137.22,,6.0,6.0
1580540400000,0.0018004247,0.0019926818,0.0034833142,0.5956177013,0.0092317416,0.0270823291,0.0067321433,0.0226276785,-0.9552898752,-0.9626022477,,,0.00074991,-5137.22,,7.0,7.0
1580544000000,0.0026601376,0.0051682426,0.0035195626,0.5931998992,0.0092072491,0.0270104775,0.0067353301,0.023392097,1.0825665366,-0.2003332974,,,0.00065667,-5137.22,,0.0,8.0
1580547600000,-0.0040740698,0.0006738961,0.0036265229,0.3984877268,0.0084574549,0.0271209703,0.0066485555,0.0234503957,0.743276857,-0.4138212136,,,0.00065667,-5137.22,,1.0,9.0
1580551200000,0.0003463113,0.0030193566,0.0036010136,0.4350498998,0.0106275438,0.0271115812,0.0065832736,0.0236291467,1.060378401,-0.1820693404,,,0.00065667,-5137.22,,2.0,10.0
1580554800000,-0.00088625,0.0037433504,0.0035888688,0.5588837304,0.0106369709,0.0271356302,0.0062980989,0.0236964575,-0.3479387712,-0.5565603818,,,0.00065667,-5137.22,,3.0,11.0
1580558400000,-0.0026536454,0.0028139844,0.0036149108,0.4746829011,0.0142559965,0.0272078301,0.0064068781,0.0235545978,0.7083692718,-0.0454386422,,,0.00065667,-5137.22,,4.0,12.0
1580562000000,-0.0045538801,0.0032028596,0.0035921996,0.4579455817,0.0186607475,0.0273322981,0.0064429442,0.0229290626,0.9878253954,0.2833107261,,,0.00065667,-5137.22,,5.0,13.0
1580565600000,0.003574934,0.0079272206,0.0036478786,0.5258882304,0.0154900566,0.0242505631,0.0063428158,0.0215573403,0.724785331,0.4339247351,,,0.00065667,-5137.22,,6.0,14.0
1580569200000,0.0005061341,0.0093812276,0.0036379032,0.490137891,0.0134758205,0.0222768147,0.0063052936,0.0196303892,0.2827954932,0.3835054141,,,0.00065667,-5137.22,,7.0,15.0
1580572800000,-0.001729397,-0.0005653595,0.0032557247,0.4671909426,0.0134991659,0.0223154069,0.006140201,0.0196928298,-0.5817322289,0.030232377,,,0.00049052,-5137.22,,0.0,16.0
1580576400000,0.0077020241,0.0127048386,0.0034011473,0.5131245052,0.0134512747,0.0206819197,0.0059570956,0.018648401,1.1711635047,1.4098158938,,,0.00049052,-5137.22,,1.0,17.0
