t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1593561600000,0.0004970435,-0.0058754036,0.0021576216,0.4850089678,0.0084608609,0.0153317539,0.0042131957,0.0086526762,-0.3187153934,-0.7006790589,,,0.0001,-6912.14,,8.0,0.0
1593565200000,-0.0018110094,-0.0057256339,0.0021526285,0.4332754348,0.0101227801,0.0153595703,0.004315437,0.0088127506,1.6380504677,0.5746050148,,,0.0001,-6912.14,,1.0,1.0
1593568800000,0.0003288752,-0.0080961098,0.0020633328,0.4589778101,0.0101194521,0.0148054795,0.0042263014,0.0078133612,-0.4193328163,-0.7451075935,,,0.0001,-6912.14,,2.0,2.0
1593572400000,0.0011079452,-0.0049799419,0.0020508501,0.5231133462,0.0101082527,0.0135860433,0.0042468016,0.0072236165,0.2027028972,-0.3571544606,,,0.0001,-6912.14,,3.0,3.0
1593576000000,0.0003809478,-0.0025170139,0.002013883,0.4690843873,0.0091140975,0.0135808697,0.0042714923,0.0070828797,-0.8172108663,-0.9410520341,,,0.0001,-6912.14,,4.0,4.0
1593579600000,0.0009531011,-0.0010614807,0.0020231987,0.576383999,0.0090463853,0.0135679381,0.0042468816,0.0069912686,0.2127517164,-0.3157608399,,,0.0001,-6912.14,,5.0,5.0
1593583200000,-0.0005116264,0.0016016652,0.0019144235,0.5187978156,0.009051016,0.0135748833,0.0041311553,0.0068332698,-0.6929875774,-0.7808763543,,,0.0001,-6912.14,,6.0,6.0
1593586800000,-0.0008618974,-0.001640482,0.001857606,0.4492705909,0.006770855,0.0135865936,0.0040448606,0.0068703671,0.7008505691,-0.3206678843,,,0.0001,-6912.14,,7.0,7.0
1593590400000,6.89675e-05,-0.0010399262,0.0018551077,0.5030770017,0.0054710428,0.0135856566,0.0040459956,0.0069122192,1.4363470241,0.1535613866,,,0.0001,-6912.14,,0.0,8.0
1593594000000,0.0042078208,0.0043221561,0.0020299612,0.5068202951,0.0094715282,0.0147277958,0.004176836,0.0073575375,1.8939960574,1.6746799797,,,0.0001,-6912.14,,1.0,9.0
1593597600000,-0.0009614326,0.0012760411,0.0020011236,0.4814377795,0.0081494906,0.0147419692,0.004127755,0.0075360693,0.1198803035,0.1760564314,,,0.0001,-6912.14,,2.0,10.0
1593601200000,-0.0015744698,-0.0001442327,0.0020283887,0.5061768079,0.008162342,0.0147652166,0.0041675956,0.007527996,-0.1038409738,0.0286816162,,,0.0001,-6912.14,,3.0,11.0
1593604800000,0.0009201623,0.0011017718,0.0020357284,0.4694560427,0.0081548382,0.0147516427,0.0041528915,0.0076173999,0.0511608446,0.3179349371,,,0.0001,-6912.14,,4.0,12.0
1593608400000,0.0007053187,0.0047874481,0.0019348915,0.5390647542,0.0077879513,0.0147412454,0.0041252338,0.0074546228,-0.5292313083,0.029192729,,,0.0001,-6912.14,,5.0,13.0
1593612000000,0.0050755883,0.0088554501,0.0021720645,0.5376957377,0.0131242428,0.018877633,0.0041598549,0.0092229236,1.9085371285,3.9233682819,,,0.0001,-6912.14,,6.0,14.0
1593615600000,0.0004960942,0.0038469875,0.0018800215,0.4747440763,0.0131177352,0.0188682725,0.0040706752,0.0106088807,0.2117075473,1.1901518196,,,0.0001,-6912.14,,7.0,15.0
1593619200000,0.0051440184,0.0102916494,0.0021096078,0.5074372228,0.014602858,0.0203239658,0.0041603069,0.0144802202,0.010968085,1.0023960917,,,0.0001,-6912.14,,0.0,16.0
1593622800000,0.0022733308,0.0120210884,0.002142964,0.4891338094,0.0171136241,0.0228217555,0.0042997218,0.0184156091,0.8646559284,2.2749781456,,,0.0001,-6912.14,,1.0,17.0
1593626400000,-0.0006451265,0.0143788235,0.0020289393,0.4605846349,0.0169123646,0.0228364879,0.0041887551,0.0211196467,-0.7359859816,0.25089708,,,0.0001,-6912.14,,2.0,18.0
1593630000000,-0.002549841,0.0136062319,0.002073272,0.436850562,0.0153424776,0.0228948662,0.0042428613,0.0222420505,-0.9264733972,0.0836071713,,,0.0001,-6912.14,,3.0,19.0
1593633600000,-0.0016574198,0.0115252449,0.002122353,0.4679480319,0.0090995573,0.0229328756,0.0041409136,0.0227453956,-1.0420164127,-0.2882521238,,,0.0001,-6912.14,,4.0,20.0
1593637200000,-0.000541125,0.0091230746,0.0021116873,0.505379869,0.0085868884,0.0229452919,0.0041428849,0.0231944936,-0.8097689305,-0.3622717994,,,0.0001,-6912.14,,5.0,21.0
1593640800000,0.0003789926,0.008550041,0.0021082389,0.4959913384,0.0078865531,0.0229365991,0.0041551614,0.0236815719,-0.7810213336,-0.6272881678,,,0.0001,-6912.14,,6.0,22.0
1593644400000,0.0001991663,0.0116422032,0.0019948523,0.5448590567,0.0086371187,0.0229320318,0.0041492837,0.0237421789,-1.0195324809,-0.6523542137,,,0.0001,-6912.14,,7.0,23.0
1593648000000,-0.0009036454,0.0102259111,0.0020148528,0.4930793937,0.007907279,0.022952773,0.0041398577,0.0235981867,-1.0509755682,-0.7740537167,,,0.0001,1626.077,,8.0,0.0
1593651600000,-0.0006488302,0.0114021048,0.0019722689,0.4789509804,0.0064860107,0.0207023404,0.0040161366,0.0228686328,-0.4882414149,-0.6233903174,,,0.0001,1626.077,,1.0,1.0
1593655200000,0.0024615191,0.0135583562,0.0020130499,0.5060909455,0.0053856101,0.0193680855,0.0040059597,0.0223433353,-1.1786758943,-0.8064695578,,,0.0001,1626.077,,2.0,2.0
1593658800000,-0.0011104239,0.011312398,0.0020377296,0.436774694,0.0056070012,0.0193636378,0.0039640939,0.0217086464,0.274951533,-0.6469199475,,,0.0001,1626.077,,3.0,3.0
1593662400000,-6.16987e-05,0.0108649146,0.0020405794,0.4156017589,0.0056073471,0.0180441833,0.0039222563,0.0209748591,-1.8083626454,-1.0143703868,,,0.0001,1626.077,,4.0,4.0
1593666000000,-9.3095e-05,0.0098083588,0.0020405919,0.5005995012,0.0050708995,0.0180458633,0.0038946994,0.0202897126,-0.3615275919,-0.8005103802,,,0.0001,1626.077,,5.0,5.0
1593669600000,-0.002959829,0.0073348777,0.0021470193,0.4407521999,0.0064247618,0.0180994345,0.0040670975,0.019219643,1.8945896901,0.0708652684,,,0.0001,1626.077,,6.0,6.0
1593673200000,-0.0005211907,0.0076783795,0.0021400713,0.4817109856,0.0103597222,0.0177492808,0.0041819756,0.0177388746,1.7862146614,0.9678021732,,,0.0001,1626.077,,7.0,7.0
1593676800000,0.0003389506,0.0079504169,0.0021393987,0.4616610007,0.010356212,0.0172567333,0.0041425481,0.0160238734,-0.1579615326,-0.4901628836,,,0.0001,1626.077,,8.0,8.0
1593680400000,4.88705e-05,0.0037759666,0.0019738592,0.4876868523,0.0102340785,0.01725589,0.0040608083,0.015457214,0.7041935867,0.3964657658,,,0.0001,1626.077,,1.0,9.0
1593684000000,0.0001748394,0.0049176268,0.0019593926,0.4995935372,0.0102322895,0.0172528735,0.0040388807,0.014555134,-0.3726430753,-0.2820546286,,,0.0001,1626.077,,2.0,10.0
1593687600000,-0.0003919627,0.0061078229,0.0019272718,0.4370348056,0.0102363017,0.0172596386,0.0040130832,0.0129672987,-0.6300363756,-0.2801432495,,,0.0001,1626.077,,3.0,11.0
1593691200000,-0.0010253681,0.0041522091,0.0019389812,0.5055939572,0.0058062349,0.0170631542,0.00404511,0.0117007512,-0.2735902635,-0.1052696415,,,0.0001,1626.077,,4.0,12.0
1593694800000,0.0049548712,0.008416399,0.0021698522,0.532443891,0.0080031766,0.0153636755,0.0041693355,0.0101654408,1.2183212514,0.3666185868,,,0.0001,1626.077,,5.0,13.0
1593698400000,0.0004695659,0.0037950664,0.0019235741,0.5097130421,0.0094853205,0.0135612723,0.0038594382,0.0100653917,1.0117521144,0.7123189548,,,0.0001,1626.077,,6.0,14.0
1593702000000,-0.0056148426,-0.0023360202,0.0022532901,0.458694884,0.0091147363,0.0136378467,0.0040030814,0.0105345249,0.0302093253,0.2224699275,,,0.0001,1626.077,,7.0,15.0
