t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1585699200000,-0.003282257,0.0025115805,0.0058952762,0.4623290826,0.0168490774,0.0314845783,0.0106769192,0.0174759173,0.2371356028,-0.8012519319,,,-0.000162,8478.23,,8.0,0.0
1585702800000,-0.0164294495,-0.0208756823,0.0066006262,0.4128928096,0.040532139,0.0450253128,0.0115022262,0.0248334162,2.0106404506,3.7263794349,,,-9.237e-05,8478.23,,1.0,1.0
1585706400000,-0.0018207425,-0.0338390591,0.0060469877,0.4599910993,0.0406060722,0.0451074418,0.0113062552,0.0289959915,-0.3460464582,-0.655868431,,,-9.237e-05,8478.23,,2.0,2.0
1585710000000,0.0037752398,-0.0205065073,0.005854809,0.5458594202,0.0388862507,0.0421312565,0.0109646901,0.0321511475,-0.455505598,-0.9167635254,,,-9.237e-05,8478.23,,3.0,3.0
1585713600000,0.0081172634,-0.0109931407,0.0061301281,0.5118354585,0.0327634612,0.0417920197,0.010868618,0.0328335402,-0.1064931375,-0.1650167964,,,-9.237e-05,8478.23,,4.0,4.0
1585717200000,-0.0041892511,-0.0088967999,0.0060573335,0.4182605753,0.0317959634,0.0419678335,0.0106267082,0.0342530114,-0.5437754507,-0.8105458073,,,-9.237e-05,8478.23,,5.0,5.0
1585720800000,-0.0059192684,-0.0173233992,0.0061257698,0.4571781764,0.0296900924,0.0422177316,0.0106022165,0.0372242124,-0.4601497394,-0.6926151627,,,-9.237e-05,8478.23,,6.0,6.0
1585724400000,-0.0007407454,-0.0265422866,0.0057874555,0.4727563682,0.0175497913,0.0422490273,0.0104070268,0.0391336115,1.6135797265,0.2363985389,,,-9.237e-05,8478.23,,7.0,7.0
1585728000000,0.0051065194,-0.0175528969,0.0058847948,0.5261971451,0.0174606283,0.042034378,0.0103721175,0.039925907,-0.262187826,-0.5873729284,,,-0.0004868,8478.23,,0.0,8.0
1585731600000,-0.0039908654,-0.0288330795,0.0056443661,0.4720587726,0.0175305905,0.0413307139,0.0103024857,0.0397892924,-0.4079057131,-0.559676198,,,-0.0004868,8478.23,,1.0,9.0
1585735200000,-0.0010607783,-0.0217452066,0.00543837,0.5028588846,0.0188825397,0.0413746032,0.0102008598,0.0410739054,0.4867875235,-0.2163683645,,,-0.0004868,8478.23,,2.0,10.0
1585738800000,-0.001315873,-0.0217078298,0.0054382376,0.5265384211,0.0142520873,0.0414291186,0.0101892676,0.0424708659,-0.68559672,-0.6032887324,,,-0.0004868,8478.23,,3.0,11.0
1585742400000,0.0008201268,-0.0141408037,0.0052962948,0.5368020274,0.0128063625,0.0413951693,0.0097430019,0.0438735524,-0.5884433436,-0.4879564637,,,-0.0004868,8478.23,,4.0,12.0
1585746000000,-0.0123204068,-0.0353756648,0.0053701193,0.4903925035,0.0208834127,0.0464795821,0.0097930525,0.0474148417,2.0183982046,1.8954973127,,,-0.0004868,8478.23,,5.0,13.0
1585749600000,-0.0020741917,-0.0329713306,0.0053322039,0.4553413458,0.027521635,0.053171006,0.0097374104,0.0513514561,0.6049584342,0.7590262577,,,-0.0004868,8478.23,,6.0,14.0
1585753200000,0.0072086994,-0.0311389886,0.0054489524,0.5037554212,0.0273246597,0.0527904555,0.0096139285,0.0517269363,0.1132776281,0.4105488577,,,-0.0004868,8478.23,,7.0,15.0
1585756800000,-0.0033657915,-0.0347111612,0.0054531278,0.5753339874,0.0274169394,0.0521501295,0.0094285021,0.0521912124,-0.481514592,-0.1059717525,,,-0.0004868,8478.23,,8.0,16.0
1585760400000,-0.0076579953,-0.038149602,0.0055749101,0.4242442548,0.0308457261,0.0557697845,0.0096636193,0.0548605829,0.463499466,0.9300675731,,,-0.00034983,8478.23,,1.0,17.0
1585764000000,0.0019717326,-0.0400167989,0.0055046862,0.5594641399,0.0307850262,0.0556600377,0.0095701423,0.0552289772,-1.165381068,-0.3687404289,,,-0.00034983,8478.23,,2.0,18.0
1585767600000,-0.0012446384,-0.0426329659,0.0054643896,0.4671571163,0.0178798292,0.0557294007,0.0095409869,0.0545688082,-1.3244558649,-0.7084696272,,,-0.00034983,8478.23,,3.0,19.0
1585771200000,0.0022547787,-0.0406376142,0.0055134042,0.5021835997,0.0178396048,0.0556040259,0.0095464007,0.0523027809,-0.5356007594,-0.3493880522,,,-0.00034983,8478.23,,4.0,20.0
1585774800000,0.0219632596,-0.0201778121,0.0073284879,0.544766418,0.0362774183,0.0528467729,0.0102601126,0.0474944971,1.7748528164,1.989944107,,,-0.00034983,8478.23,,5.0,21.0
1585778400000,0.0026826574,-0.0137537427,0.0073325302,0.5331129575,0.0393279824,0.0468822789,0.0102484,0.0438978946,0.3609219269,0.6321172979,,,-0.00034983,8478.23,,6.0,22.0
1585782000000,0.0262433113,0.0138691295,0.0091381468,0.5510310267,0.0660491508,0.0682222137,0.0113607203,0.0500176058,1.8217699693,3.3921570784,,,-0.00034983,8478.23,,7.0,23.0
1585785600000,0.0187355749,0.0362658413,0.0098104903,0.5519116364,0.077625502,0.0797586001,0.0119410967,0.0659551893,1.1087627085,2.5044798616,,,-0.0001933,20882.994,,0.0,0.0
1585789200000,-0.003787491,0.0495850991,0.0091192477,0.5167876782,0.0876006383,0.0897418462,0.0118405498,0.0773484867,0.534509529,1.9327676994,,,-0.0001933,20882.994,,1.0,1.0
1585792800000,-0.0078092889,0.0432881449,0.0093099284,0.4915930337,0.0839008967,0.0904481822,0.0122227925,0.0835478576,-1.0809718546,0.0647066199,,,-0.0001933,20882.994,,2.0,2.0
1585796400000,0.0059167723,0.0455139773,0.0093398134,0.465741778,0.062286807,0.0899161687,0.0122810411,0.0906676742,-1.107605831,-0.398296572,,,-0.0001933,20882.994,,3.0,3.0
1585800000000,0.0001695703,0.0372714597,0.0092501698,0.4908679122,0.0592608291,0.0899009242,0.0121096066,0.0967603646,-1.1133717387,-0.6636754094,,,-0.0001933,20882.994,,4.0,4.0
1585803600000,-0.0012882131,0.0402932829,0.009190448,0.5389625538,0.0369834817,0.0900168851,0.0121553513,0.1016811926,-0.7475555857,-0.5534846163,,,-0.0001933,20882.994,,5.0,5.0
1585807200000,0.0014960121,0.0480532829,0.0090471324,0.4582966517,0.0292096298,0.0898824199,0.0120363602,0.1059428858,-0.6228261378,-0.6865588666,,,-0.0001933,20882.994,,6.0,6.0
1585810800000,0.0048793703,0.05394783,0.0090459402,0.5613045551,0.0144269653,0.0894459798,0.0120242282,0.1105109651,-0.305246943,-0.5396994761,,,-0.0001933,20882.994,,7.0,7.0
1585814400000,0.000655155,0.0492801597,0.0090300289,0.4885027999,0.0174337748,0.0893874172,0.0121400261,0.1147270944,1.717422845,-0.1835376282,,,3.28e-05,20882.994,,0.0,8.0
1585818000000,0.0009783263,0.054515126,0.0089421555,0.4961867742,0.0172603564,0.0893000526,0.0122312859,0.1180324234,0.7604570526,-0.3722236587,,,3.28e-05,20882.994,,1.0,9.0
1585821600000,-0.001772799,0.0537634921,0.0089547968,0.5021185706,0.0172910098,0.0894586448,0.012086811,0.1200635704,-1.2576124306,-0.8199216094,,,3.28e-05,20882.994,,2.0,10.0
1585825200000,0.001697619,0.056943184,0.0089241009,0.5339463403,0.0233083408,0.0893070355,0.0125455265,0.1215138226,1.5383593577,0.0854746698,,,3.28e-05,20882.994,,3.0,11.0
1585828800000,0.006108289,0.0625278908,0.0089499827,0.5189449115,0.0196469674,0.0887648342,0.0128174852,0.1234566506,0.7919512572,-0.0954987036,,,3.28e-05,20882.994,,4.0,12.0
1585832400000,-0.0050578423,0.0703408267,0.0085379879,0.5004818731,0.0176557364,0.0892160751,0.0126149333,0.1212656994,1.4948939302,0.5482754466,,,3.28e-05,20882.994,,5.0,13.0
1585836000000,-0.0019934623,0.0704274143,0.0085359706,0.4584119554,0.0176910028,0.0893942792,0.0125446113,0.1171508065,0.1783000962,-0.0627723142,,,3.28e-05,20882.994,,6.0,14.0
1585839600000,0.0198103708,0.0838200453,0.0091776443,0.5581796474,0.0312851471,0.0988693894,0.0130440264,0.117182608,1.7458409073,1.6109078096,,,3.28e-05,20882.994,,7.0,15.0
1585843200000,0.004413219,0.0922795658,0.0090650054,0.4781703372,0.032856723,0.1001440118,0.0133891746,0.1157342759,0.3261308533,0.5556328379,,,9.417e-05,20882.994,,0.0,16.0
1585846800000,0.0164026451,0.1187633242,0.0090820168,0.5157249477,0.0451087381,0.1092614601,0.0134787656,0.1143716908,1.5854896613,2.0500701683,,,9.417e-05,20882.994,,1.0,17.0
1585850400000,0.0241938982,0.1435757446,0.0098861893,0.5674402496,0.0815447857,0.1459240312,0.0145407724,0.1195508907,1.889009903,3.5715914232,,,9.417e-05,20882.994,,2.0,18.0
1585854000000,-0.0416899587,0.0972658182,0.0137895361,0.4422110704,0.0850922793,0.1522722552,0.0171692718,0.1078138296,0.9320314304,2.3069399785,,,9.417e-05,20882.994,,3.0,19.0
1585857600000,0.0021536009,0.0971550491,0.0137900977,0.455087097,0.0824017933,0.1477088156,0.0177489313,0.0937437733,-0.6665061193,0.3123091312,,,9.417e-05,20882.994,,4.0,20.0
1585861200000,-0.0093793408,0.063506391,0.0134921613,0.424051305,0.0811640136,0.1284082951,0.0177121541,0.0843124973,-0.7739583906,0.0782878737,,,9.417e-05,20882.994,,5.0,21.0
1585864800000,0.0133675795,0.0748394712,0.0136681976,0.4742702088,0.0800933593,0.1237976845,0.0179174116,0.0752723626,-1.0825524458,-0.449800542,,,9.417e-05,20882.994,,6.0,22.0
1585868400000,0.0019298546,0.0493746885,0.0127485101,0.5007175278,0.0799390885,0.1020063688,0.0169212929,0.0736784607,-0.9105031222,-0.5480658798,,,9.417e-05,20882.994,,7.0,23.0
1585872000000,-0.007105372,0.0227565589,0.012366952,0.4870087127,0.0646149816,0.0952298247,0.0166383577,0.0737779696,-0.6317567803,-0.3990701553,,,9.047e-05,18738.476,,0.0,0.0
1585875600000,-0.0076419359,0.0187994125,0.0124566922,0.4654844748,0.0328306762,0.0959631691,0.0162777711,0.0727018727,-0.9107371767,-0.5243308843,,,9.047e-05,18738.476,,1.0,1.0
1585879200000,0.0086322356,0.035681868,0.0124117072,0.5255896503,0.0319056169,0.0932361033,0.0161274926,0.0704252078,-1.0898835091,-0.6758512392,,,9.047e-05,18738.476,,2.0,2.0
