t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1698796800000,0.002332812,0.0047872746,0.0031001471,0.5357432034,0.0111201662,0.0200777892,0.0054579606,0.0159110325,-0.6603301121,-0.7760198373,,,0.0001,2415.307,,0.0,0.0
1698800400000,-0.003813247,-0.0001219869,0.0031993547,0.4358406553,0.0084552192,0.0201546438,0.0054991985,0.0158926553,0.3954794628,0.4586633874,,,0.0001,2415.307,,1.0,1.0
1698804000000,-0.0004523631,0.0012441504,0.0031777358,0.4338231438,0.0084219358,0.0201637652,0.0054297867,0.016015995,-1.2824887977,-1.4937092882,,,0.0001,2415.307,,2.0,2.0
1698807600000,-0.0012188309,0.0028533993,0.0031311197,0.4469121476,0.008545711,0.0201883714,0.0052769185,0.0160357931,-1.331502326,-1.747619907,,,0.0001,2415.307,,3.0,3.0
1698811200000,-0.0009181414,0.0061114906,0.0030061303,0.4441152858,0.0077879855,0.0202069242,0.005151726,0.0153463589,-0.6719337168,-1.3324003454,,,0.0001,2415.307,,4.0,4.0
1698814800000,0.000615078,0.0059431419,0.0030050546,0.5242793159,0.0081769314,0.020194503,0.0051171032,0.0147699175,-0.6464755915,-1.3781297442,,,0.0001,2415.307,,5.0,5.0
1698818400000,-0.002647536,0.0019304473,0.0030519847,0.4056301667,0.0097544601,0.0202481106,0.0050573452,0.0145023865,-0.145836315,-1.0313053093,,,0.0001,2415.307,,6.0,6.0
1698822000000,0.0017095416,0.0046848351,0.0030595803,0.4849233206,0.0070075633,0.0202135547,0.0049125021,0.0138794176,0.6235917404,-1.0190312305,,,0.0001,2415.307,,7.0,7.0
1698825600000,0.0012837463,0.0089637756,0.002990791,0.4524742672,0.0052993677,0.0201876389,0.0047729238,0.0120486586,0.9708825035,-0.8669436918,,,0.0001,2415.307,,0.0,8.0
1698829200000,-0.0003224844,0.0011409579,0.0025799063,0.403788222,0.0053010772,0.0171453858,0.0043791886,0.0120161596,0.5159660517,-0.8735043949,,,0.0001,2415.307,,1.0,9.0
1698832800000,0.0012099243,0.0019523662,0.0025899562,0.3805862391,0.0052946711,0.0171246662,0.0043201484,0.0120439984,-1.5470511865,-1.2043333269,,,0.0001,2415.307,,2.0,10.0
1698836400000,-0.0031074328,-0.0017079298,0.0026678291,0.3307706861,0.0053111752,0.0171780458,0.0043729485,0.0121461766,1.2224877305,-0.5882444443,,,0.0001,2415.307,,3.0,11.0
1698840000000,0.001436522,-0.0018615025,0.0026638471,0.4633955976,0.0053035565,0.0171534046,0.004311627,0.0120877238,1.0131172068,-0.5099634835,,,0.0001,2415.307,,4.0,12.0
1698843600000,0.0106477822,0.0143874886,0.0032124907,0.5567528166,0.0156639967,0.0218438251,0.0046255537,0.0142316847,2.0344367138,3.7377411659,,,0.0001,2415.307,,5.0,13.0
1698847200000,-0.0056069727,0.0113581982,0.0033949949,0.4822519251,0.0247141684,0.0309288423,0.0053746451,0.0131774944,1.8908337201,4.2796703374,,,0.0001,2415.307,,6.0,14.0
