t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1656633600000,0.0554482935,-0.0089847394,0.0144039989,0.5295435253,0.067896186,0.0778790315,0.0135667219,0.0968182025,1.9838385862,2.6664571428,,,-0.00015879,-2458.6290000001,,8.0,0.0
1656637200000,0.0176946286,0.0128336674,0.0148314183,0.5212966545,0.1129510206,0.1129510206,0.0155716722,0.1006376928,1.7676322029,3.4983712338,,,-8.786e-05,-2458.6290000001,,1.0,1.0
1656640800000,0.0059807599,0.0198826682,0.0148665251,0.52350497,0.1122795039,0.1122795039,0.0156448931,0.1065217889,-0.2542293728,0.294156621,,,-8.786e-05,-2458.6290000001,,2.0,2.0
1656644400000,-0.0056704247,0.0108002577,0.0149171767,0.4903963023,0.1080835183,0.1129198072,0.0160668184,0.1094482433,-0.5543711621,-0.2556134211,,,-8.786e-05,-2458.6290000001,,3.0,3.0
1656648000000,-0.0280744152,-0.0172460939,0.0160226184,0.4662044506,0.1103616891,0.1161815358,0.0177392432,0.1064697342,-0.1353483374,0.6106797944,,,-8.786e-05,-2458.6290000001,,4.0,4.0
1656651600000,-0.0162958751,-0.0320686725,0.0163402228,0.4893184367,0.1049418241,0.1181061794,0.0187340207,0.1024722975,-0.1823664182,0.7433437114,,,-8.786e-05,-2458.6290000001,,5.0,5.0
1656655200000,0.0028924383,-0.0268166535,0.0163589978,0.5149898326,0.0823226068,0.1177655498,0.0190183473,0.0987200389,-0.6493180436,-0.2578742759,,,-8.786e-05,-2458.6290000001,,6.0,6.0
1656658800000,-0.0032724783,-0.0009613632,0.0152445223,0.5232296324,0.0637254422,0.1181522003,0.0179146091,0.0986961114,-1.172265423,-0.5907372159,,,-8.786e-05,-2458.6290000001,,7.0,7.0
1656662400000,0.0091456045,0.0073683236,0.015356682,0.51083198,0.0631479163,0.1170814199,0.0181238873,0.0991320976,-0.2431299667,-0.1366064923,,,-8.786e-05,-2458.6290000001,,8.0,8.0
1656666000000,-0.002785622,0.0151039354,0.015201838,0.5015707308,0.0508917738,0.1174084756,0.0182558011,0.0992656087,-0.3762598446,-0.1587889168,,,3.106e-05,-2458.6290000001,,1.0,9.0
