t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1727740800000,-0.0024320287,-0.0346699743,0.0043308162,0.4225301832,0.015849332,0.0436223769,0.0068527859,0.0338589618,0.8908834878,0.5231529102,86806.037,-0.0264764404,0.0001,-12292.655,0.0,0.0,0.0
1727744400000,0.0032276611,-0.0295103328,0.0044319003,0.513608473,0.0157983403,0.042304672,0.0068795985,0.0281611511,0.6083930439,0.1246289745,87396.78,-0.0135046482,0.0001,-12292.655,0.083,1.0,1.0
1727748000000,-0.0011646101,-0.0202561402,0.00395861,0.4334235838,0.0158167607,0.0307872924,0.0065106186,0.0263368867,0.1910569911,-0.4506104547,88137.972,-0.0031360316,0.0001,-12292.655,0.0,2.0,2.0
1727751600000,-0.0002244004,-0.0144813262,0.0037989821,0.3964273111,0.0153731431,0.0298486407,0.0063829366,0.0259400479,-0.3493481768,-0.9103782609,88370.851,-0.0015753536,0.0001,-12292.655,0.083,3.0,3.0
1727755200000,0.0044089442,-0.0128606146,0.0038765278,0.6090791431,0.0143559329,0.0297176174,0.006305002,0.024062932,-0.3538511053,-0.644240492,88578.905,0.0204233261,0.0001,-12292.655,0.083,4.0,4.0
1727758800000,0.0022826751,-0.0088880337,0.0039089362,0.5810848369,0.0160251603,0.0296499363,0.0062802501,0.0224753351,-0.7512973929,-0.7539651467,88598.853,0.0137542024,0.0001,-12292.655,0.083,5.0,5.0
1727762400000,-0.0018624076,-0.0120261619,0.0039035221,0.6432543381,0.0140123944,0.0297052596,0.0063491579,0.0200499391,-0.4098597975,-0.6984310157,88595.6,0.0051921776,0.0001,-12292.655,0.0,6.0,6.0
1727766000000,0.0044547458,-0.0050037293,0.0040017099,0.6601724486,0.0143209902,0.0286263637,0.0062904362,0.0187169312,-0.3854093146,-0.7189757262,88232.468,-0.0015659349,0.0001,-12292.655,0.0,7.0,7.0
1727769600000,0.0001864635,-0.0079937102,0.0039370596,0.6372464919,0.0148429439,0.026851203,0.006205515,0.0156536445,1.9745696298,-0.0467488909,87931.25,-0.0073116167,0.0001,-12292.655,0.083,0.0,8.0
1727773200000,-0.0014039926,-0.0055290198,0.0038718509,0.6408151672,0.0109548752,0.02275455,0.0060064081,0.0138187068,0.6143277703,-0.3330668228,88022.506,-0.0065051294,0.0001,-12292.655,0.0,1.0,9.0
1727776800000,-0.0014312965,0.0050904133,0.0029735561,0.6138809903,0.0074935261,0.0204304554,0.0056776818,0.013871323,1.2042986215,0.1285491013,87894.472,-0.0079138016,0.0001,-12292.655,0.0,2.0,10.0
1727780400000,0.0007149516,0.0041499865,0.0029599962,0.4270137862,0.0071372108,0.020415859,0.0055550931,0.01411786,-1.4105951633,-1.1634287443,87593.183,-0.0072454621,0.0001,-12292.655,0.0,3.0,11.0
1727784000000,-0.0027557451,-0.001338777,0.0029662563,0.5488741544,0.0066328804,0.0204722754,0.0055156458,0.014043879,-1.2973169885,-1.3278330845,87604.221,-0.0037191442,0.0001,-12292.655,0.083,4.0,12.0
1727787600000,-0.0010322591,-0.0059297714,0.002868464,0.4837762055,0.008968369,0.0204934299,0.0054422699,0.013270219,-0.9260820778,-1.1553564089,87481.888,-0.0061418156,0.0001,-12292.655,0.0,5.0,13.0
1727791200000,-0.0125872865,-0.0157768651,0.0037962611,0.4293512344,0.0253870087,0.0255879097,0.0060450031,0.0166923749,1.9858960276,3.7324972139,88005.692,0.0012653811,0.0001,-12292.655,0.0,6.0,14.0
1727794800000,-0.0042757067,-0.0179276293,0.003857812,0.4903224057,0.0266780089,0.0268797725,0.0062022216,0.0213718051,1.314786381,2.9675709023,87943.13,0.0039951397,0.0001,-12292.655,0.0,7.0,15.0
1727798400000,0.0004928272,-0.0146717954,0.0038397853,0.4484039313,0.0347375052,0.0369896621,0.0065426251,0.0247480286,1.3298438011,3.165305835,90226.159,0.0299293569,0.0001,-12292.655,0.0,8.0,16.0
1727802000000,-0.0028876468,-0.0163652453,0.0038666126,0.4542964854,0.0348381053,0.0370967845,0.0069640941,0.0285904132,0.358653491,1.639294483,89866.364,0.0272567963,0.0001,-12292.655,0.0,1.0,17.0
1727805600000,-0.0047401038,-0.0242402977,0.0038554366,0.4333382019,0.0437310213,0.0488903091,0.0076791119,0.0334291377,1.1010742579,2.6609396357,89120.216,0.0126642263,0.0001,-12292.655,0.083,2.0,18.0
1727809200000,-0.0026386927,-0.0211992474,0.0037405814,0.4627743553,0.0418790801,0.0490196569,0.0076309876,0.0383995496,-1.5813926903,0.0569171824,89551.138,0.0182846346,0.0001,-12292.655,0.083,3.0,19.0
1727812800000,-0.0037426605,-0.0272809035,0.0037124428,0.4934103999,0.0322559804,0.04920381,0.007745922,0.0438278057,-1.1706745953,-0.0248905615,89098.429,-0.0124989251,0.0001,-12292.655,0.0,4.0,20.0
1727816400000,-0.0153340591,-0.0470297833,0.0044833775,0.4330203927,0.0437066738,0.0652309476,0.00868382,0.0540616662,0.6472552537,1.8727974343,84410.632,-0.0607093884,0.0001,-12292.655,0.083,5.0,21.0
1727820000000,0.0054759968,-0.04026124,0.0047360696,0.497655406,0.0427648682,0.0648756886,0.0088861706,0.05981765,-1.0014491631,-0.3847621653,84218.075,-0.0550059371,0.0001,-12292.655,0.0,6.0,22.0
1727823600000,-0.0061172343,-0.0427521322,0.0048084116,0.4565141749,0.0375855775,0.065274991,0.0090923212,0.0667606416,-0.8047730806,-0.5101661867,83959.22,-0.0624438519,0.0001,-12292.655,0.0,7.0,23.0
1727827200000,0.0006218735,-0.0398216638,0.0048315252,0.4587773514,0.0374306522,0.0652344234,0.0088266623,0.0723475283,-0.6677742219,-0.5883410619,84304.326,-0.0538068185,6.632e-05,-25734.489,0.0,0.0,0.0
1727830800000,0.0039548872,-0.0391256436,0.004865804,0.5494882252,0.0315709758,0.064977445,0.0087068329,0.0756206103,-0.4014141442,-0.3967184734,85470.414,0.0125550772,6.632e-05,-25734.489,0.0,1.0,1.0
1727834400000,0.0078076855,-0.0304943427,0.0052353756,0.6003186632,0.0259535922,0.0644740519,0.008819739,0.0767898744,-0.4999064123,-0.5714552548,85825.243,0.0190834094,6.632e-05,-25734.489,0.083,2.0,2.0
1727838000000,0.0042260694,-0.0261786187,0.005351779,0.6102495411,0.0193032408,0.0642027267,0.0088575696,0.0770311184,0.5792737186,-0.4339786514,85565.841,0.0191357304,6.632e-05,-25734.489,0.0,3.0,3.0
1727841600000,-0.0005247407,-0.0309620567,0.0052245793,0.6098217963,0.0202911816,0.0642364342,0.0087990288,0.0764077452,-0.7668152782,-0.5839490347,85423.204,0.0132718931,6.632e-05,-25734.489,0.0,4.0,4.0
1727845200000,-0.0041243411,-0.0371565584,0.0051973623,0.4048746227,0.0200176305,0.0645024643,0.0088915165,0.0754451206,-1.4937961764,-0.7368996734,85595.068,0.0014584462,6.632e-05,-25734.489,0.0,5.0,5.0
1727848800000,-9.88686e-05,-0.0354553781,0.0052054121,0.4568656596,0.0186891433,0.0645088422,0.0089152993,0.0743258394,-1.2137943576,-0.7571560816,85448.549,-0.0043890817,6.632e-05,-25734.489,0.083,6.0,6.0
1727852400000,0.0034200844,-0.0364489291,0.0051581073,0.5113298215,0.0143111808,0.0642889685,0.0089399229,0.0711533363,-0.5354140878,-0.6910635126,85193.025,-0.0043570658,6.632e-05,-25734.489,0.0,7.0,7.0
1727856000000,0.0004439221,-0.0362009009,0.0051621051,0.5388659848,0.0095581541,0.0640558326,0.0090308558,0.0671123162,-0.6239036609,-0.7113376023,85148.568,-0.0032150047,8.409e-05,-25734.489,0.0,0.0,8.0
1727859600000,0.0012735025,-0.0336167052,0.0051936108,0.4576542205,0.0095459972,0.0639743611,0.0090556727,0.0625691637,-1.3430858217,-0.7957255198,85058.841,-0.0062646951,8.409e-05,-25734.489,0.0,1.0,9.0
1727863200000,-0.008652233,-0.0406048998,0.0053999123,0.3873357052,0.0132199033,0.0624367872,0.0094299937,0.0583197807,1.8607346672,-0.4502138429,84513.588,-0.0109418008,8.409e-05,-25734.489,0.0,2.0,10.0
1727866800000,-0.0013541424,-0.0425885603,0.0053759497,0.390039759,0.0132378292,0.0625214502,0.0095584413,0.0526017282,1.011880657,-0.5125936648,84559.982,-0.0074306905,8.409e-05,-25734.489,0.083,3.0,11.0
1727870400000,-0.0003966446,-0.0403236891,0.0053792404,0.4184474404,0.0171852696,0.059609728,0.0097154697,0.0464148437,1.2554382484,-0.4118484127,84684.136,-0.0054543724,8.409e-05,-25734.489,0.0,4.0,12.0
1727874000000,-0.005970995,-0.0450681745,0.005446645,0.4493243904,0.0204543511,0.0579616703,0.0099610998,0.0396580641,1.0470518055,-0.392978188,83781.648,-0.0150154056,8.409e-05,-25734.489,0.0,5.0,13.0
1727877600000,0.0090659684,-0.0241272023,0.0053934217,0.5256229952,0.0226590057,0.047595762,0.009715254,0.0358090636,1.8771910343,0.4380653146,84347.156,-0.0019692928,8.409e-05,-25734.489,0.0,6.0,14.0
1727881200000,-0.0044371638,-0.0242854404,0.0053977801,0.5113870567,0.0211787331,0.0435143517,0.0097509479,0.0332551001,1.0992022878,0.3422698319,85461.813,0.0106649857,8.409e-05,-25734.489,0.0,7.0,15.0
1727884800000,0.0130363284,-0.0120525924,0.0061099003,0.5850640461,0.0226701001,0.0422589388,0.0095306845,0.0298307214,-0.1704735429,-0.0793196841,85130.616,0.005272298,8.191e-05,-25734.489,0.0,0.0,16.0
1727888400000,-0.0011961404,-0.0103766334,0.0060907327,0.5171262317,0.0301957929,0.0369579288,0.0093652845,0.0269727513,-0.2730633486,0.0246660293,84652.074,0.0103892203,8.191e-05,-25734.489,0.0,1.0,17.0
1727892000000,-0.0027830097,-0.0084306231,0.006043249,0.4614218786,0.0302800626,0.036931259,0.0088762264,0.0252303111,-1.0648272803,-0.2726397697,83475.572,-0.0103332945,8.191e-05,-25734.489,0.0,2.0,18.0
1727895600000,-0.0140507539,-0.0197764115,0.0066508051,0.4025242099,0.0307115835,0.0366397864,0.0092416862,0.0252992828,-0.6204446674,0.0614573652,83342.246,-0.0248013344,8.191e-05,-25734.489,0.0,3.0,19.0
1727899200000,-0.009415081,-0.0253575402,0.0068571199,0.4263979246,0.0397127364,0.0397127364,0.0096378674,0.029051202,1.8819573652,2.3452893693,83474.321,-0.0194559264,8.191e-05,-25734.489,0.0,4.0,20.0
1727902800000,0.0121945486,0.0018908379,0.0066630297,0.5605564179,0.0392342919,0.0392342919,0.0090255756,0.0287354003,1.0258617726,2.3358313178,82308.213,-0.0276881698,8.191e-05,-25734.489,0.0,5.0,21.0
1727906400000,-0.0015102423,-0.0050704908,0.0065699077,0.5326503388,0.0392936348,0.0392936348,0.0088597984,0.0293365905,-1.0678108845,-0.9011859353,82235.322,-0.01485764,8.191e-05,-25734.489,0.0,6.0,22.0
1727910000000,0.0003246647,0.0013781927,0.0064477257,0.4893830085,0.0301715284,0.0392808817,0.0087896487,0.0290835365,-0.8275905551,-0.7878996588,82439.585,-0.0108307736,8.191e-05,-25734.489,0.0,7.0,23.0
1727913600000,-0.0033271029,-0.0025737685,0.0064835124,0.5915602255,0.0278816171,0.0394120095,0.008726828,0.0296338722,-0.8238502002,-0.9494827224,82501.51,-0.0116540151,4.381e-05,3624.127,0.0,0.0,0.0
1727917200000,0.0055850622,-0.0009541944,0.0065360271,0.5671930422,0.0181183154,0.0391931135,0.0087427977,0.0297296138,-0.0763687464,0.3611184904,82657.746,0.0042466358,4.381e-05,3624.127,0.0,1.0,1.0
1727920800000,0.000590116,-0.0081090144,0.0063228049,0.5654418727,0.0173007341,0.0391699987,0.0085517174,0.0297153698,-0.3938302612,-0.5769455626,82736.435,0.0060936467,4.381e-05,3624.127,0.0,2.0,2.0
1727924400000,0.002641092,-0.0096745232,0.0062813988,0.595481875,0.0136634416,0.0390668196,0.0084596412,0.0288133463,-0.6727948098,-0.9141190236,82368.837,-0.00085818,4.381e-05,3624.127,0.0,3.0,3.0
1727928000000,0.0045569866,-0.0046393169,0.0063616586,0.5734918154,0.0166927009,0.0388896002,0.0085240697,0.0281036084,-0.3059688143,-0.6980201842,82181.269,-0.003881638,4.381e-05,3624.127,0.083,4.0,4.0
1727931600000,-0.0022450544,-0.002761002,0.00632237,0.3813239188,0.0153473241,0.038977106,0.0084687911,0.0278861125,-0.4942772314,-0.8026269949,82646.643,-0.000134325,4.381e-05,3624.127,0.0,5.0,5.0
1727935200000,-0.0024457816,-0.0051016666,0.0063405393,0.4922748815,0.0153849524,0.0390726692,0.0084900315,0.0276232058,-0.2840663891,-0.6586995021,82974.075,0.0028722533,4.381e-05,3624.127,0.0,6.0,6.0
1727938800000,0.0025827118,-0.0059319277,0.0063220651,0.5956721232,0.0090861498,0.0389720157,0.008389296,0.0268145893,-0.2755791968,-0.7426585557,83278.593,0.0110449052,4.381e-05,3624.127,0.0,7.0,7.0
1727942400000,-0.0066522636,-0.0129828893,0.0064538053,0.3189772751,0.0108832026,0.039233004,0.0086225435,0.0259225454,1.9987138205,0.1728740293,83225.889,0.012711169,3.746e-05,3624.127,0.083,0.0,8.0
1727946000000,-0.0093884384,-0.0234930228,0.0066873958,0.4517029372,0.0221889187,0.0396048315,0.0090695729,0.0263554506,1.5738275491,0.4898597582,83787.199,0.0138003911,3.746e-05,3624.127,0.083,1.0,9.0
1727949600000,0.0060721742,-0.0089890446,0.0066269905,0.4956689422,0.0222434012,0.0393657955,0.0089812161,0.0266820783,-0.0902896094,-0.4390248173,83514.377,0.0065116966,3.746e-05,3624.127,0.0,2.0,10.0
1727953200000,0.0050312514,-0.0026524687,0.006712763,0.5630922176,0.02126455,0.0391687278,0.0089253585,0.0266346458,-0.6585521893,-0.696673648,83385.375,0.0012822263,3.746e-05,3624.127,0.0,3.0,11.0
1727956800000,-0.0042807998,-0.0065278585,0.0067671028,0.4469810177,0.0213559706,0.0393371222,0.0089536849,0.0268833769,-0.4418980884,-0.5180571896,83096.186,-0.0015584454,3.746e-05,3624.127,0.0,4.0,12.0
1727960400000,-0.0048513332,-0.0054088239,0.0067297101,0.4772561798,0.0214600806,0.03952889,0.0089107069,0.0277914558,0.1146319595,-0.1229369604,83478.384,-0.0036857062,3.746e-05,3624.127,0.0,5.0,13.0
1727964000000,-0.0014536146,-0.0157775061,0.0064358364,0.4846794096,0.0205749888,0.0424331403,0.0087995315,0.0287247411,1.8061710514,1.6562335565,84710.591,0.01432345,3.746e-05,3624.127,0.0,6.0,14.0
1727967600000,-0.0034785172,-0.0148297793,0.0064142001,0.5184246792,0.020646809,0.04258126,0.0089515388,0.0307107143,1.2729263786,1.5725842045,83765.126,0.0045541679,3.746e-05,3624.127,0.0,7.0,15.0
1727971200000,0.007802465,-0.0199196723,0.0060063306,0.5169642105,0.0204869602,0.0422515934,0.0087303868,0.02812518,-0.1058950597,0.2275748052,84382.677,0.01548195,4.99e-05,3624.127,0.0,0.0,16.0
1727974800000,-0.0078081842,-0.026407767,0.0061736128,0.4873278469,0.0206481851,0.0333712272,0.008859402,0.0268358184,-0.5650081773,-0.0695657037,84555.641,0.0129046221,4.99e-05,3624.127,0.0,1.0,17.0
1727978400000,0.0077117405,-0.0161616447,0.0064158634,0.525231976,0.0176786186,0.0307245349,0.0089377515,0.0245249755,-0.4590863859,0.178199278,85293.524,0.0068814654,4.99e-05,3624.127,0.0,2.0,18.0
1727982000000,0.0014894775,-0.0006546845,0.0057557845,0.4572971685,0.0176523258,0.0271577284,0.0085110673,0.0245400208,-1.2819473995,-0.7030297267,85368.022,0.0191356007,4.99e-05,3624.127,0.083,3.0,19.0
1727985600000,0.0051659761,0.0140553225,0.0054831214,0.5289001646,0.0186935579,0.0270181532,0.0081858452,0.0232396776,-0.7946221622,-0.4602832691,85215.353,0.0098678547,4.99e-05,3624.127,0.0,4.0,20.0
1727989200000,-0.0042927125,-0.002462248,0.0049761922,0.3841867451,0.019465235,0.0271346344,0.0079199931,0.0232075625,-1.1189673328,-0.754825005,84685.085,0.0015308736,4.99e-05,3624.127,0.0,5.0,21.0
1727992800000,0.0005452991,-0.0004086666,0.0049683835,0.4264161742,0.0194546265,0.027119846,0.0079551458,0.0232074318,-1.0920360467,-0.995422241,84376.108,-0.0107559866,4.99e-05,3624.127,0.0,6.0,22.0
1727996400000,0.0014495011,0.0007153452,0.0049769286,0.5137551813,0.0194264678,0.0270805926,0.0078413452,0.0232265455,-0.8115319549,-0.991629221,84373.445,-0.0116504632,4.99e-05,3624.127,0.0,7.0,23.0
1728000000000,-0.0023410685,0.0017053789,0.0049519172,0.4317230762,0.0093518462,0.0271441389,0.0078844014,0.0231246889,-1.0692951837,-1.0664223913,84456.344,-0.0089069513,7.097e-05,-1251.548,0.0,0.0,0.0
1728003600000,-0.0040936445,-0.0079359861,0.0048778907,0.4193205714,0.0105794641,0.0272557141,0.0077674397,0.0233925598,0.5316609559,-0.5717677374,84440.777,-0.0028849,7.097e-05,-1251.548,0.0,1.0,1.0
1728007200000,0.0118007054,0.0031790771,0.0054697438,0.6160862266,0.0130120226,0.0269378287,0.008020299,0.0238752399,1.827105739,0.0193640423,85398.104,0.0121123861,7.097e-05,-1251.548,0.0,2.0,2.0
1728010800000,-0.0029706949,-0.0024357209,0.0054784117,0.4759462598,0.0133171921,0.0270180912,0.0080755844,0.0235188077,-0.5420249338,-0.9380230897,85655.282,0.0151924222,7.097e-05,-1251.548,0.0,3.0,3.0
1728014400000,-0.0013786914,-0.0083300808,0.0053929497,0.435477948,0.0133355777,0.0270553923,0.0079523108,0.0217628878,-0.9632075565,-1.140832938,85384.785,0.0109931469,7.097e-05,-1251.548,0.083,4.0,4.0
1728018000000,0.0008112943,-0.0052923719,0.0053819491,0.4978965531,0.0133247674,0.0261656118,0.0079885273,0.0206505444,-0.3374856959,-0.8561013017,86045.503,0.0190041596,7.097e-05,-1251.548,0.0,5.0,5.0
1728021600000,0.0036540121,0.0007900156,0.0054155622,0.5258884176,0.0132762558,0.0260703505,0.0079562447,0.0208384609,-0.5387499865,-0.9052167957,86680.181,0.0150129445,7.097e-05,-1251.548,0.0,6.0,6.0
1728025200000,-0.0017043875,-0.003489418,0.0053989631,0.4953473886,0.0140011476,0.0261148603,0.0079230216,0.0199315484,0.2186475178,-0.6052987636,86625.841,0.0113309883,7.097e-05,-1251.548,0.0,7.0,7.0
1728028800000,0.0052953215,0.0084962085,0.005321855,0.6856028124,0.0106598502,0.0279421922,0.0077909949,0.0218449915,1.9026705404,0.1422966138,87344.99,0.0229573103,2.119e-05,-1251.548,0.083,0.0,8.0
1728032400000,9.91152e-05,0.0181550519,0.0049015452,0.4599532863,0.012307133,0.0295877622,0.007428172,0.0227071355,0.7150349465,-0.2044319616,87114.438,0.0124229037,2.119e-05,-1251.548,0.083,1.0,9.0
1728036000000,-0.0017949631,0.0101934306,0.0047927976,0.3987492692,0.0115685783,0.0296409667,0.0072002557,0.0236376399,-0.2116326575,-0.5074183118,87306.893,0.0072301649,2.119e-05,-1251.548,0.083,2.0,10.0
1728039600000,-0.0009034971,0.0042281992,0.0046974246,0.4127577068,0.0108277836,0.0296677714,0.00705598,0.0242289167,-0.9474856315,-0.789268546,87333.811,0.0081727345,2.119e-05,-1251.548,0.083,3.0,11.0
1728043200000,0.0027059261,0.0112746306,0.0046244718,0.4310222879,0.0094104395,0.0295877093,0.0068555915,0.0253924454,-0.3276702402,-0.4554773735,87344.318,-7.6936e-06,2.119e-05,-1251.548,0.083,4.0,12.0
1728046800000,0.0078503052,0.0241820938,0.0047140501,0.5414448695,0.0140153174,0.0340354232,0.0070216525,0.0281871165,1.9448803196,2.068892863,87655.219,0.0062077081,2.119e-05,-1251.548,0.0,5.0,13.0
1728050400000,-0.0056871833,0.0198398365,0.0048861847,0.4579786034,0.0128704083,0.0338983326,0.0068997623,0.0281667318,0.9776479341,1.5896333769,87149.007,-0.0018084025,2.119e-05,-1251.548,0.0,6.0,14.0
1728054000000,-0.0055217585,0.0177487839,0.004981397,0.4536632871,0.020419827,0.0340865503,0.0069585046,0.0257657748,0.8921050978,2.1271337841,85975.143,-0.0155571821,2.119e-05,-1251.548,0.0,7.0,15.0
1728057600000,0.0103371996,0.0203085346,0.0051611556,0.5583770279,0.0202109028,0.033737796,0.0068893563,0.0273137519,0.00102556,1.0194086551,85145.054,-0.0251792452,2.119e-05,-1251.548,0.083,8.0,16.0
1728061200000,0.005995503,0.0345033905,0.0049176434,0.5599013312,0.0247557998,0.0382020757,0.006817056,0.028128444,-0.1416888312,1.151685303,85877.907,-0.0202761686,2.43e-06,-1251.548,0.0,1.0,17.0
1728064800000,-0.0041880342,0.0222872411,0.0048558321,0.4859797494,0.025588013,0.0303323539,0.0066375653,0.0289074089,-1.590763643,0.0293155903,85715.476,-0.0164491949,2.43e-06,-1251.548,0.0,2.0,18.0
1728068400000,0.0058351182,0.026723127,0.0049575531,0.4586109268,0.0257603657,0.0304771834,0.0066822319,0.0314211475,-1.3980688233,-0.415141788,85757.551,-0.002530871,2.43e-06,-1251.548,0.083,3.0,19.0
