t_k,klines__ret__1h,klines__ret__24h,klines__rvol__24h,klines__takerbuyfrac__1h,klines__range__6h,klines__range__24h,klines__atr__24h,klines__bbw__24h,klines__volz__6h,klines__volz__24h,futures__oi__asof,futures__oichg__4h,funding__rate__asof,nettaker__net__1d,futures__stale_h,funding__stale_h,nettaker__stale_h
1688169600000,-0.00015356,0.0008109091,0.0070091069,0.5144867933,0.0084152665,0.058479916,0.0095314278,0.0344532315,-0.7356117778,-0.7497765533,,,0.0001,-10880.6170000001,,0.0,0.0
1688173200000,-7.12129e-05,0.0009358984,0.0070089568,0.4686250626,0.007062724,0.0584840808,0.0095367013,0.0343896265,0.2616164354,-0.6331588088,,,0.0001,-10880.6170000001,,1.0,1.0
1688176800000,-0.0007236667,0.0020816514,0.0069991582,0.4636036587,0.006699339,0.0585264344,0.0095567723,0.0341911121,0.2590565447,-0.6522342842,,,0.0001,-10880.6170000001,,2.0,2.0
1688180400000,-0.0008844651,-0.0078589594,0.0067316968,0.504751728,0.0067052696,0.0585782449,0.0092445642,0.0342728273,-0.5320120885,-0.702498734,,,0.0001,-10880.6170000001,,3.0,3.0
1688184000000,-0.0007508008,-0.0112876707,0.0067011734,0.3506694965,0.0055460867,0.0586222585,0.0089914055,0.0340692883,-0.9651002497,-0.7093291003,,,0.0001,-10880.6170000001,,4.0,4.0
1688187600000,-0.0002914664,-0.0158313414,0.006623964,0.4084203648,0.007366774,0.0538797564,0.0083158106,0.032909618,1.0884500457,-0.5089251475,,,0.0001,-10880.6170000001,,5.0,5.0
1688191200000,0.0013231696,-0.0099968669,0.0065809465,0.5423342417,0.0070382683,0.0538085586,0.0078850793,0.0323995531,-1.3699371053,-0.6525780943,,,0.0001,-10880.6170000001,,6.0,6.0
1688194800000,0.0006868367,-0.0070348291,0.0065716632,0.393346604,0.0068987917,0.0537716263,0.0077681192,0.0321063912,-0.3756974323,-0.5801739266,,,0.0001,-10880.6170000001,,7.0,7.0
1688198400000,0.0003159251,-0.0099206601,0.0065308803,0.5049424521,0.0068966129,0.0537546438,0.0075759354,0.0312125117,-0.6392177967,-0.5948997765,,,0.0001,-10880.6170000001,,0.0,8.0
1688202000000,-0.0005968507,-0.0133629351,0.0064933111,0.4518960386,0.0049970928,0.0537867465,0.0073917795,0.0294365621,-0.5050871752,-0.5774513607,,,0.0001,-10880.6170000001,,1.0,9.0
1688205600000,-1.54393e-05,-0.0106471387,0.0064766517,0.2827736484,0.00499717,0.0537875769,0.0072869236,0.0281820344,-0.7310271775,-0.5886425185,,,0.0001,-10880.6170000001,,2.0,10.0
1688209200000,0.0009444428,-0.011084815,0.0064718897,0.4179936392,0.0033715152,0.0537368256,0.0072016922,0.0263297066,0.6447856532,-0.5379326186,,,0.0001,-10880.6170000001,,3.0,11.0
1688212800000,0.0017407297,-0.0125198924,0.0064430432,0.4982483465,0.0064842863,0.0536434468,0.0070961332,0.0229280898,1.5418441361,-0.478729663,,,0.0001,-10880.6170000001,,4.0,12.0
1688216400000,0.0013429209,-0.014385631,0.0064066803,0.469461877,0.0074424135,0.0521904685,0.0069314912,0.0165249826,1.6174814959,-0.4026890383,,,0.0001,-10880.6170000001,,5.0,13.0
1688220000000,4.08978e-05,0.0142568827,0.0025412496,0.4707953507,0.0071401323,0.0269122527,0.0048922235,0.0153147232,0.8061964296,-0.4334414648,,,0.0001,-10880.6170000001,,6.0,14.0
1688223600000,0.0014153323,0.0171477943,0.002508897,0.5141145123,0.0068337182,0.0268742167,0.0045004082,0.0131593303,-0.034315053,-0.4560140561,,,0.0001,-10880.6170000001,,7.0,15.0
1688227200000,-0.0011741829,0.0167907643,0.0025192275,0.5427086166,0.0075806491,0.0269058091,0.0043795372,0.00861433,0.2141160562,-0.3454940862,,,0.0001,-10880.6170000001,,0.0,16.0
1688230800000,-1.89712e-05,0.0056403622,0.0012120729,0.5074502597,0.0062681539,0.0150487374,0.003632913,0.008928973,-1.553639031,-0.4194246782,,,0.0001,-10880.6170000001,,1.0,17.0
1688234400000,6.084e-05,0.0038764373,0.0011644307,0.5272330193,0.0051566927,0.0122192618,0.0031855371,0.0093546695,-1.5513656218,-0.7579187223,,,0.0001,-10880.6170000001,,2.0,18.0
1688238000000,0.0011450958,0.0081976312,0.0009428008,0.5556012749,0.0042595496,0.0111415417,0.0029035973,0.0094722999,-1.5420219176,-1.6896007277,,,0.0001,-10880.6170000001,,3.0,19.0
1688241600000,2.0909e-05,0.007808086,0.0009449095,0.4863647121,0.0042594605,0.0111413087,0.0027560743,0.0095156263,-0.1553030512,-0.7344881886,,,0.0001,-10880.6170000001,,4.0,20.0
1688245200000,-0.0008797919,0.0060873347,0.0009693096,0.4087535925,0.0039378627,0.0111511194,0.0025945598,0.0094080893,-1.0423928532,-1.7159355236,,,0.0001,-10880.6170000001,,5.0,21.0
1688248800000,6.76856e-05,0.0034478844,0.0008176996,0.4126877182,0.0029403639,0.0111503646,0.0024503305,0.0096443602,-1.0906828403,-1.7363602387,,,0.0001,-10880.6170000001,,6.0,22.0
1688252400000,-0.0002291999,0.0033126968,0.0008198655,0.4397142312,0.0027811172,0.0111529209,0.0024364481,0.0097949929,-0.2945778588,-1.2734014734,,,0.0001,-10880.6170000001,,7.0,23.0
1688256000000,0.000270132,0.0037378577,0.0008178707,0.4376866057,0.0027803661,0.0111499089,0.0023725257,0.0099391287,-0.4846740651,-1.3477400705,,,0.0001,-535.746,,0.0,0.0
1688259600000,-0.0003311984,0.0034768819,0.0008227155,0.4605114338,0.0033356478,0.011153603,0.0023559369,0.0099866043,1.668288023,0.40064863,,,0.0001,-535.746,,1.0,1.0
1688263200000,-0.0002685133,0.0039339486,0.0008069163,0.4447993781,0.0033365437,0.0111565987,0.0022809039,0.0098617346,0.4810370669,-0.5164208854,,,0.0001,-535.746,,2.0,2.0
1688266800000,-0.0008361806,0.003982466,0.0008042445,0.4355395012,0.0061171502,0.0111659354,0.0022967689,0.009438984,1.5958710384,1.4269406223,,,0.0001,-535.746,,3.0,3.0
1688270400000,-0.0010703294,0.0036614239,0.0008225173,0.4495266925,0.0061237045,0.0111778995,0.0023098004,0.0087285228,0.4272981855,0.3099623855,,,0.0001,-535.746,,4.0,4.0
1688274000000,0.0006017835,0.0045582058,0.0008217583,0.4160593428,0.0061200216,0.0089246903,0.0022623055,0.0077485575,-0.0298376372,0.1337171604,,,0.0001,-535.746,,5.0,5.0
1688277600000,-0.0015199326,0.0017059182,0.0008555103,0.3128242431,0.0061293378,0.0085140809,0.0023081934,0.0073106388,-0.816450343,-0.3018046256,,,0.0001,-535.746,,6.0,6.0
1688281200000,-4.16649e-05,0.0009766747,0.0008455901,0.3770804849,0.0049389764,0.0083188976,0.0022735674,0.0070730458,-0.7372523824,-0.4137293972,,,0.0001,-535.746,,7.0,7.0
1688284800000,0.0010830052,0.0017442616,0.0008705612,0.4904056216,0.0049336332,0.0078926989,0.0022518673,0.006743597,-1.2262117006,-1.0145190393,,,0.0001,-535.746,,0.0,8.0
1688288400000,-0.0009504143,0.0013898698,0.0008852566,0.4097088893,0.0027279876,0.0076026743,0.0022766307,0.0063433834,-0.4926698911,-0.4742882596,,,0.0001,-535.746,,1.0,9.0
1688292000000,0.0010759739,0.0024828169,0.0009090206,0.4317499789,0.0027250555,0.0075945028,0.0023175751,0.0056947357,-0.9540327591,-0.8446587547,,,0.0001,-535.746,,2.0,10.0
1688295600000,-0.0002234834,0.0013130957,0.0008931806,0.4171111751,0.0027256646,0.0065040991,0.0022768908,0.0053673111,0.0346859307,-0.5081656382,,,0.0001,-535.746,,3.0,11.0
1688299200000,0.0011389712,0.0007115941,0.000851266,0.4900643834,0.0026842592,0.0064966996,0.0021508886,0.005312393,-1.1653261137,-0.9211873915,,,0.0001,-535.746,,4.0,12.0
1688302800000,-0.0006138536,-0.0012439467,0.0008128916,0.3871128514,0.00310424,0.0065006901,0.0020691931,0.0053477807,0.4123403622,-0.4713199093,,,0.0001,-535.746,,5.0,13.0
1688306400000,-0.0002630545,-0.0015475085,0.000813756,0.4478418867,0.0029736588,0.0065024006,0.00198532,0.0054020267,1.6440722398,0.3262275688,,,0.0001,-535.746,,6.0,14.0
1688310000000,0.0023681137,-0.000597546,0.0009069754,0.4585031862,0.0047073853,0.0064870385,0.0020534879,0.0052720934,1.9452221755,2.4166975828,,,0.0001,-535.746,,7.0,15.0
1688313600000,-0.003014688,-0.0024391137,0.0010713294,0.4506669966,0.0155092086,0.0162302393,0.0025211754,0.0053897608,1.990943563,4.4144407783,,,0.0001,-535.746,,8.0,16.0
1688317200000,0.0020843983,-0.0003408348,0.0011606577,0.4402574921,0.0176083828,0.0176083828,0.0027324476,0.0053579802,0.3455427137,1.4704130512,,,0.0001,-535.746,,1.0,17.0
1688320800000,-0.0039389325,-0.0043390007,0.0014099081,0.4114408571,0.0176780153,0.0176780153,0.0028973069,0.0059578056,-0.4377974561,0.2363125596,,,0.0001,-535.746,,2.0,18.0
1688324400000,0.0026894472,-0.002803109,0.0015050564,0.488591918,0.0176305988,0.0176305988,0.003047176,0.0056412245,-0.4600519774,0.3349663576,,,0.0001,-535.746,,3.0,19.0
1688328000000,0.0011358622,-0.0016913044,0.0015265164,0.3845306539,0.0176105955,0.0176105955,0.0030495274,0.0052935336,-0.9723074705,-0.5903081924,,,0.0001,-535.746,,4.0,20.0
1688331600000,0.0010056372,0.0001925933,0.0015315053,0.4264581425,0.0175929035,0.0175929035,0.0031705438,0.0053365914,-0.6830645432,-0.333994434,,,0.0001,-535.746,,5.0,21.0
1688335200000,-0.0010144345,-0.000889662,0.0015455715,0.4773427531,0.0106844683,0.0176107684,0.0032831202,0.005189855,-0.0796566147,0.1008181639,,,0.0001,-535.746,,6.0,22.0
1688338800000,0.0030712651,0.0024086228,0.0016694922,0.5405805908,0.0138444418,0.0207495345,0.0036911171,0.0059816647,2.0015769347,3.1172309603,,,0.0001,-535.746,,7.0,23.0
1688342400000,-0.0011177344,0.0010177892,0.001687341,0.4931393047,0.0138599335,0.0207727529,0.0037866045,0.0062300006,-0.1317571589,0.1504530565,,,0.0001,-2091.324,,0.0,0.0
1688346000000,0.0006845863,0.0020349447,0.0016902642,0.5153617066,0.0119306129,0.0207585419,0.0037826404,0.0067227044,-0.3097633186,-0.1309420731,,,0.0001,-2091.324,,1.0,1.0
1688349600000,0.0007464589,0.0030522554,0.0016937005,0.4473518318,0.0119217139,0.0207430581,0.0038793351,0.0074383801,-0.4480923915,-0.2344180388,,,0.0001,-2091.324,,2.0,2.0
1688353200000,0.003070364,0.006974003,0.0017823703,0.5330380224,0.0118852219,0.0206795643,0.0038295806,0.0093438692,-0.2371949078,0.175538497,,,0.0001,-2091.324,,3.0,3.0
1688356800000,5.36498e-05,0.0081070336,0.0017596637,0.5595713972,0.0121775291,0.0209713997,0.0037936918,0.0107305224,-0.4845965943,-0.1522158732,,,0.0001,-2091.324,,4.0,4.0
1688360400000,-0.0024924691,0.0049895718,0.0018505045,0.4720113604,0.0080114107,0.0210238009,0.0038908096,0.0111251359,1.0719463787,0.1810303871,,,0.0001,-2091.324,,5.0,5.0
1688364000000,-0.0002076272,0.0063104326,0.0018162663,0.4078208138,0.0069193007,0.0210281669,0.0038452694,0.0111822024,-1.4349882137,-0.5020408254,,,0.0001,-2091.324,,6.0,6.0
1688367600000,-0.0007292912,0.0056184383,0.0018266869,0.3034093768,0.006329595,0.0210435137,0.0038850509,0.0110106101,0.5078403829,0.0176679814,,,0.0001,-2091.324,,7.0,7.0
1688371200000,0.000520044,0.0050529266,0.0018189231,0.4534558328,0.0063263051,0.0210325759,0.0039988991,0.0110392212,1.7189567757,0.8207989022,,,0.0001,-2091.324,,0.0,8.0
1688374800000,-0.0008827023,0.0051210454,0.0018170939,0.3753604673,0.0065580683,0.0210511578,0.0040484638,0.0107003996,0.6314858533,0.3355996381,,,0.0001,-2091.324,,1.0,9.0
1688378400000,-0.0009631163,0.0030737158,0.0018227218,0.3688752052,0.0064268566,0.021071452,0.004058179,0.0104680167,-0.7053559804,-0.3619228723,,,0.0001,-2091.324,,2.0,10.0
1688382000000,0.0009630648,0.0042641771,0.0018288136,0.4440504788,0.0057698917,0.0210511784,0.0041292987,0.0102004233,0.2759286984,0.1233947278,,,0.0001,-2091.324,,3.0,11.0
1688385600000,-0.0004853119,0.0026348235,0.0018217816,0.471884812,0.0057726932,0.0210613997,0.0041818747,0.0100644369,1.553608578,1.142966072,,,0.0001,-2091.324,,4.0,12.0
