date,contract,contract_group,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All
2019-12-31,BITCOIN,BITCOIN,3186.0,137.0,0.0,0.0,159.0,437.0,1.0,1037.0,1840.0,102.0,366.0,451.0,30.0,1832.0,2861.0,1354.0,325.0,-355.0,0.0,0.0,0.0,26.0,154.0,0.0,-142.0,-416.0,2.0,90.0,-63.0,5.0,-19.0,-318.0,-336.0,-37.0,4.3,0.0,0.0,5.0,13.7,0.0,32.5,57.8,3.2,11.5,14.2,0.9,57.5,89.8,42.5,10.2,47.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,16.0,0.0,9.0,0.0,0.0,28.0,25.0
2019-12-24,BITCOIN,BITCOIN,3541.0,137.0,0.0,0.0,133.0,283.0,1.0,1179.0,2256.0,100.0,276.0,514.0,25.0,1851.0,3179.0,1690.0,362.0,-299.0,3.0,0.0,0.0,95.0,-161.0,1.0,-399.0,-190.0,-25.0,-19.0,183.0,13.0,-331.0,-179.0,32.0,-120.0,3.9,0.0,0.0,3.8,8.0,0.0,33.3,63.7,2.8,7.8,14.5,0.7,52.3,89.8,47.7,10.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,4.0,7.0,4.0,0.0,30.0,23.0
2019-12-17,BITCOIN,BITCOIN,3840.0,134.0,0.0,0.0,38.0,444.0,0.0,1578.0,2446.0,125.0,295.0,331.0,12.0,2182.0,3358.0,1658.0,482.0,608.0,3.0,0.0,0.0,-18.0,159.0,-1.0,509.0,680.0,16.0,-15.0,-65.0,0.0,494.0,789.0,114.0,-181.0,3.5,0.0,0.0,1.0,11.6,0.0,41.1,63.7,3.3,7.7,8.6,0.3,56.8,87.4,43.2,12.6,45.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,18.0,5.0,8.0,0.0,0.0,24.0,27.0
2019-12-10,BITCOIN,BITCOIN,3232.0,131.0,0.0,0.0,56.0,285.0,1.0,1069.0,1766.0,109.0,310.0,396.0,12.0,1688.0,2569.0,1544.0,663.0,249.0,0.0,0.0,0.0,-37.0,29.0,-10.0,175.0,509.0,92.0,3.0,-242.0,-32.0,191.0,346.0,58.0,-97.0,4.1,0.0,0.0,1.7,8.8,0.0,33.1,54.6,3.4,9.6,12.3,0.4,52.2,79.5,47.8,20.5,43.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,14.0,0.0,8.0,0.0,0.0,24.0,23.0
2019-12-03,BITCOIN,BITCOIN,2983.0,131.0,0.0,0.0,93.0,256.0,11.0,894.0,1257.0,17.0,307.0,638.0,44.0,1497.0,2223.0,1486.0,760.0,-571.0,93.0,0.0,0.0,37.0,-42.0,10.0,-261.0,-412.0,-246.0,-27.0,12.0,6.0,-388.0,-672.0,-183.0,101.0,4.4,0.0,0.0,3.1,8.6,0.4,30.0,42.1,0.6,10.3,21.4,1.5,50.2,74.5,49.8,25.5,39.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,10.0,0.0,8.0,0.0,0.0,25.0,19.0
2019-11-26,BITCOIN,BITCOIN,3554.0,38.0,0.0,0.0,56.0,298.0,1.0,1155.0,1669.0,263.0,334.0,626.0,38.0,1885.0,2895.0,1669.0,659.0,397.0,0.0,0.0,0.0,-11.0,6.0,1.0,96.0,-245.0,179.0,-132.0,292.0,-3.0,130.0,230.0,267.0,167.0,1.1,0.0,0.0,1.6,8.4,0.0,32.5,47.0,7.4,9.4,17.6,1.1,53.0,81.5,47.0,18.5,41.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,9.0,0.0,0.0,25.0,24.0
2019-11-19,BITCOIN,BITCOIN,3157.0,38.0,0.0,0.0,67.0,292.0,0.0,1059.0,1914.0,84.0,466.0,334.0,41.0,1755.0,2665.0,1402.0,492.0,66.0,6.0,0.0,0.0,-32.0,149.0,-10.0,147.0,-129.0,-3.0,-170.0,-24.0,0.0,-62.0,-17.0,128.0,83.0,1.2,0.0,0.0,2.1,9.2,0.0,33.5,60.6,2.7,14.8,10.6,1.3,55.6,84.4,44.4,15.6,45.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,14.0,4.0,12.0,0.0,0.0,28.0,23.0
2019-11-12,BITCOIN,BITCOIN,3091.0,32.0,0.0,0.0,99.0,143.0,10.0,912.0,2043.0,87.0,636.0,358.0,41.0,1817.0,2682.0,1274.0,409.0,-429.0,0.0,0.0,0.0,-89.0,-6.0,0.0,-309.0,-302.0,-47.0,41.0,-99.0,-2.0,-406.0,-456.0,-23.0,27.0,1.0,0.0,0.0,3.2,4.6,0.3,29.5,66.1,2.8,20.6,11.6,1.3,58.8,86.8,41.2,13.2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,14.0,0.0,0.0,30.0,21.0
2019-11-05,BITCOIN,BITCOIN,3520.0,32.0,0.0,0.0,188.0,149.0,10.0,1221.0,2345.0,134.0,595.0,457.0,43.0,2223.0,3138.0,1297.0,382.0,365.0,-1.0,0.0,0.0,-72.0,63.0,10.0,265.0,329.0,31.0,26.0,12.0,-6.0,253.0,439.0,112.0,-74.0,0.9,0.0,0.0,5.3,4.2,0.3,34.7,66.6,3.8,16.9,13.0,1.2,63.2,89.1,36.8,10.9,47.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,12.0,0.0,13.0,0.0,0.0,32.0,21.0
2019-10-29,BITCOIN,BITCOIN,3155.0,33.0,0.0,0.0,260.0,86.0,0.0,956.0,2016.0,103.0,569.0,445.0,49.0,1970.0,2699.0,1185.0,456.0,62.0,-26.0,0.0,0.0,97.0,55.0,0.0,6.0,302.0,-45.0,248.0,-73.0,-19.0,261.0,220.0,-199.0,-158.0,1.0,0.0,0.0,8.2,2.7,0.0,30.3,63.9,3.3,18.0,14.1,1.6,62.4,85.5,37.6,14.5,46.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,15.0,0.0,12.0,0.0,0.0,29.0,21.0
