,Unix,Date,Symbol,funding_interval_hours,last_funding_rate
83,1748908800000,2025-06-03T00:00:00,BTCUSDT,8,5.005e-05
84,1748880000000,2025-06-02T16:00:00,BTCUSDT,8,4.467e-05
85,1748851200000,2025-06-02T08:00:00,BTCUSDT,8,5.593e-05
86,1748822400001,2025-06-02T00:00:00,BTCUSDT,8,-6.42e-06
87,1748793600000,2025-06-01T16:00:00,BTCUSDT,8,4.117e-05
88,1748764800002,2025-06-01T08:00:00,BTCUSDT,8,2.335e-05
89,1748736000001,2025-06-01T00:00:00,BTCUSDT,8,-5.82e-06
90,1748707200000,2025-05-31T16:00:00,BTCUSDT,8,4.687e-05
91,1748678400000,2025-05-31T08:00:00,BTCUSDT,8,7.552e-05
92,1748649600000,2025-05-31T00:00:00,BTCUSDT,8,8.506e-05
93,1748620800000,2025-05-30T16:00:00,BTCUSDT,8,7.392e-05
94,1748592000003,2025-05-30T08:00:00,BTCUSDT,8,3.849e-05
95,1748563200003,2025-05-30T00:00:00,BTCUSDT,8,2.622e-05
96,1748534400000,2025-05-29T16:00:00,BTCUSDT,8,8.379e-05
97,1748505600006,2025-05-29T08:00:00,BTCUSDT,8,2.812e-05
98,1748476800000,2025-05-29T00:00:00,BTCUSDT,8,3.186e-05
99,1748448000002,2025-05-28T16:00:00,BTCUSDT,8,5.368e-05
100,1748419200003,2025-05-28T08:00:00,BTCUSDT,8,2.164e-05
101,1748390400002,2025-05-28T00:00:00,BTCUSDT,8,3.26e-05
102,1748361600005,2025-05-27T16:00:00,BTCUSDT,8,2.476e-05
103,1748332800001,2025-05-27T08:00:00,BTCUSDT,8,7.266e-05
104,1748304000003,2025-05-27T00:00:00,BTCUSDT,8,7.65e-05
105,1748275200002,2025-05-26T16:00:00,BTCUSDT,8,9.782e-05
106,1748246400000,2025-05-26T08:00:00,BTCUSDT,8,0.0001
107,1748217600000,2025-05-26T00:00:00,BTCUSDT,8,7.331e-05
108,1748188800000,2025-05-25T16:00:00,BTCUSDT,8,3.651e-05
109,1748160000000,2025-05-25T08:00:00,BTCUSDT,8,5.113e-05
110,1748131200004,2025-05-25T00:00:00,BTCUSDT,8,9.794e-05
111,1748102400003,2025-05-24T16:00:00,BTCUSDT,8,7.837e-05
112,1748073600000,2025-05-24T08:00:00,BTCUSDT,8,4.59e-05
113,1748044800010,2025-05-24T00:00:00,BTCUSDT,8,3.524e-05
114,1748016000007,2025-05-23T16:00:00,BTCUSDT,8,8.614e-05
115,1747987200000,2025-05-23T08:00:00,BTCUSDT,8,7.261e-05
116,1747958400006,2025-05-23T00:00:00,BTCUSDT,8,9.321e-05
117,1747929600002,2025-05-22T16:00:00,BTCUSDT,8,0.0001
118,1747900800000,2025-05-22T08:00:00,BTCUSDT,8,0.0001
119,1747872000001,2025-05-22T00:00:00,BTCUSDT,8,0.0001
120,1747843200004,2025-05-21T16:00:00,BTCUSDT,8,5.119e-05
121,1747814400001,2025-05-21T08:00:00,BTCUSDT,8,7.147e-05
122,1747785600000,2025-05-21T00:00:00,BTCUSDT,8,8.767e-05
123,1747756800000,2025-05-20T16:00:00,BTCUSDT,8,1.266e-05
124,1747728000002,2025-05-20T08:00:00,BTCUSDT,8,7.107e-05
125,1747699200000,2025-05-20T00:00:00,BTCUSDT,8,8.378e-05
126,1747670400010,2025-05-19T16:00:00,BTCUSDT,8,2.11e-05
127,1747641600006,2025-05-19T08:00:00,BTCUSDT,8,6.04e-05
128,1747612800000,2025-05-19T00:00:00,BTCUSDT,8,5.99e-05
129,1747584000000,2025-05-18T16:00:00,BTCUSDT,8,0.0001
130,1747555200000,2025-05-18T08:00:00,BTCUSDT,8,5.903e-05
131,1747526400000,2025-05-18T00:00:00,BTCUSDT,8,6.742e-05
132,1747497600004,2025-05-17T16:00:00,BTCUSDT,8,5.97e-06
133,1747468800001,2025-05-17T08:00:00,BTCUSDT,8,3.34e-05
134,1747440000000,2025-05-17T00:00:00,BTCUSDT,8,2.821e-05
135,1747411200000,2025-05-16T16:00:00,BTCUSDT,8,4.768e-05
136,1747382400000,2025-05-16T08:00:00,BTCUSDT,8,7.535e-05
137,1747353600001,2025-05-16T00:00:00,BTCUSDT,8,4.504e-05
