threshold,split,n,class_-1,class_0,class_+1,share_-1,share_0,share_+1,extreme_ratio
0.03,train,35365,309,34853,203,0.008737452283330976,0.9855224091616005,0.005740138555068571,0.014477590838399548
0.03,val,7578,18,7545,15,0.0023752969121140144,0.9956452889944576,0.001979414093428345,0.00435471100554236
0.03,test,7579,14,7558,7,0.0018472093943792058,0.9972291859084312,0.0009236046971896029,0.0027708140915688084
0.02,train,35365,903,33731,731,0.02553371977944295,0.9537961261133889,0.020670154107168104,0.046203873886611055
0.02,val,7578,75,7439,64,0.009897070467141725,0.9816574294008973,0.00844550013196094,0.018342570599102666
0.02,test,7579,60,7474,45,0.007916611690196597,0.986145929542156,0.005937458767647447,0.013854070457844044
0.01,train,35365,3772,28135,3458,0.10665912625477167,0.7955605824968189,0.09778029124840945,0.20443941750318112
0.01,val,7578,423,6748,407,0.055819477434679333,0.8904724201636316,0.0537081024016891,0.10952757983636843
0.01,test,7579,416,6813,350,0.0548885077186964,0.8989312574218234,0.04618023485948014,0.10106874257817654
