model,split,n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,precision_-1,recall_-1,f1_-1,support_-1,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,extreme_precision,extreme_recall,extreme_f1,log_loss,extreme_pr_auc,brier
majority,train,35365,0.9855224091616005,0.3333333333333333,0.3285074697205335,0.3333333333333333,0.33090280744728323,0.9783363959813512,0.0,0.0,0.0,0.0,309,0.9855224091616005,1.0,0.9927084223418496,34853,0.0,0.0,0.0,203,0.0,0.0,0.0,0.5000382727044903,0.014477590838399548,0.028955181676799096
majority,val,7578,0.9956452889944576,0.3333333333333333,0.33188176299815253,0.3333333333333333,0.3326059644250479,0.9934726847137715,0.0,0.0,0.0,0.0,18,0.9956452889944576,1.0,0.9978178932751438,7545,0.0,0.0,0.0,15,0.0,0.0,0.0,0.15040638968488518,0.00435471100554236,0.00870942201108472
prior_random,train,35365,0.9717800084829634,0.33189279393238935,0.33184080126886323,0.33189279393238935,0.33186588797122246,0.9715444830635075,-0.0019117134557186206,0.010033444816053512,0.009708737864077669,0.009868421052631578,309,0.9854889589905362,0.9859696439330904,0.9857292428610358,34853,0.0,0.0,0.0,203,0.012121212121212121,0.01171875,0.011916583912611719,0.08540967458102719,0.014477590838399548,0.028636288777280115
prior_random,val,7578,0.982185273159145,0.3288270377733598,0.33186195826645265,0.3288270377733598,0.3303375274615538,0.98669700898552,-0.005801429825744437,0.0,0.0,0.0,18,0.9955858747993579,0.9864811133200795,0.9910125823846615,7545,0.0,0.0,0.0,15,0.0,0.0,0.0,0.03599345411150042,0.00435471100554236,0.008837991153123318
momentum,train,35365,0.9662378057401385,0.42108173750949535,0.3853966240400559,0.42108173750949535,0.39770569356875135,0.9708955940470934,0.13853119966638539,0.10822510822510822,0.16181229773462782,0.1297016861219196,309,0.9888631090487239,0.9782802054342524,0.9835431901114909,34853,0.0591016548463357,0.12315270935960591,0.07987220447284345,203,0.14463276836158193,0.25,0.18324982104509663,,,
momentum,val,7578,0.9865399841646872,0.3968190854870775,0.3633390547926943,0.3968190854870775,0.3736710965804158,0.989280638077729,0.0747475939395329,0.0,0.0,0.0,18,0.9962671643780829,0.9904572564612326,0.9933537152731623,7545,0.09375,0.2,0.1276595744680851,15,0.06493506493506493,0.15151515151515152,0.09090909090909091,,,
logistic,train,35365,0.7983882369574438,0.5926520466472093,0.3552083981271545,0.5926520466472093,0.339457121835358,0.8772886576909554,0.13972870793322287,0.04342653182629387,0.47249190938511326,0.07954235903023699,309,0.9960849912802079,0.8030011763693226,0.8891818903891978,34853,0.026113671274961597,0.5024630541871922,0.04964711608663908,203,0.05531095211887727,0.78515625,0.10334190231362468,0.7024763901598673,0.18310217308471521,0.3509248571914451
logistic,val,7578,0.886381631037213,0.48154038730579485,0.33962995192838835,0.48154038730579485,0.3269102414491997,0.9363444952635535,0.0698422093032746,0.010126582278481013,0.2222222222222222,0.01937046004842615,18,0.9979172865218685,0.8890656063618291,0.9403518609378285,7545,0.010845986984815618,0.3333333333333333,0.02100840336134454,15,0.02219626168224299,0.5757575757575758,0.04274465691788527,0.4949793866613969,0.10352062426991901,0.23727645222867505
