timestamp,datetime,sum_open_interest,sum_open_interest_value,long_short_ratio,top_long_short_account_ratio,top_long_short_position_ratio,taker_long_short_vol_ratio
1778698800000,2026-05-13 19:00:00,104467.89500000,8311016514.25150000,1.0084,0.9968,0.9259,0.6306
1778699100000,2026-05-13 19:05:00,104337.93000000,8293874224.66500000,1.0032,0.9932,0.9252,1.1799
1778699400000,2026-05-13 19:10:00,104318.66900000,8291112197.85030000,0.9984,0.9897,0.9244,1.2944
1778699700000,2026-05-13 19:15:00,104319.50600000,8291462027.59825600,0.9984,0.9897,0.9249,0.7564
1778700000000,2026-05-13 19:20:00,104351.32600000,8288239724.27380000,0.9960,0.9877,0.9241,0.6315
1778700300000,2026-05-13 19:25:00,104309.10400000,8280368481.54772700,0.9920,0.9849,0.9240,0.6731
1778700600000,2026-05-13 19:30:00,104343.17300000,8290545073.44580000,0.9928,0.9853,0.9234,1.2719
1778700900000,2026-05-13 19:35:00,104333.55000000,8291732499.04266800,0.9936,0.9861,0.9234,1.1151
1778701200000,2026-05-13 19:40:00,104278.15100000,8292891489.78839000,0.9948,0.9865,0.9228,0.8391
1778701500000,2026-05-13 19:45:00,104273.21900000,8286721860.84553100,0.9960,0.9873,0.9227,0.8768
1778701800000,2026-05-13 19:50:00,104276.06600000,8287809587.64700000,0.9960,0.9873,0.9223,1.7473
1778702100000,2026-05-13 19:55:00,104316.48800000,8296249403.11238500,0.9960,0.9873,0.9221,1.7727
1778702400000,2026-05-13 20:00:00,104354.35700000,8307110481.23539600,0.9972,0.9877,0.9215,0.9912
1778702700000,2026-05-13 20:05:00,104378.71500000,8308556151.87150000,0.9980,0.9881,0.9214,3.0611
1778703000000,2026-05-13 20:10:00,104445.98300000,8316940367.38046000,0.9980,0.9881,0.9213,1.2395
1778703300000,2026-05-13 20:15:00,104429.16700000,8312600557.49822100,0.9980,0.9877,0.9212,2.0385
1778703600000,2026-05-13 20:20:00,104429.42300000,8320984242.87279100,0.9980,0.9873,0.9212,1.0231
1778703900000,2026-05-13 20:25:00,104438.47900000,8315261135.50216000,0.9980,0.9877,0.9212,0.9383
1778704200000,2026-05-13 20:30:00,104436.00300000,8310726826.00419000,0.9972,0.9869,0.9211,0.5991
1778704500000,2026-05-13 20:35:00,104438.81800000,8316243979.83615400,0.9976,0.9869,0.9214,0.9743
1778704800000,2026-05-13 20:40:00,104428.13000000,8315611332.79245900,0.9972,0.9869,0.9210,2.7091
1778705100000,2026-05-13 20:45:00,104446.25100000,8322883067.93580000,0.9968,0.9861,0.9238,1.3481
1778705400000,2026-05-13 20:50:00,104454.64700000,8321724153.59010000,0.9968,0.9861,0.9236,0.4653
1778705700000,2026-05-13 20:55:00,104425.43500000,8317496340.29350000,0.9968,0.9861,0.9235,1.1276
1778706000000,2026-05-13 21:00:00,104419.18700000,8319212373.23310000,0.9964,0.9853,0.9233,0.5554
1778706300000,2026-05-13 21:05:00,104387.09900000,8310620256.83798900,0.9964,0.9857,0.9225,0.5426
1778706600000,2026-05-13 21:10:00,104317.07400000,8286844041.48600000,0.9924,0.9833,0.9219,0.9070
1778706900000,2026-05-13 21:15:00,104144.57800000,8269250020.13605600,0.9885,0.9806,0.9221,0.8130
1778707200000,2026-05-13 21:20:00,104119.83600000,8264699398.20480000,0.9873,0.9802,0.9223,0.7853
1778707500000,2026-05-13 21:25:00,104071.57400000,8260046349.64860000,0.9877,0.9806,0.9228,0.7535
1778707800000,2026-05-13 21:30:00,104081.53700000,8262960365.35410000,0.9873,0.9810,0.9220,2.1163
1778708100000,2026-05-13 21:35:00,104085.36500000,8265564554.16100000,0.9873,0.9806,0.9222,1.2382
1778708400000,2026-05-13 21:40:00,104060.67400000,8268393518.01886900,0.9881,0.9810,0.9228,1.0491
1778708700000,2026-05-13 21:45:00,104056.15500000,8265846351.04200000,0.9893,0.9814,0.9227,0.9494
1778709000000,2026-05-13 21:50:00,104058.39500000,8266833714.34357800,0.9893,0.9814,0.9225,1.9214
1778709300000,2026-05-13 21:55:00,104020.98500000,8265569563.35210000,0.9893,0.9814,0.9230,0.8639
1778709600000,2026-05-13 22:00:00,104066.09700000,8259008062.82070000,0.9885,0.9806,0.9226,1.2695
1778709900000,2026-05-13 22:05:00,104059.21200000,8255058911.64480000,0.9861,0.9786,0.9227,0.7222
1778710200000,2026-05-13 22:10:00,103950.49100000,8241097390.03575100,0.9826,0.9767,0.9233,0.7666
1778710500000,2026-05-13 22:15:00,104006.41600000,8256174911.06240000,0.9849,0.9786,0.9243,0.7644
1778710800000,2026-05-13 22:20:00,104019.05200000,8244443339.84395000,0.9845,0.9786,0.9244,0.4963
1778711100000,2026-05-13 22:25:00,104010.12500000,8247701283.13750000,0.9853,0.9786,0.9249,0.7896
1778711400000,2026-05-13 22:30:00,104008.38400000,8246845569.03680000,0.9849,0.9786,0.9250,0.6230
1778711700000,2026-05-13 22:35:00,104028.26000000,8244971914.95204900,0.9845,0.9778,0.9251,0.6324
1778712000000,2026-05-13 22:40:00,104094.19400000,8251827812.70380000,0.9841,0.9778,0.9269,1.5367
1778712300000,2026-05-13 22:45:00,104084.59200000,8261714490.00000000,0.9861,0.9794,0.9270,1.2350
1778712600000,2026-05-13 22:50:00,104066.40100000,8261175957.06370000,0.9881,0.9814,0.9266,1.8131
1778712900000,2026-05-13 22:55:00,104086.42400000,8266246302.06940500,0.9897,0.9822,0.9268,1.1616
1778713200000,2026-05-13 23:00:00,104065.64600000,8262305056.83438800,0.9893,0.9822,0.9271,3.1400
1778713500000,2026-05-13 23:05:00,104241.77700000,8269936156.86562250,0.9908,0.9829,0.9272,0.8352
